2013-08-21 06:16:11:0825, setup_loaddata
2013-08-21 06:16:12:0111, setup_resizewin
2013-08-21 06:16:13:0316, list_mouseentered, 41107
2013-08-21 06:16:13:0668, list_mouseexited, 
2013-08-21 06:16:33:0854, setup_loaddata
2013-08-21 06:17:02:0765, setup_resizewin
2013-08-21 06:22:53:0964, list_mouseentered, 66446
2013-08-21 06:22:55:0229, list_mouseexited, 
2013-08-21 06:22:56:0442, list_mouseentered, 0.9158534796977567
2013-08-21 06:22:57:0179, list_mouseexited, 
2013-08-21 06:23:04:0993, list_mouseentered, 18524
2013-08-21 06:23:06:0364, list_mouseexited, 
2013-08-21 06:23:06:0709, diag_itementered, id=62423, type=1
2013-08-21 06:23:06:0781, diag_itemexited, id=62423, type=1
2013-08-21 06:23:06:0785, diag_itementered, id=62490, type=1
2013-08-21 06:23:06:0808, diag_itemexited, id=62490, type=1
2013-08-21 06:23:07:0593, diag_itementered, id=62490, type=1
2013-08-21 06:23:08:0917, diag_itemexited, id=62490, type=1
2013-08-21 06:23:08:0919, diag_itementered, id=10586, type=1
2013-08-21 06:23:08:0940, diag_itemexited, id=10586, type=1
2013-08-21 06:23:09:0236, diag_itementered, id=0.8920274576365677, type=1
2013-08-21 06:23:09:0258, diag_itemexited, id=0.8920274576365677, type=1
2013-08-21 06:23:09:0333, list_mouseentered, 22697
2013-08-21 06:23:09:0788, list_mouseexited, 
2013-08-21 06:23:10:0378, diag_itementered, id=0.8920274576365677, type=1
2013-08-21 06:23:11:0705, diag_itemexited, id=0.8920274576365677, type=1
2013-08-21 06:23:12:0093, diag_itementered, id=37976, type=1
2013-08-21 06:23:12:0682, diag_itemexited, id=37976, type=1
2013-08-21 06:23:12:0690, diag_itementered, id=62490, type=1
2013-08-21 06:23:13:0825, diag_itemexited, id=62490, type=1
2013-08-21 06:23:13:0841, diag_itementered, id=7681, type=1
2013-08-21 06:23:13:0943, diag_itemexited, id=7681, type=1
2013-08-21 06:23:14:0830, diag_itementered, id=0.29776479142155543, type=1
2013-08-21 06:23:15:0125, diag_itemexited, id=0.29776479142155543, type=1
2013-08-21 06:23:15:0370, diag_itementered, id=55440, type=1
2013-08-21 06:23:15:0392, diag_itemexited, id=55440, type=1
2013-08-21 06:23:15:0394, diag_itementered, id=14801, type=1
2013-08-21 06:23:15:0418, diag_itemexited, id=14801, type=1
2013-08-21 06:23:15:0420, diag_itementered, id=62398, type=1
2013-08-21 06:23:15:0441, diag_itemexited, id=62398, type=1
2013-08-21 06:23:15:0798, diag_itementered, id=36347, type=1
2013-08-21 06:23:16:0068, diag_itemexited, id=36347, type=1
2013-08-21 06:23:16:0072, diag_itementered, id=0.9158534796977567, type=0
2013-08-21 06:23:16:0596, diag_itemexited, id=0.9158534796977567, type=0
2013-08-21 06:23:17:0237, diag_itementered, id=63896, type=1
2013-08-21 06:23:17:0577, diag_itemexited, id=63896, type=1
2013-08-21 06:23:17:0579, diag_itementered, id=63030, type=1
2013-08-21 06:23:17:0601, diag_itemexited, id=63030, type=1
2013-08-21 06:23:17:0699, diag_itementered, id=64454, type=1
2013-08-21 06:23:18:0119, diag_itemexited, id=64454, type=1
2013-08-21 06:23:18:0121, diag_itementered, id=36832, type=1
2013-08-21 06:23:18:0349, diag_itemexited, id=36832, type=1
2013-08-21 06:23:18:0351, diag_itementered, id=24551, type=1
2013-08-21 06:23:18:0496, diag_itemexited, id=24551, type=1
2013-08-21 06:23:18:0498, diag_itementered, id=42990, type=1
2013-08-21 06:23:18:0644, diag_itemexited, id=42990, type=1
