2013-10-26 03:48:33:0136, setup_loaddata
2013-10-26 03:48:33:0651, setup_resizewin
2013-10-26 03:48:38:0893, pattern_create_open
2013-10-26 03:48:38:0893, pattern_create_close
2013-10-26 03:48:42:0013, question_create_open
2013-10-26 03:48:42:0029, question_create_close
2013-10-26 03:48:46:0880, diag_itementered, id=0.8921984412870805, type=0
2013-10-26 03:48:46:0990, diag_itemexited, id=0.8921984412870805, type=0
2013-10-26 03:48:47:0318, diag_itementered, id=0.8921984412870805, type=0
2013-10-26 03:48:47:0864, diag_itemexited, id=0.8921984412870805, type=0
2013-10-26 03:48:48:0426, diag_itementered, id=0.4207218963753159, type=0
2013-10-26 03:48:48:0739, diag_itemexited, id=0.4207218963753159, type=0
2013-10-26 03:48:49:0300, diag_itementered, id=0.6451737708009316, type=0
2013-10-26 03:48:49:0955, diag_itemexited, id=0.6451737708009316, type=0
2013-10-26 03:48:51:0094, diag_itementered, id=0.8074935126914159, type=0
2013-10-26 03:48:52:0187, diag_itemexited, id=0.8074935126914159, type=0
2013-10-26 03:48:52:0905, diag_itementered, id=0.4207218963753159, type=0
2013-10-26 03:48:53:0249, diag_itemexited, id=0.4207218963753159, type=0
2013-10-26 03:48:53:0811, diag_itementered, id=0.8921984412870805, type=0
2013-10-26 03:48:53:0920, diag_itemexited, id=0.8921984412870805, type=0
2013-10-26 03:48:54:0793, diag_itementered, id=0.8074935126914159, type=0
2013-10-26 03:48:57:0322, diag_itemexited, id=0.8074935126914159, type=0
2013-10-26 03:48:57:0899, list_mouseentered, 54886
2013-10-26 03:48:59:0118, list_mouseexited, 
