2014-01-15 10:59:58:0000, setup_loaddata
2014-01-15 10:59:58:0205, setup_resizewin
2014-01-15 11:28:33:0626, setup_resizewin
2014-01-15 11:28:57:0404, diag_itementered, id=525011271, type=0
2014-01-15 11:28:58:0168, diag_itemexited, id=525011271, type=0
2014-01-15 11:28:58:0743, diag_itementered, id=525011271, type=0
2014-01-15 11:28:58:0864, diag_itemexited, id=525011271, type=0
2014-01-15 11:28:58:0892, diag_itementered, id=525011271, type=0
2014-01-15 11:28:58:0939, diag_itemexited, id=525011271, type=0
2014-01-15 11:28:59:0405, diag_itementered, id=525011271, type=0
2014-01-15 11:29:00:0192, diag_itemexited, id=525011271, type=0
2014-01-15 11:29:01:0099, diag_itementered, id=9913, type=1
2014-01-15 11:29:01:0152, diag_itemexited, id=9913, type=1
2014-01-15 11:29:01:0154, diag_itementered, id=4242, type=1
2014-01-15 11:29:01:0206, diag_itemexited, id=4242, type=1
2014-01-15 11:29:01:0217, diag_itementered, id=9044, type=1
2014-01-15 11:29:01:0267, diag_itemexited, id=9044, type=1
2014-01-15 11:29:01:0537, diag_itementered, id=8219, type=1
2014-01-15 11:29:02:0566, diag_itemexited, id=8219, type=1
2014-01-15 11:29:02:0667, diag_itementered, id=2931, type=1
2014-01-15 11:29:02:0746, diag_itemexited, id=2931, type=1
2014-01-15 11:29:02:0791, diag_itementered, id=10042, type=1
2014-01-15 11:29:02:0885, diag_itemexited, id=10042, type=1
2014-01-15 11:29:02:0886, diag_itementered, id=10506, type=1
2014-01-15 11:29:02:0933, diag_itemexited, id=10506, type=1
2014-01-15 11:29:03:0007, diag_itementered, id=7539, type=1
2014-01-15 11:29:03:0083, diag_itemexited, id=7539, type=1
2014-01-15 11:29:03:0572, diag_itementered, id=123, type=1
2014-01-15 11:29:03:0616, diag_itemexited, id=123, type=1
2014-01-15 11:29:04:0028, diag_itementered, id=10586, type=1
2014-01-15 11:29:04:0641, diag_itemexited, id=10586, type=1
2014-01-15 11:31:23:0055, diag_itementered, id=2968, type=1
2014-01-15 11:31:23:0059, diag_itemexited, id=2968, type=1
2014-01-15 11:31:24:0523, diag_itementered, id=5514, type=1
2014-01-15 11:31:24:0606, diag_itemexited, id=5514, type=1
2014-01-15 11:31:24:0797, diag_itementered, id=7291, type=1
2014-01-15 11:31:24:0853, diag_itemexited, id=7291, type=1
2014-01-15 11:31:25:0688, diag_itementered, id=8219, type=1
2014-01-15 11:31:25:0753, diag_itemexited, id=8219, type=1
2014-01-15 11:32:19:0351, diag_itementered, id=7596, type=1
2014-01-15 11:32:19:0831, diag_itemexited, id=7596, type=1
2014-01-15 11:33:04:0463, diag_itementered, id=7720, type=1
2014-01-15 11:35:06:0821, diag_itemexited, id=7720, type=1
2014-01-15 11:37:50:0150, diag_itementered, id=5855, type=1
2014-01-15 11:37:50:0281, diag_itemexited, id=5855, type=1
2014-01-15 11:37:50:0360, diag_itementered, id=5328, type=1
2014-01-15 11:37:50:0430, diag_itemexited, id=5328, type=1
2014-01-15 11:37:50:0434, diag_itementered, id=382, type=1
2014-01-15 11:37:50:0500, diag_itemexited, id=382, type=1
2014-01-15 11:38:12:0535, diag_itementered, id=7661, type=1
2014-01-15 11:38:12:0775, diag_itemexited, id=7661, type=1
2014-01-15 11:38:13:0281, diag_itementered, id=7661, type=1
2014-01-15 11:38:19:0835, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:19:0847, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:19:0875, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:19:0896, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:19:0923, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:19:0943, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:19:0970, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:19:0999, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:20:0019, diag_itemdragged, id=7661, type=1
2014-01-15 11:38:20:0044, diag_itemdragged, id=7661, type=1
