2014-01-28 10:02:30:0320, setup_loaddata
2014-01-28 10:02:30:0673, setup_resizewin
2014-01-28 10:02:33:0410, list_mouseentered, 564
2014-01-28 10:02:33:0693, list_mouseexited, 
2014-01-28 10:02:35:0562, setup_resizewin
2014-01-28 10:02:35:0563, setup_resizewin
2014-01-28 10:02:35:0615, setup_resizewin
2014-01-28 10:02:35:0831, setup_resizewin
2014-01-28 10:02:36:0032, setup_resizewin
2014-01-28 10:02:36:0036, setup_resizewin
2014-01-28 10:02:36:0260, setup_resizewin
2014-01-28 10:02:36:0264, setup_resizewin
2014-01-28 10:02:36:0265, setup_resizewin
2014-01-28 10:02:36:0425, setup_resizewin
2014-01-28 10:02:36:0428, setup_resizewin
2014-01-28 10:02:36:0429, setup_resizewin
2014-01-28 10:02:36:0547, setup_resizewin
2014-01-28 10:02:36:0548, setup_resizewin
2014-01-28 10:02:36:0586, setup_resizewin
2014-01-28 10:02:39:0155, list_mouseentered, 3881
2014-01-28 10:02:39:0159, list_mouseexited, 
2014-01-28 10:02:39:0560, diag_itementered, id=7291, type=1
2014-01-28 10:02:39:0605, diag_itemexited, id=7291, type=1
2014-01-28 10:02:39:0607, diag_itementered, id=6612, type=1
2014-01-28 10:02:39:0640, diag_itemexited, id=6612, type=1
2014-01-28 10:02:44:0796, diag_itementered, id=8599, type=1
2014-01-28 10:02:45:0239, diag_itemexited, id=8599, type=1
2014-01-28 10:02:46:0969, diag_itementered, id=10586, type=1
2014-01-28 10:02:47:0312, diag_itemexited, id=10586, type=1
2014-01-28 10:02:47:0661, diag_itementered, id=10586, type=1
2014-01-28 10:02:47:0708, diag_itemexited, id=10586, type=1
2014-01-28 10:02:47:0783, diag_itementered, id=8599, type=1
2014-01-28 10:02:47:0810, diag_itemexited, id=8599, type=1
2014-01-28 10:02:48:0733, diag_itementered, id=9913, type=1
2014-01-28 10:02:49:0614, diag_itemexited, id=9913, type=1
2014-01-28 10:02:49:0748, diag_itementered, id=9044, type=1
2014-01-28 10:02:49:0785, diag_itemexited, id=9044, type=1
2014-01-28 10:02:49:0787, diag_itementered, id=7720, type=1
2014-01-28 10:02:49:0820, diag_itemexited, id=7720, type=1
2014-01-28 10:02:50:0398, diag_itementered, id=3049, type=1
2014-01-28 10:02:50:0998, diag_itemexited, id=3049, type=1
2014-01-28 10:02:51:0072, diag_itementered, id=8569, type=1
2014-01-28 10:02:51:0107, diag_itemexited, id=8569, type=1
2014-01-28 10:02:51:0390, diag_itementered, id=564, type=1
2014-01-28 10:02:51:0428, diag_itemexited, id=564, type=1
2014-01-28 10:02:51:0526, diag_itementered, id=564, type=1
2014-01-28 10:02:52:0228, diag_itemexited, id=564, type=1
2014-01-28 10:02:52:0348, diag_itementered, id=10980, type=1
2014-01-28 10:03:11:0967, diag_itemexited, id=10980, type=1
2014-01-28 10:03:13:0849, diag_itementered, id=10980, type=1
2014-01-28 10:03:13:0892, diag_itemexited, id=10980, type=1
2014-01-28 10:03:14:0427, diag_itementered, id=564, type=1
2014-01-28 10:03:14:0499, diag_itemexited, id=564, type=1
2014-01-28 10:03:15:0237, diag_itementered, id=564, type=1
2014-01-28 10:03:15:0841, diag_itemexited, id=564, type=1
2014-01-28 10:03:16:0704, diag_itementered, id=10980, type=1
2014-01-28 10:03:19:0900, diag_itemexited, id=10980, type=1
2014-01-28 10:03:19:0938, diag_itementered, id=5328, type=1
2014-01-28 10:03:19:0960, diag_itemexited, id=5328, type=1
2014-01-28 10:03:19:0961, diag_itementered, id=126, type=1
2014-01-28 10:03:20:0015, diag_itemexited, id=126, type=1
2014-01-28 10:03:20:0036, diag_itementered, id=7596, type=1
2014-01-28 10:03:20:0070, diag_itemexited, id=7596, type=1
2014-01-28 10:03:20:0109, diag_itementered, id=6222, type=1
2014-01-28 10:03:20:0135, diag_itemexited, id=6222, type=1
2014-01-28 10:03:21:0277, diag_itementered, id=10506, type=1
2014-01-28 10:03:21:0319, diag_itemexited, id=10506, type=1
2014-01-28 10:03:21:0460, diag_itementered, id=5078, type=1
2014-01-28 10:03:21:0482, diag_itemexited, id=5078, type=1
2014-01-28 10:03:21:0790, diag_itementered, id=10980, type=1
2014-01-28 10:03:21:0863, diag_itemexited, id=10980, type=1
2014-01-28 10:03:22:0002, diag_itementered, id=10980, type=1
2014-01-28 10:03:24:0481, diag_itemexited, id=10980, type=1
2014-01-28 10:03:24:0783, diag_itementered, id=10980, type=1
2014-01-28 10:03:27:0750, diag_itemexited, id=10980, type=1
2014-01-28 10:03:29:0019, diag_itementered, id=10980, type=1
2014-01-28 10:03:33:0111, diag_itemexited, id=10980, type=1
2014-01-28 10:03:33:0301, diag_itementered, id=5328, type=1
2014-01-28 10:03:33:0319, diag_itemexited, id=5328, type=1
2014-01-28 10:03:33:0351, diag_itementered, id=126, type=1
2014-01-28 10:03:33:0384, diag_itemexited, id=126, type=1
2014-01-28 10:03:33:0413, diag_itementered, id=7596, type=1
2014-01-28 10:03:33:0441, diag_itemexited, id=7596, type=1
2014-01-28 10:03:33:0461, diag_itementered, id=8968, type=1
2014-01-28 10:03:33:0490, diag_itemexited, id=8968, type=1
2014-01-28 10:03:33:0492, diag_itementered, id=6222, type=1
2014-01-28 10:03:33:0521, diag_itemexited, id=6222, type=1
2014-01-28 10:04:00:0599, diag_itementered, id=123, type=1
2014-01-28 10:04:00:0607, diag_itemexited, id=123, type=1
2014-01-28 10:04:03:0082, setup_resizewin
2014-01-28 10:04:03:0112, setup_resizewin
2014-01-28 10:04:03:0184, setup_resizewin
2014-01-28 10:04:03:0221, setup_resizewin
2014-01-28 10:04:03:0286, setup_resizewin
2014-01-28 10:04:03:0377, setup_resizewin
2014-01-28 10:04:03:0378, setup_resizewin
2014-01-28 10:04:03:0437, setup_resizewin
2014-01-28 10:04:03:0468, setup_resizewin
2014-01-28 10:04:03:0541, setup_resizewin
2014-01-28 10:04:03:0611, setup_resizewin
2014-01-28 10:04:03:0709, setup_resizewin
2014-01-28 10:04:03:0775, setup_resizewin
2014-01-28 10:04:03:0838, setup_resizewin
2014-01-28 10:04:03:0923, setup_resizewin
2014-01-28 10:04:03:0926, setup_resizewin
2014-01-28 10:04:03:0987, setup_resizewin
2014-01-28 10:04:04:0037, setup_resizewin
2014-01-28 10:04:04:0085, setup_resizewin
2014-01-28 10:04:04:0106, setup_resizewin
2014-01-28 10:04:04:0153, setup_resizewin
2014-01-28 10:04:09:0624, diag_itementered, id=525011271, type=0
2014-01-28 10:04:09:0668, diag_itemexited, id=525011271, type=0
2014-01-28 10:04:15:0241, diag_itementered, id=525011271, type=0
2014-01-28 10:04:15:0272, diag_itemexited, id=525011271, type=0
2014-01-28 10:04:15:0532, diag_itementered, id=525011271, type=0
2014-01-28 10:04:15:0801, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0808, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0833, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0846, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0857, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0884, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0894, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0909, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0933, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0942, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0955, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0969, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:15:0991, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0007, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0016, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0030, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0053, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0066, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0078, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0105, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0114, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0126, diag_itemdragged, id=525011271, type=0
2014-01-28 10:04:16:0151, diag_itemdragged, id=525011271, type=0
