2014-02-01 10:13:09:0138, setup_loaddata
2014-02-01 10:13:09:0381, setup_resizewin
2014-02-01 10:13:14:0091, list_mouseentered, 382
2014-02-01 10:13:14:0693, list_mouseexited, 
2014-02-01 10:13:32:0913, setup_loaddata
2014-02-01 10:13:33:0114, setup_resizewin
2014-02-01 10:13:41:0686, diag_itementered, id=15732, type=1
2014-02-01 10:13:41:0779, diag_itemexited, id=15732, type=1
2014-02-01 10:13:41:0781, diag_itementered, id=25614, type=1
2014-02-01 10:13:42:0147, diag_itemexited, id=25614, type=1
2014-02-01 10:13:42:0151, diag_itementered, id=25765, type=1
2014-02-01 10:13:45:0115, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0143, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0193, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0301, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0370, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0380, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0394, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0415, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0491, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0543, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0551, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0581, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0615, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0637, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0683, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0714, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0739, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0762, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0784, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0797, diag_itemdragged, id=25765, type=1
2014-02-01 10:13:45:0821, diag_itemdragged, id=25765, type=1
