2014-02-02 05:24:54:0908, setup_loaddata
2014-02-02 05:24:55:0057, setup_resizewin
2014-02-02 05:24:57:0660, list_mouseexited, 
2014-02-02 05:25:00:0510, list_mouseentered, 564
2014-02-02 05:25:00:0638, list_mouseexited, 
2014-02-02 05:25:00:0678, diag_itementered, id=19011, type=1
2014-02-02 05:25:00:0704, diag_itemexited, id=19011, type=1
2014-02-02 05:25:00:0706, diag_itementered, id=21207, type=1
2014-02-02 05:25:00:0763, diag_itemexited, id=21207, type=1
2014-02-02 05:25:00:0794, diag_itementered, id=22798, type=1
2014-02-02 05:25:00:0858, diag_itemexited, id=22798, type=1
2014-02-02 05:25:00:0939, diag_itementered, id=37628, type=1
2014-02-02 05:25:00:0992, diag_itemexited, id=37628, type=1
2014-02-02 05:25:01:0045, diag_itementered, id=40376, type=1
2014-02-02 05:25:01:0118, diag_itemexited, id=40376, type=1
2014-02-02 05:25:01:0206, diag_itementered, id=57537, type=1
2014-02-02 05:25:01:0256, diag_itemexited, id=57537, type=1
2014-02-02 05:25:02:0463, diag_itementered, id=57537, type=1
2014-02-02 05:25:04:0844, diag_itemexited, id=57537, type=1
2014-02-02 05:25:04:0939, diag_itementered, id=24623, type=1
2014-02-02 05:25:04:0987, diag_itemexited, id=24623, type=1
2014-02-02 05:25:05:0060, diag_itementered, id=24623, type=1
2014-02-02 05:25:07:0682, diag_itemexited, id=24623, type=1
2014-02-02 05:25:07:0688, diag_itementered, id=14397, type=1
2014-02-02 05:25:07:0725, diag_itemexited, id=14397, type=1
2014-02-02 05:25:07:0731, diag_itementered, id=41233, type=1
2014-02-02 05:25:07:0766, diag_itemexited, id=41233, type=1
2014-02-02 05:25:07:0770, diag_itementered, id=54686, type=1
2014-02-02 05:25:07:0809, diag_itemexited, id=54686, type=1
2014-02-02 05:25:07:0863, diag_itementered, id=48859, type=1
2014-02-02 05:25:07:0947, diag_itemexited, id=48859, type=1
2014-02-02 05:25:08:0030, diag_itementered, id=48203, type=1
2014-02-02 05:25:08:0076, diag_itemexited, id=48203, type=1
2014-02-02 05:25:08:0104, diag_itementered, id=48203, type=1
2014-02-02 05:25:08:0176, diag_itemexited, id=48203, type=1
2014-02-02 05:25:08:0705, diag_itementered, id=57145, type=1
2014-02-02 05:25:08:0785, diag_itemexited, id=57145, type=1
2014-02-02 05:25:09:0616, diag_itementered, id=57145, type=1
2014-02-02 05:25:11:0389, diag_itemexited, id=57145, type=1
2014-02-02 05:25:12:0055, diag_itementered, id=49379, type=1
2014-02-02 05:25:12:0207, diag_itemexited, id=49379, type=1
2014-02-02 05:25:12:0267, diag_itementered, id=49379, type=1
2014-02-02 05:25:12:0367, diag_itemexited, id=49379, type=1
2014-02-02 05:25:13:0640, diag_itementered, id=41233, type=1
2014-02-02 05:25:13:0774, diag_itemexited, id=41233, type=1
2014-02-02 05:25:13:0879, diag_itementered, id=41233, type=1
2014-02-02 05:25:14:0656, diag_itemexited, id=41233, type=1
2014-02-02 05:25:15:0057, diag_itementered, id=12927, type=1
2014-02-02 05:25:17:0363, diag_itemclicked, id=12927, type=1
2014-02-02 05:25:17:0434, diag_itemexited, id=12927, type=1
2014-02-02 05:25:20:0162, list_mouseentered, 126
2014-02-02 05:25:20:0371, list_mouseexited, 
2014-02-02 05:25:21:0417, list_mouseentered, 123
2014-02-02 05:25:21:0654, list_mouseexited, 
2014-02-02 05:25:21:0744, diag_itementered, id=44912, type=1
2014-02-02 05:25:21:0793, diag_itemexited, id=44912, type=1
2014-02-02 05:25:21:0870, diag_itementered, id=25192, type=1
2014-02-02 05:25:21:0919, diag_itemexited, id=25192, type=1
2014-02-02 05:25:22:0353, diag_itementered, id=17373, type=1
2014-02-02 05:25:22:0491, diag_itemexited, id=17373, type=1
2014-02-02 05:25:22:0973, diag_itementered, id=17373, type=1
2014-02-02 05:25:23:0047, diag_itemexited, id=17373, type=1
2014-02-02 05:25:23:0478, diag_itementered, id=17373, type=1
2014-02-02 05:25:25:0248, diag_itemclicked, id=17373, type=1
2014-02-02 05:25:25:0329, diag_itemexited, id=17373, type=1
2014-02-02 05:25:27:0773, list_mouseentered, 126
2014-02-02 05:25:38:0249, list_mouseexited, 
2014-02-02 05:25:39:0020, list_mouseentered, 123
2014-02-02 05:25:39:0123, list_mouseexited, 
2014-02-02 05:25:39:0130, diag_itementered, id=8599, type=1
2014-02-02 05:25:39:0179, diag_itemexited, id=8599, type=1
2014-02-02 05:25:39:0208, diag_itementered, id=18524, type=1
2014-02-02 05:25:39:0258, diag_itemexited, id=18524, type=1
2014-02-02 05:25:39:0260, diag_itementered, id=48442, type=1
2014-02-02 05:25:39:0296, diag_itemexited, id=48442, type=1
2014-02-02 05:25:39:0386, diag_itementered, id=38264, type=1
2014-02-02 05:25:39:0434, diag_itemexited, id=38264, type=1
2014-02-02 05:25:39:0507, diag_itementered, id=38264, type=1
2014-02-02 05:25:39:0556, diag_itemexited, id=38264, type=1
2014-02-02 05:25:39:0558, diag_itementered, id=29516, type=1
2014-02-02 05:25:39:0598, diag_itemexited, id=29516, type=1
2014-02-02 05:25:40:0274, diag_itementered, id=3049, type=1
2014-02-02 05:25:40:0315, diag_itemexited, id=3049, type=1
2014-02-02 05:25:40:0835, diag_itementered, id=3049, type=1
2014-02-02 05:25:42:0102, diag_itemclicked, id=3049, type=1
2014-02-02 05:25:42:0107, diag_itemexited, id=3049, type=1
2014-02-02 05:25:52:0444, list_mouseentered, 123
2014-02-02 05:25:52:0489, list_mouseexited, 
2014-02-02 05:25:52:0577, diag_itementered, id=38949, type=1
2014-02-02 05:25:52:0622, diag_itemexited, id=38949, type=1
2014-02-02 05:25:53:0011, diag_itementered, id=27598, type=1
2014-02-02 05:25:54:0345, diag_itemclicked, id=27598, type=1
2014-02-02 05:25:54:0402, diag_itemexited, id=27598, type=1
2014-02-02 05:26:00:0102, list_mouseentered, 123
2014-02-02 05:26:00:0191, list_mouseexited, 
2014-02-02 05:26:00:0260, diag_itementered, id=40480, type=1
2014-02-02 05:26:00:0306, diag_itemexited, id=40480, type=1
2014-02-02 05:26:00:0333, diag_itementered, id=25552, type=1
2014-02-02 05:26:00:0382, diag_itemexited, id=25552, type=1
2014-02-02 05:26:00:0385, diag_itementered, id=53098, type=1
2014-02-02 05:26:00:0420, diag_itemexited, id=53098, type=1
2014-02-02 05:26:00:0812, diag_itementered, id=54882, type=1
2014-02-02 05:26:00:0856, diag_itemexited, id=54882, type=1
2014-02-02 05:26:00:0858, diag_itementered, id=15496, type=1
2014-02-02 05:26:00:0893, diag_itemexited, id=15496, type=1
2014-02-02 05:26:01:0351, diag_itementered, id=15496, type=1
2014-02-02 05:26:02:0917, diag_itemclicked, id=15496, type=1
2014-02-02 05:26:02:0926, diag_itemexited, id=15496, type=1
2014-02-02 05:26:02:0933, list_mouseentered, 382
2014-02-02 05:26:03:0808, list_mouseexited, 
2014-02-02 05:26:11:0008, list_mouseentered, 123
2014-02-02 05:26:11:0451, list_mouseexited, 
2014-02-02 05:26:14:0919, setup_resizewin
2014-02-02 05:26:15:0415, diag_itementered, id=7681, type=1
2014-02-02 05:26:15:0432, diag_itemexited, id=7681, type=1
2014-02-02 05:26:15:0741, list_mouseentered, 123
2014-02-02 05:26:15:0768, list_mouseexited, 
2014-02-02 05:26:32:0431, list_mouseentered, 123
2014-02-02 05:26:32:0433, list_mouseexited, 
2014-02-02 05:27:13:0765, diag_itementered, id=35002, type=1
2014-02-02 05:27:13:0788, diag_itemexited, id=35002, type=1
2014-02-02 05:27:13:0791, diag_itementered, id=55375, type=1
2014-02-02 05:27:13:0850, diag_itemexited, id=55375, type=1
2014-02-02 05:27:14:0208, diag_itementered, id=55375, type=1
2014-02-02 05:27:15:0746, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0786, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0801, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0815, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0835, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0857, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0871, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0891, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0908, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0923, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0937, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0959, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0973, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0978, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:15:0991, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0009, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0028, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0047, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0066, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0085, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0101, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0115, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0128, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0142, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0155, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0169, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0183, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0199, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0213, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0227, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0245, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0261, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0274, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0288, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0306, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0329, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0342, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0356, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0368, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0383, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0396, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0414, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0824, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0852, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0879, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0906, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0927, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0944, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0959, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0973, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:16:0986, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0005, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0023, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0028, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0040, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0053, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0066, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0082, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0097, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0109, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0123, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0136, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0155, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:17:0254, diag_itemdragged, id=55375, type=1
2014-02-02 05:27:22:0493, diag_itemexited, id=55375, type=1
2014-02-02 05:27:23:0428, diag_itementered, id=47177, type=1
2014-02-02 05:27:23:0722, diag_itemexited, id=47177, type=1
2014-02-02 05:27:23:0733, diag_itementered, id=57689, type=1
2014-02-02 05:27:24:0881, diag_itemexited, id=57689, type=1
2014-02-02 05:27:24:0956, diag_itementered, id=47177, type=1
2014-02-02 05:27:25:0049, diag_itemexited, id=47177, type=1
2014-02-02 05:27:25:0053, diag_itementered, id=6612, type=1
2014-02-02 05:27:27:0020, diag_itemexited, id=6612, type=1
2014-02-02 05:27:27:0024, diag_itementered, id=47177, type=1
2014-02-02 05:27:27:0513, diag_itemexited, id=47177, type=1
2014-02-02 05:27:27:0517, diag_itementered, id=57689, type=1
2014-02-02 05:27:27:0731, diag_itemexited, id=57689, type=1
2014-02-02 05:27:27:0736, diag_itementered, id=47177, type=1
2014-02-02 05:27:27:0779, diag_itemexited, id=47177, type=1
2014-02-02 05:27:27:0781, diag_itementered, id=6612, type=1
2014-02-02 05:27:29:0319, diag_itemexited, id=6612, type=1
2014-02-02 05:27:29:0404, diag_itementered, id=28675, type=1
2014-02-02 05:27:29:0451, diag_itemexited, id=28675, type=1
2014-02-02 05:27:29:0453, diag_itementered, id=51452, type=1
2014-02-02 05:27:29:0491, diag_itemexited, id=51452, type=1
2014-02-02 05:27:29:0495, diag_itementered, id=40480, type=1
2014-02-02 05:27:29:0569, diag_itemexited, id=40480, type=1
2014-02-02 05:27:29:0573, diag_itementered, id=57145, type=1
2014-02-02 05:27:29:0605, diag_itemexited, id=57145, type=1
2014-02-02 05:27:29:0607, diag_itementered, id=48203, type=1
2014-02-02 05:27:29:0677, diag_itemexited, id=48203, type=1
2014-02-02 05:27:29:0681, diag_itementered, id=42102, type=1
2014-02-02 05:27:29:0718, diag_itemexited, id=42102, type=1
2014-02-02 05:27:29:0722, diag_itementered, id=50524, type=1
