2014-02-02 06:06:26:0074, setup_loaddata
2014-02-02 06:06:26:0279, setup_resizewin
2014-02-02 06:06:27:0961, setup_resizewin
2014-02-02 06:06:28:0294, list_mouseentered, 123
2014-02-02 06:06:28:0388, list_mouseexited, 
2014-02-02 06:06:28:0891, setup_resizewin
2014-02-02 06:06:29:0945, setup_resizewin
2014-02-02 06:06:29:0979, setup_resizewin
2014-02-02 06:06:30:0220, setup_resizewin
2014-02-02 06:06:30:0456, setup_resizewin
2014-02-02 06:06:30:0465, setup_resizewin
2014-02-02 06:06:30:0641, setup_resizewin
2014-02-02 06:06:30:0643, setup_resizewin
2014-02-02 06:06:30:0644, setup_resizewin
2014-02-02 06:06:30:0808, setup_resizewin
2014-02-02 06:06:30:0811, setup_resizewin
2014-02-02 06:06:31:0537, setup_resizewin
2014-02-02 06:06:31:0563, setup_resizewin
2014-02-02 06:06:31:0699, setup_resizewin
2014-02-02 06:06:31:0833, setup_resizewin
2014-02-02 06:06:31:0836, setup_resizewin
2014-02-02 06:06:31:0976, setup_resizewin
2014-02-02 06:06:31:0978, setup_resizewin
2014-02-02 06:06:33:0650, diag_itementered, id=27129, type=1
2014-02-02 06:06:35:0130, diag_itemexited, id=27129, type=1
2014-02-02 06:06:35:0155, diag_itementered, id=27129, type=1
2014-02-02 06:06:35:0179, diag_itemexited, id=27129, type=1
2014-02-02 06:06:35:0358, diag_itementered, id=24551, type=1
2014-02-02 06:06:35:0481, diag_itemexited, id=24551, type=1
2014-02-02 06:06:35:0664, diag_itementered, id=24551, type=1
2014-02-02 06:06:35:0800, diag_itemexited, id=24551, type=1
2014-02-02 06:06:35:0804, diag_itementered, id=17944, type=1
2014-02-02 06:06:36:0481, diag_itemexited, id=17944, type=1
2014-02-02 06:06:36:0608, diag_itementered, id=21652, type=1
2014-02-02 06:06:36:0618, diag_itemexited, id=21652, type=1
2014-02-02 06:06:36:0996, diag_itementered, id=19347, type=1
2014-02-02 06:06:37:0029, diag_itemexited, id=19347, type=1
2014-02-02 06:06:37:0483, diag_itementered, id=19347, type=1
2014-02-02 06:06:39:0281, diag_itemexited, id=19347, type=1
2014-02-02 06:06:39:0863, diag_itementered, id=3049, type=1
2014-02-02 06:06:41:0423, diag_itemexited, id=3049, type=1
2014-02-02 06:06:41:0427, diag_itementered, id=-739043516, type=0
2014-02-02 06:06:41:0437, diag_itemexited, id=-739043516, type=0
2014-02-02 06:06:41:0441, diag_itementered, id=20778, type=1
2014-02-02 06:06:41:0483, diag_itemexited, id=20778, type=1
2014-02-02 06:06:42:0115, diag_itementered, id=24866, type=1
2014-02-02 06:06:42:0122, diag_itemexited, id=24866, type=1
2014-02-02 06:06:42:0192, diag_itementered, id=24866, type=1
2014-02-02 06:06:43:0439, diag_itemexited, id=24866, type=1
2014-02-02 06:06:43:0449, diag_itementered, id=25614, type=1
2014-02-02 06:06:43:0481, diag_itemexited, id=25614, type=1
2014-02-02 06:06:43:0550, list_mouseentered, 123
2014-02-02 06:06:43:0574, list_mouseexited, 
2014-02-02 06:06:44:0846, setup_loaddata
2014-02-02 06:06:45:0410, setup_resizewin
2014-02-02 06:07:01:0727, list_mouseentered, 126
2014-02-02 06:07:01:0839, list_mouseexited, 
2014-02-02 06:07:18:0787, list_mouseentered, 10980
2014-02-02 06:07:18:0844, list_mouseexited, 
2014-02-02 06:07:20:0020, diag_itementered, id=10042, type=1
2014-02-02 06:07:20:0035, diag_itemexited, id=10042, type=1
2014-02-02 06:07:20:0069, diag_itementered, id=10042, type=1
2014-02-02 06:07:20:0105, diag_itemexited, id=10042, type=1
2014-02-02 06:07:20:0837, diag_itementered, id=3881, type=1
2014-02-02 06:07:20:0891, diag_itemexited, id=3881, type=1
2014-02-02 06:07:21:0117, diag_itementered, id=3881, type=1
