2014-02-12 05:28:28:0730, setup_loaddata
2014-02-12 05:28:29:0154, setup_resizewin
2014-02-12 05:28:40:0412, diag_itementered, id=564, type=1
2014-02-12 05:28:40:0849, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0866, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0876, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0900, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0913, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0940, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0949, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0964, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0973, diag_itemdragged, id=564, type=1
2014-02-12 05:28:40:0998, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0011, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0040, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0059, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0071, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0084, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0108, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0149, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0256, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0324, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0414, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0440, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0451, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0464, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0489, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0499, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0512, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0539, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0548, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0561, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0585, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0598, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0610, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0634, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0659, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0670, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0715, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0751, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0773, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0855, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0879, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0903, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0917, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0945, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0952, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0965, diag_itemdragged, id=564, type=1
2014-02-12 05:28:41:0991, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0002, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0013, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0040, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0052, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0063, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0075, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0099, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0114, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0123, diag_itemdragged, id=564, type=1
2014-02-12 05:28:42:0137, diag_itemdragged, id=564, type=1
