2014-02-12 06:37:15:0094, setup_loaddata
2014-02-12 06:37:15:0264, setup_resizewin
2014-02-12 06:37:19:0370, list_mouseentered, 2092
2014-02-12 06:37:20:0634, list_mouseexited
2014-02-12 06:37:21:0369, diag_itementered, id=5514, type=1
2014-02-12 06:37:21:0754, diag_itemexited, id=5514, type=1
2014-02-12 06:37:21:0906, diag_itementered, id=2968, type=1
2014-02-12 06:37:22:0708, diag_itemexited, id=2968, type=1
2014-02-12 06:37:22:0738, diag_itementered, id=5514, type=1
2014-02-12 06:37:23:0355, diag_itemexited, id=5514, type=1
2014-02-12 06:37:23:0403, diag_itementered, id=2968, type=1
2014-02-12 06:37:24:0468, diag_itemexited, id=2968, type=1
2014-02-12 06:37:24:0587, diag_itementered, id=6612, type=1
2014-02-12 06:37:25:0716, diag_itemexited, id=6612, type=1
2014-02-12 06:37:25:0807, diag_itementered, id=7661, type=1
2014-02-12 06:37:26:0621, diag_itemexited, id=7661, type=1
2014-02-12 06:37:26:0762, diag_itementered, id=10506, type=1
2014-02-12 06:37:26:0844, diag_itemexited, id=10506, type=1
2014-02-12 06:37:28:0869, diag_itementered, id=10506, type=1
2014-02-12 06:37:30:0162, diag_itemexited, id=10506, type=1
2014-02-12 06:37:30:0218, diag_itementered, id=2092, type=1
2014-02-12 06:37:30:0747, diag_itemexited, id=2092, type=1
2014-02-12 06:37:30:0931, diag_itementered, id=6612, type=1
2014-02-12 06:37:32:0621, diag_itemexited, id=6612, type=1
2014-02-12 06:37:32:0914, diag_itementered, id=5514, type=1
2014-02-12 06:37:33:0371, diag_itemexited, id=5514, type=1
2014-02-12 06:37:33:0490, diag_itementered, id=2968, type=1
2014-02-12 06:37:33:0971, diag_itemexited, id=2968, type=1
2014-02-12 06:37:34:0058, diag_itementered, id=6612, type=1
2014-02-12 06:37:34:0100, diag_itemexited, id=6612, type=1
2014-02-12 06:37:34:0394, diag_itementered, id=723182422, type=0
2014-02-12 06:37:34:0807, diag_itemexited, id=723182422, type=0
2014-02-12 06:37:34:0851, diag_itementered, id=402122556, type=0
2014-02-12 06:37:35:0318, diag_itemexited, id=402122556, type=0
2014-02-12 06:37:35:0572, diag_itementered, id=3881, type=1
2014-02-12 06:37:35:0617, diag_itemexited, id=3881, type=1
2014-02-12 06:37:35:0657, diag_itementered, id=5078, type=1
2014-02-12 06:37:35:0737, diag_itemexited, id=5078, type=1
2014-02-12 06:37:35:0966, diag_itementered, id=8569, type=1
2014-02-12 06:37:36:0121, diag_itemexited, id=8569, type=1
2014-02-12 06:37:36:0218, diag_itementered, id=3049, type=1
2014-02-12 06:37:36:0899, diag_itemexited, id=3049, type=1
2014-02-12 06:37:37:0209, diag_itementered, id=7720, type=1
2014-02-12 06:37:37:0721, diag_itemexited, id=7720, type=1
2014-02-12 06:37:37:0843, diag_itementered, id=7596, type=1
2014-02-12 06:37:38:0322, diag_itemexited, id=7596, type=1
2014-02-12 06:37:38:0538, diag_itementered, id=8318, type=1
2014-02-12 06:37:38:0971, diag_itemexited, id=8318, type=1
2014-02-12 06:37:39:0015, diag_itementered, id=5855, type=1
2014-02-12 06:37:39:0058, diag_itemexited, id=5855, type=1
2014-02-12 06:37:39:0060, diag_itementered, id=6682, type=1
2014-02-12 06:37:39:0088, diag_itemexited, id=6682, type=1
2014-02-12 06:37:39:0104, diag_itementered, id=7291, type=1
2014-02-12 06:37:39:0130, diag_itemexited, id=7291, type=1
2014-02-12 06:37:41:0507, diag_itementered, id=7539, type=1
2014-02-12 06:37:41:0834, diag_itemexited, id=7539, type=1
2014-02-12 06:37:42:0170, diag_itementered, id=2968, type=1
2014-02-12 06:37:42:0689, diag_itemexited, id=2968, type=1
2014-02-12 06:37:42:0842, diag_itementered, id=6612, type=1
2014-02-12 06:37:43:0268, diag_itemexited, id=6612, type=1
2014-02-12 06:37:43:0515, diag_itementered, id=5514, type=1
2014-02-12 06:37:44:0021, diag_itemexited, id=5514, type=1
2014-02-12 06:37:44:0388, diag_itementered, id=5514, type=1
2014-02-12 06:37:44:0428, diag_itemexited, id=5514, type=1
2014-02-12 06:37:46:0352, diag_itementered, id=7779, type=1
2014-02-12 06:37:48:0127, diag_itemclicked, id=7779, type=1
2014-02-12 06:37:48:0531, diag_itemexited, id=7779, type=1
2014-02-12 06:37:49:0653, list_mouseentered, 6816
2014-02-12 06:37:49:0985, list_mouseexited
2014-02-12 06:37:50:0413, diag_itementered, id=8219, type=1
2014-02-12 06:37:50:0440, diag_itemexited, id=8219, type=1
2014-02-12 06:37:50:0867, diag_itementered, id=7779, type=1
2014-02-12 06:37:51:0673, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0681, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0689, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0697, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0705, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0713, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0721, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0731, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0737, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0746, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0753, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0761, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0769, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0777, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0785, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0793, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0801, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0809, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0817, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0825, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0833, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0841, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0849, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0857, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0865, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0873, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0883, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0889, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0898, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0905, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0913, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0921, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0929, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0937, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0945, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0953, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0961, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0969, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0977, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0985, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:51:0993, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0003, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0009, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0018, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0025, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0033, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0041, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0049, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0057, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0065, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0073, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0081, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0089, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0097, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0105, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0113, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0121, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0129, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0137, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0145, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0156, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0161, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0170, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0177, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0185, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0779, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0788, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0796, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0805, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0813, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0820, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0825, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0833, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0841, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0849, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0857, diag_itemdragged, id=7779, type=1
2014-02-12 06:37:52:0865, diag_itemdragged, id=7779, type=1
