2014-02-24 09:13:35:0429, setup_loaddata
2014-02-24 09:13:36:0026, setup_resizewin
2014-02-24 09:13:50:0701, pattern_create_close
2014-02-24 09:14:03:0621, pattern_create_close
2014-02-24 09:14:08:0503, pattern_create_close
2014-02-24 09:14:14:0784, pattern_create, -1715568130
2014-02-24 09:14:14:0830, pattern_create_open
2014-02-24 09:14:14:0837, pattern_create_close
2014-02-24 09:14:15:0789, list_mouseentered, 123
2014-02-24 09:14:15:0879, list_mouseexited
2014-02-24 09:14:24:0030, pattern_create_close
2014-02-24 09:14:31:0275, pattern_create_close
2014-02-24 09:14:37:0649, pattern_create, 228439942
2014-02-24 09:14:37:0685, pattern_create_open
2014-02-24 09:14:37:0691, pattern_create_close
2014-02-24 09:14:40:0619, diag_itementered, id=2158, type=1
2014-02-24 09:14:40:0644, diag_itemexited, id=2158, type=1
2014-02-24 09:14:46:0340, diag_itementered, id=3881, type=1
2014-02-24 09:14:46:0379, diag_itemexited, id=3881, type=1
2014-02-24 09:14:46:0793, diag_itementered, id=2092, type=1
2014-02-24 09:14:47:0297, diag_itemexited, id=2092, type=1
2014-02-24 09:14:47:0838, diag_itementered, id=8318, type=1
2014-02-24 09:14:48:0251, diag_itemexited, id=8318, type=1
2014-02-24 09:14:48:0579, diag_itementered, id=5855, type=1
2014-02-24 09:14:48:0940, diag_itemexited, id=5855, type=1
2014-02-24 09:14:49:0129, diag_itementered, id=6765, type=1
2014-02-24 09:14:49:0498, diag_itemexited, id=6765, type=1
2014-02-24 09:14:50:0118, diag_itementered, id=382, type=1
2014-02-24 09:14:50:0139, diag_itemexited, id=382, type=1
2014-02-24 09:14:50:0140, diag_itementered, id=5514, type=1
2014-02-24 09:14:50:0164, diag_itemexited, id=5514, type=1
2014-02-24 09:14:50:0796, diag_itementered, id=9913, type=1
2014-02-24 09:14:50:0874, diag_itemexited, id=9913, type=1
2014-02-24 09:14:50:0922, diag_itementered, id=9913, type=1
2014-02-24 09:14:51:0106, diag_itemexited, id=9913, type=1
2014-02-24 09:14:51:0683, diag_itementered, id=564, type=1
2014-02-24 09:14:52:0140, diag_itemexited, id=564, type=1
2014-02-24 09:14:52:0193, diag_itementered, id=6222, type=1
2014-02-24 09:14:52:0603, diag_itemexited, id=6222, type=1
2014-02-24 09:14:54:0442, diag_itementered, id=4630, type=1
2014-02-24 09:14:54:0459, diag_itemexited, id=4630, type=1
2014-02-24 09:14:54:0698, diag_itementered, id=4630, type=1
2014-02-24 09:14:55:0316, diag_itemexited, id=4630, type=1
2014-02-24 09:14:55:0349, diag_itementered, id=7779, type=1
2014-02-24 09:14:55:0374, diag_itemexited, id=7779, type=1
2014-02-24 09:14:55:0873, diag_itementered, id=228439942, type=0
2014-02-24 09:14:56:0173, diag_itemexited, id=228439942, type=0
2014-02-24 09:14:56:0866, diag_itementered, id=-1715568130, type=0
2014-02-24 09:14:57:0467, diag_itemexited, id=-1715568130, type=0
2014-02-24 09:15:00:0436, diag_itementered, id=228439942, type=0
2014-02-24 09:15:00:0474, diag_itemexited, id=228439942, type=0
2014-02-24 09:15:00:0546, diag_itementered, id=-1715568130, type=0
2014-02-24 09:15:00:0763, diag_itemexited, id=-1715568130, type=0
2014-02-24 09:15:01:0328, diag_itementered, id=7539, type=1
2014-02-24 09:15:01:0353, diag_itemexited, id=7539, type=1
2014-02-24 09:15:01:0475, diag_itementered, id=228439942, type=0
2014-02-24 09:15:01:0651, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0667, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0675, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0682, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0690, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0698, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0707, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0714, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0723, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0730, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0739, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0746, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0754, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0762, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0770, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0778, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0787, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0794, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0802, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0810, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0818, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0826, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0834, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0842, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0851, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0858, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0866, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0874, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0882, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0890, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0898, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0906, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0914, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0922, diag_itemdragged, id=228439942, type=0
2014-02-24 09:15:01:0946, diag_itemexited, id=228439942, type=0
2014-02-24 09:15:02:0042, diag_itementered, id=228439942, type=0
2014-02-24 09:15:02:0067, diag_itemexited, id=228439942, type=0
2014-02-24 09:15:02:0243, diag_itementered, id=-1715568130, type=0
2014-02-24 09:15:02:0644, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0651, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0663, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0668, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0674, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0682, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0692, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0698, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0707, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0714, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0723, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0730, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0738, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0746, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0754, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0763, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0770, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0778, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0786, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0794, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0802, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0810, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0819, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0827, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0834, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0842, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0850, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0858, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0867, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0875, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0882, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0890, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0898, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0906, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0914, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0923, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0932, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0939, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0948, diag_itemdragged, id=-1715568130, type=0
2014-02-24 09:15:02:0954, diag_itemdragged, id=-1715568130, type=0
