2014-02-26 06:50:37:0080, setup_loaddata
2014-02-26 06:50:37:0673, setup_resizewin
2014-02-26 06:50:40:0074, list_mouseentered, 126
2014-02-26 06:50:40:0539, list_mouseexited
2014-02-26 06:50:41:0575, search_update, o
2014-02-26 06:50:43:0538, search_update, ob
2014-02-26 06:50:43:0539, search_update, obj
2014-02-26 06:50:43:0540, search_update, obje
2014-02-26 06:50:43:0541, search_update, objec
2014-02-26 06:50:43:0542, search_update, object
2014-02-26 06:50:43:0543, search_update, object 
2014-02-26 06:50:43:0544, search_update, object p
2014-02-26 06:50:43:0545, search_update, object pr
2014-02-26 06:50:44:0536, search_update, object pro
2014-02-26 06:50:45:0261, search_update, object prop
2014-02-26 06:50:45:0487, search_update, object prope
2014-02-26 06:50:45:0646, search_update, object proper
2014-02-26 06:50:45:0896, search_update, object propert
2014-02-26 06:50:46:0106, search_update, object properti
2014-02-26 06:50:46:0414, search_update, object propertie
2014-02-26 06:50:46:0651, search_update, object properties
2014-02-26 06:50:47:0066, list_mouseentered, 126
2014-02-26 06:50:48:0913, discussion_open, 126
2014-02-26 06:50:48:0988, list_mouseexited
2014-02-26 06:51:00:0014, edge_create, Tuple[1,51,0.48048580484801307,1,0.0,1393458636069,1393458636069]
2014-02-26 06:51:00:0038, pattern_change_open
2014-02-26 06:51:08:0793, list_mouseentered, 564
2014-02-26 06:51:09:0736, list_mouseexited
2014-02-26 06:51:12:0003, search_update, 
2014-02-26 06:51:12:0005, search_update, g
2014-02-26 06:51:12:0701, search_update, ge
2014-02-26 06:51:12:0701, search_update, get
2014-02-26 06:51:12:0702, search_update, get 
2014-02-26 06:51:12:0703, search_update, get s
2014-02-26 06:51:13:0762, search_update, get st
2014-02-26 06:51:13:0804, search_update, get sta
2014-02-26 06:51:13:0805, search_update, get star
2014-02-26 06:51:13:0806, search_update, get start
2014-02-26 06:51:13:0971, search_update, get starte
2014-02-26 06:51:14:0357, search_update, get started
2014-02-26 06:51:15:0746, list_mouseentered, 126
2014-02-26 06:51:18:0585, list_mouseexited
2014-02-26 06:51:24:0614, list_mouseentered, 382
2014-02-26 06:51:25:0189, search_update, get starte
2014-02-26 06:51:25:0688, search_update, get start
2014-02-26 06:51:25:0775, search_update, get star
2014-02-26 06:51:25:0776, search_update, get sta
2014-02-26 06:51:25:0945, search_update, get st
2014-02-26 06:51:25:0947, search_update, get s
2014-02-26 06:51:25:0947, search_update, get 
2014-02-26 06:51:25:0948, search_update, get
2014-02-26 06:51:25:0948, search_update, ge
2014-02-26 06:51:26:0058, search_update, g
2014-02-26 06:51:26:0333, search_update, 
2014-02-26 06:51:27:0987, search_update, c
2014-02-26 06:51:27:0988, search_update, co
2014-02-26 06:51:27:0989, search_update, cod
2014-02-26 06:51:28:0055, search_update, code
2014-02-26 06:51:28:0056, search_update, code 
2014-02-26 06:51:28:0057, search_update, code c
2014-02-26 06:51:28:0057, search_update, code co
2014-02-26 06:51:28:0951, search_update, code cov
2014-02-26 06:51:28:0952, search_update, code cove
2014-02-26 06:51:30:0921, discussion_open, 2092
2014-02-26 06:51:30:0944, list_mouseexited
2014-02-26 06:51:35:0340, edge_create, Tuple[4,51,0.7847671211916613,1,0.0,1393458636069,1393458636069]
2014-02-26 06:51:35:0369, pattern_change_open
2014-02-26 06:51:39:0296, list_mouseentered, 123
2014-02-26 06:51:40:0459, list_mouseexited
2014-02-26 06:51:40:0867, list_mouseentered, 123
2014-02-26 06:51:40:0888, list_mouseexited
2014-02-26 06:51:41:0922, diag_itementered, id=1641682794, type=0
2014-02-26 06:51:42:0521, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:42:0557, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:42:0581, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:42:0607, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:42:0631, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:42:0679, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:42:0705, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:42:0840, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:43:0429, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:43:0739, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:43:0896, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:44:0011, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:44:0117, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:44:0267, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:44:0511, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:44:0584, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:44:0648, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:44:0781, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:44:0953, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:45:0334, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:45:0444, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:45:0826, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:45:0899, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0075, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0157, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0194, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0292, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0380, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0575, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0734, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0783, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0906, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:46:0958, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:47:0066, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:47:0324, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:47:0424, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:47:0546, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:47:0669, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:47:0831, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:48:0209, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:48:0791, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:49:0649, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:49:0732, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:49:0757, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:49:0806, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:49:0844, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:50:0138, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:50:0162, diag_itemdragged, id=1641682794, type=0
2014-02-26 06:51:50:0310, diag_itemdragged, id=1641682794, type=0
