2014-02-26 06:53:12:0952, setup_loaddata
2014-02-26 06:53:13:0505, setup_resizewin
2014-02-26 06:53:14:0329, list_mouseentered, 123
2014-02-26 06:53:14:0958, list_mouseexited
2014-02-26 06:53:15:0433, list_mouseentered, 123
2014-02-26 06:53:15:0602, list_mouseexited
2014-02-26 06:53:25:0472, list_mouseentered, 382
2014-02-26 06:53:27:0082, discussion_open, 123
2014-02-26 06:53:27:0141, list_mouseexited
2014-02-26 06:53:30:0760, edge_create, Tuple[0,50,0.24277232909746815,1,0.0,1393458791982,1393458791982]
2014-02-26 06:53:30:0788, pattern_change_open
2014-02-26 06:53:32:0970, list_mouseentered, 123
2014-02-26 06:53:33:0849, list_mouseexited
2014-02-26 06:53:34:0612, diag_itementered, id=5328, type=1
2014-02-26 06:53:34:0659, diag_itemexited, id=5328, type=1
2014-02-26 06:53:34:0749, diag_itementered, id=-771804441, type=0
2014-02-26 06:53:34:0830, diag_itemexited, id=-771804441, type=0
2014-02-26 06:53:34:0831, diag_itementered, id=2109443059, type=0
2014-02-26 06:53:35:0236, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0263, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0285, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0310, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0334, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0359, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0386, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0413, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0433, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0460, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0483, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0508, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0534, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0558, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0580, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0604, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0629, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0655, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0682, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0702, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0727, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0751, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0776, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0802, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0825, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0850, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0876, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0899, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0923, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:35:0949, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0000, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0022, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0047, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0074, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0096, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0120, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0145, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0170, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0196, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0219, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0246, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0269, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0305, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0330, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0369, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0393, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0415, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0439, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0464, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0488, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0512, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0538, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0562, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0586, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0613, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0647, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:53:36:0785, diag_itemexited, id=2109443059, type=0
2014-02-26 06:53:42:0097, search_update, e
2014-02-26 06:53:43:0197, search_update, em
2014-02-26 06:53:43:0410, search_update, emb
2014-02-26 06:53:43:0551, search_update, embe
2014-02-26 06:53:46:0989, search_update, emb
2014-02-26 06:53:47:0191, search_update, em
2014-02-26 06:53:47:0365, search_update, e
2014-02-26 06:53:47:0890, search_update, 
2014-02-26 06:53:48:0391, search_update, b
2014-02-26 06:53:48:0796, search_update, bi
2014-02-26 06:53:49:0025, search_update, bin
2014-02-26 06:53:50:0608, list_mouseentered, 8599
2014-02-26 06:53:51:0828, search_update, bi
2014-02-26 06:53:52:0044, search_update, b
2014-02-26 06:53:52:0927, search_update, 
2014-02-26 06:53:54:0334, search_update, e
2014-02-26 06:53:54:0805, search_update, em
2014-02-26 06:53:56:0461, search_update, e
2014-02-26 06:53:56:0897, search_update, 
2014-02-26 06:53:59:0350, search_update, h
2014-02-26 06:54:00:0940, search_update, ho
2014-02-26 06:54:01:0108, search_update, how
2014-02-26 06:54:02:0702, search_update, ho
2014-02-26 06:54:02:0929, search_update, h
2014-02-26 06:54:03:0523, search_update, 
2014-02-26 06:54:04:0711, list_mouseexited
2014-02-26 06:54:04:0909, diag_itementered, id=0.24277232909746815, type=1
2014-02-26 06:54:04:0938, diag_itemexited, id=0.24277232909746815, type=1
2014-02-26 06:54:05:0082, diag_itementered, id=0.24277232909746815, type=1
2014-02-26 06:54:05:0118, diag_itemexited, id=0.24277232909746815, type=1
2014-02-26 06:54:05:0208, diag_itementered, id=2109443059, type=0
2014-02-26 06:54:05:0412, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0447, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0472, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0498, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0521, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0545, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0570, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0595, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0620, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0644, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0668, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0694, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0716, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0741, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:05:0768, diag_itemexited, id=2109443059, type=0
2014-02-26 06:54:05:0891, diag_itementered, id=2109443059, type=0
2014-02-26 06:54:05:0918, diag_itemexited, id=2109443059, type=0
2014-02-26 06:54:06:0115, list_mouseentered, 9913
2014-02-26 06:54:06:0479, list_mouseexited
2014-02-26 06:54:07:0058, search_update, d
2014-02-26 06:54:08:0074, search_update, 
2014-02-26 06:54:08:0997, list_mouseentered, 7539
2014-02-26 06:54:09:0169, list_mouseexited
2014-02-26 06:54:09:0679, diag_itementered, id=2109443059, type=0
2014-02-26 06:54:09:0734, diag_itemexited, id=2109443059, type=0
2014-02-26 06:54:09:0835, diag_itementered, id=0.24277232909746815, type=1
2014-02-26 06:54:09:0857, diag_itemexited, id=0.24277232909746815, type=1
2014-02-26 06:54:10:0106, diag_itementered, id=0.24277232909746815, type=1
2014-02-26 06:54:10:0203, diag_itemexited, id=0.24277232909746815, type=1
2014-02-26 06:54:10:0365, diag_itementered, id=2109443059, type=0
2014-02-26 06:54:10:0395, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0409, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0434, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0459, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0483, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0508, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0532, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0557, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0583, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0606, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0631, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0657, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0681, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0705, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0729, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0757, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0779, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0803, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:10:0828, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:11:0002, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:11:0027, diag_itemdragged, id=2109443059, type=0
2014-02-26 06:54:11:0049, diag_itemdragged, id=2109443059, type=0
