2014-03-20 06:27:42:0837, setup_loaddata
2014-03-20 06:27:43:0091, question_create, 407451491
2014-03-20 06:27:44:0285, question_create, 1835181992
2014-03-20 06:27:44:0288, edge_create, Tuple[0,1,0.9125833164505932,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0290, question_create, -1581649719
2014-03-20 06:27:44:0290, edge_create, Tuple[0,2,0.5814318472635636,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0292, question_create, 1876396207
2014-03-20 06:27:44:0293, edge_create, Tuple[0,3,0.2939388994037587,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0295, question_create, 292350173
2014-03-20 06:27:44:0296, edge_create, Tuple[0,4,0.07919028071238554,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0298, question_create, 268151573
2014-03-20 06:27:44:0299, edge_create, Tuple[0,5,0.34053852178742994,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0300, question_create, 63761805
2014-03-20 06:27:44:0301, edge_create, Tuple[0,6,0.06886797077607654,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0303, question_create, 1415608714
2014-03-20 06:27:44:0303, edge_create, Tuple[0,7,0.11994468082006449,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0304, question_create, 1323443903
2014-03-20 06:27:44:0305, edge_create, Tuple[0,8,0.9776011792100002,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0306, question_create, -1621144452
2014-03-20 06:27:44:0306, edge_create, Tuple[0,9,0.5565156683359928,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0307, question_create, -95254900
2014-03-20 06:27:44:0307, edge_create, Tuple[0,10,0.7746486114971497,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0308, question_create, -2045762400
2014-03-20 06:27:44:0309, edge_create, Tuple[0,11,0.5011690911189787,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0310, question_create, -361938272
2014-03-20 06:27:44:0310, edge_create, Tuple[0,12,0.8985645886713904,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0311, question_create, -841894399
2014-03-20 06:27:44:0312, edge_create, Tuple[0,13,0.2973890940643322,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0312, question_create, 525489026
2014-03-20 06:27:44:0313, edge_create, Tuple[0,14,0.14770865017661472,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0313, question_create, -1072670413
2014-03-20 06:27:44:0314, edge_create, Tuple[0,15,0.8570820515658384,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0315, question_create, 674164104
2014-03-20 06:27:44:0315, edge_create, Tuple[0,16,0.04188503699785362,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0316, question_create, -338917322
2014-03-20 06:27:44:0316, edge_create, Tuple[0,17,0.4705371601678352,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0317, question_create, -1794439119
2014-03-20 06:27:44:0318, edge_create, Tuple[0,18,0.6336577469842746,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0318, question_create, -1329103380
2014-03-20 06:27:44:0319, edge_create, Tuple[0,19,0.6622916608881562,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0319, question_create, 492786304
2014-03-20 06:27:44:0320, edge_create, Tuple[0,20,0.4553950635505588,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0321, question_create, 858872914
2014-03-20 06:27:44:0321, edge_create, Tuple[0,21,0.2099561193667736,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0322, question_create, 1046358000
2014-03-20 06:27:44:0322, edge_create, Tuple[0,22,0.34661922309103577,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0323, question_create, -889213959
2014-03-20 06:27:44:0324, edge_create, Tuple[0,23,0.16621949258394542,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0324, question_create, -770274883
2014-03-20 06:27:44:0325, edge_create, Tuple[0,24,0.9144033900328464,1,0.0,1395311261744,1395311261744]
2014-03-20 06:27:44:0398, setup_resizewin
2014-03-20 06:52:15:0958, list_mouseentered, 2092
2014-03-20 06:52:16:0557, list_mouseexited
