2014-03-23 10:02:35:0556, setup_loaddata
2014-03-23 10:02:36:0195, setup_resizewin
2014-03-23 10:02:40:0705, diag_itementered, id=5222, type=1
2014-03-23 10:02:40:0751, diag_itemexited, id=5222, type=1
2014-03-23 10:02:40:0845, diag_itementered, id=-771804441, type=0
2014-03-23 10:02:41:0937, diag_itemclicked, id=-771804441, type=0
2014-03-23 10:02:43:0061, diag_itemexited, id=-771804441, type=0
2014-03-23 10:02:43:0077, diag_itementered, id=3881, type=1
2014-03-23 10:02:43:0139, diag_itemexited, id=3881, type=1
2014-03-23 10:02:43:0155, diag_itementered, id=6392, type=1
2014-03-23 10:02:43:0186, diag_itemexited, id=6392, type=1
2014-03-23 10:02:47:0648, list_mouseentered, 5222
2014-03-23 10:02:47:0804, list_mouseexited
2014-03-23 10:02:48:0849, diag_itementered, id=3881, type=1
2014-03-23 10:02:49:0864, edge_create, Tuple[0,1,0.006455707503776553,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0864, answer_create, 3886
2014-03-23 10:02:49:0864, edge_create, Tuple[1,2,0.8406637802429779,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0864, answer_create, 3890
2014-03-23 10:02:49:0879, edge_create, Tuple[1,3,0.27204902001833553,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 4381
2014-03-23 10:02:49:0879, edge_create, Tuple[1,4,0.8992103815003369,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 6358
2014-03-23 10:02:49:0879, edge_create, Tuple[1,5,0.7518798422489306,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 7770
2014-03-23 10:02:49:0879, edge_create, Tuple[1,6,0.547189396288332,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 8132
2014-03-23 10:02:49:0879, edge_create, Tuple[1,7,0.7453319583584582,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 8160
2014-03-23 10:02:49:0879, edge_create, Tuple[1,8,0.24277553611523062,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 13262
2014-03-23 10:02:49:0879, edge_create, Tuple[1,9,0.5039333149909689,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 22074
2014-03-23 10:02:49:0879, edge_create, Tuple[1,10,0.6113533339863102,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 32940
2014-03-23 10:02:49:0879, edge_create, Tuple[1,11,0.3961070723190906,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 38267
2014-03-23 10:02:49:0879, edge_create, Tuple[1,12,0.7864616567221103,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 45518
2014-03-23 10:02:49:0879, edge_create, Tuple[1,13,0.8506238769073715,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 47710
2014-03-23 10:02:49:0879, edge_create, Tuple[1,14,0.9580303550702783,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 51213
2014-03-23 10:02:49:0879, edge_create, Tuple[1,15,0.45207801272115045,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 212119
2014-03-23 10:02:49:0879, edge_create, Tuple[1,16,0.5329717895784944,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 247447
2014-03-23 10:02:49:0879, edge_create, Tuple[1,17,0.18105274770318125,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 452516
2014-03-23 10:02:49:0879, edge_create, Tuple[1,18,0.8617628047112184,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 1072549
2014-03-23 10:02:49:0879, edge_create, Tuple[1,19,0.737460792649011,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 1871889
2014-03-23 10:02:49:0879, edge_create, Tuple[1,20,0.09456540453386542,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 8196334
2014-03-23 10:02:49:0879, edge_create, Tuple[1,21,0.30334928348375356,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 10195862
2014-03-23 10:02:49:0879, edge_create, Tuple[1,22,0.18000800283528318,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 13311822
2014-03-23 10:02:49:0879, edge_create, Tuple[1,23,0.21488238337882815,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0879, answer_create, 13312050
2014-03-23 10:02:49:0895, edge_create, Tuple[1,24,0.2904286557022474,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0895, answer_create, 14104551
2014-03-23 10:02:49:0896, edge_create, Tuple[1,25,0.37401160564229086,4,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[0,26,0.4837370286011048,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,27,0.9684003676183025,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,28,0.3317799323686056,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,29,0.14149176390104945,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,30,0.6490137045079692,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,31,0.6993296448189587,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,32,0.637343501682352,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,33,0.12112090203975434,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,34,0.4702536915596218,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0896, edge_create, Tuple[26,35,0.9989445855889827,1,0.0,1395626554586,1395626554586]
2014-03-23 10:02:49:0927, diag_itemclicked, id=3881, type=1
2014-03-23 10:02:50:0832, diag_itemexited, id=3881, type=1
