2014-03-24 05:30:40:0344, setup_loaddata
2014-03-24 05:30:41:0001, setup_resizewin
2014-03-24 05:30:43:0162, diag_itementered, id=8968, type=1
2014-03-24 05:30:43:0222, diag_itemexited, id=8968, type=1
2014-03-24 05:30:43:0817, diag_itementered, id=5514, type=1
2014-03-24 05:30:45:0867, edge_create, Tuple[0,1,0.49149293079708867,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0870, edge_create, Tuple[1,2,0.6436202680193225,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0872, edge_create, Tuple[1,3,0.24121944267306972,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0876, edge_create, Tuple[1,4,0.05976086278763937,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0878, edge_create, Tuple[1,5,0.7521440139342073,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0881, edge_create, Tuple[1,6,0.5328571345654358,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0882, edge_create, Tuple[1,7,0.885015080692214,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0885, edge_create, Tuple[1,8,0.9984723905813456,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0887, edge_create, Tuple[1,9,0.2024205148505902,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0890, edge_create, Tuple[1,10,0.7648632119271565,1,0.0,1395653439425,1395653439425]
2014-03-24 05:30:45:0952, diag_itemclicked, id=5514, type=1
2014-03-24 05:30:52:0910, diag_itemexited, id=5514, type=1
