2014-03-24 05:36:10:0432, setup_loaddata
2014-03-24 05:36:10:0951, setup_resizewin
2014-03-24 05:36:13:0342, diag_itementered, id=7681, type=1
2014-03-24 05:36:15:0209, edge_create, Tuple[0,1,0.23759958069004927,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0210, edge_create, Tuple[1,2,0.09738972929556233,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0212, edge_create, Tuple[1,3,0.9819824449515473,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0213, edge_create, Tuple[1,4,0.1945065718886827,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0214, edge_create, Tuple[1,5,0.32653946113849686,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0215, edge_create, Tuple[1,6,0.8628734371345882,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0217, edge_create, Tuple[1,7,0.4866384063758433,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0218, edge_create, Tuple[1,8,0.18439849402074016,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0219, edge_create, Tuple[1,9,0.8946456778734433,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0220, edge_create, Tuple[1,10,0.40277692247716423,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0220, edge_create, Tuple[1,11,0.6568914314205275,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0222, edge_create, Tuple[1,12,0.28004938657798006,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0223, edge_create, Tuple[1,13,0.9988858223441216,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0224, edge_create, Tuple[1,14,0.36189956888026154,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0225, edge_create, Tuple[1,15,0.46852336795731053,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0227, edge_create, Tuple[1,16,0.9995385428140237,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0228, edge_create, Tuple[1,17,0.9126667346774591,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0229, edge_create, Tuple[1,18,0.646759133412658,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0230, edge_create, Tuple[1,19,0.7496924143954558,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0232, edge_create, Tuple[1,20,0.6139693968104054,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0233, edge_create, Tuple[1,21,0.5607520826574014,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0234, edge_create, Tuple[1,22,0.41849285198712194,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0234, edge_create, Tuple[1,23,0.7002266929039146,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0235, edge_create, Tuple[1,24,0.00203327709314427,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0237, edge_create, Tuple[1,25,0.368819472046483,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0238, edge_create, Tuple[1,26,0.09995427187611672,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0238, edge_create, Tuple[1,27,0.24177100120735284,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0239, edge_create, Tuple[1,28,0.7290497571530703,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0239, edge_create, Tuple[1,29,0.343727424145444,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0240, edge_create, Tuple[1,30,0.2250387053223365,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0240, edge_create, Tuple[1,31,0.9079243805757977,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0242, edge_create, Tuple[1,32,0.20049013866881937,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0243, edge_create, Tuple[1,33,0.6507585480518218,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0243, edge_create, Tuple[1,34,0.7287789864631687,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0244, edge_create, Tuple[1,35,0.3868249221910951,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0244, edge_create, Tuple[1,36,0.5886224620716421,1,0.0,1395653769494,1395653769494]
2014-03-24 05:36:15:0282, diag_itemclicked, id=7681, type=1
2014-03-24 05:36:40:0021, diag_itemexited, id=7681, type=1
