2014-03-26 04:22:27:0173, setup_loaddata
2014-03-26 04:22:27:0579, setup_loaddata
2014-03-26 04:22:28:0000, setup_resizewin
2014-03-26 04:22:29:0452, list_mouseentered, 123
2014-03-26 04:22:29:0795, list_mouseexited
2014-03-26 04:22:30:0341, search_update, v
2014-03-26 04:22:31:0511, diag_itementered, id=4922, type=1
2014-03-26 04:22:32:0339, edge_create, Tuple[0,1,0.49258154658843256,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:32:0339, answer_create, 4932
2014-03-26 04:22:32:0339, edge_create, Tuple[1,2,0.10399016771955383,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:32:0339, answer_create, 5091
2014-03-26 04:22:32:0339, edge_create, Tuple[1,3,0.26704411958296304,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:32:0339, answer_create, 5164
2014-03-26 04:22:32:0339, edge_create, Tuple[1,4,0.6842016004511783,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:32:0339, edge_create, Tuple[0,5,0.4393819877360814,1,0.0,1395822146252,1395822146252]
2014-03-26 04:22:32:0339, edge_create, Tuple[5,6,0.6652517634419465,1,0.0,1395822146252,1395822146252]
2014-03-26 04:22:32:0339, edge_create, Tuple[5,7,0.11100826425133536,1,0.0,1395822146252,1395822146252]
2014-03-26 04:22:32:0386, diag_itemclicked, id=4922, type=1
2014-03-26 04:22:36:0926, diag_itemexited, id=4922, type=1
2014-03-26 04:22:44:0632, diag_itementered, id=6222, type=1
2014-03-26 04:22:44:0679, diag_itemexited, id=6222, type=1
2014-03-26 04:22:44:0710, diag_itementered, id=5078, type=1
2014-03-26 04:22:44:0757, diag_itemexited, id=5078, type=1
2014-03-26 04:22:44:0898, diag_itementered, id=5328, type=1
2014-03-26 04:22:45:0490, diag_itemexited, id=5328, type=1
2014-03-26 04:22:45:0600, diag_itementered, id=5078, type=1
2014-03-26 04:22:45:0646, diag_itemexited, id=5078, type=1
2014-03-26 04:22:45:0880, diag_itementered, id=5078, type=1
2014-03-26 04:22:46:0005, diag_itemexited, id=5078, type=1
2014-03-26 04:22:46:0130, diag_itementered, id=5078, type=1
2014-03-26 04:22:46:0802, edge_create, Tuple[0,1,0.9761674363227796,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:46:0802, answer_create, 5080
2014-03-26 04:22:46:0802, edge_create, Tuple[1,2,0.48591821954280157,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:46:0802, answer_create, 5090
2014-03-26 04:22:46:0802, edge_create, Tuple[1,3,0.8292916702918592,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:46:0802, answer_create, 5092
2014-03-26 04:22:46:0802, edge_create, Tuple[1,4,0.9255939990477476,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:46:0802, answer_create, 5108
2014-03-26 04:22:46:0817, edge_create, Tuple[1,5,0.6251951420333318,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:46:0817, answer_create, 5110
2014-03-26 04:22:46:0817, edge_create, Tuple[1,6,0.8559268328969231,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:46:0817, answer_create, 5149
2014-03-26 04:22:46:0817, edge_create, Tuple[1,7,0.3280728597645959,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:46:0817, answer_create, 5316
2014-03-26 04:22:46:0817, edge_create, Tuple[1,8,0.11165009124620817,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:46:0817, answer_create, 9195
2014-03-26 04:22:46:0817, edge_create, Tuple[1,9,0.1513406828829681,4,0.0,1395822146252,1395822146252]
