2014-03-26 05:42:56:0738, setup_loaddata
2014-03-26 05:42:59:0187, list_mouseentered, 126
2014-03-26 05:43:00:0295, list_mouseexited
2014-03-26 05:43:01:0371, search_update, v
2014-03-26 05:43:02:0572, search_update, 
2014-03-26 05:43:04:0413, list_mouseentered, 126
2014-03-26 05:43:05:0493, edge_create, Tuple[0,1,0.9252138206071792,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 127
2014-03-26 05:43:05:0493, edge_create, Tuple[1,2,0.5461836428518803,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 128
2014-03-26 05:43:05:0493, edge_create, Tuple[1,3,0.9556859206580205,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 139
2014-03-26 05:43:05:0493, edge_create, Tuple[1,4,0.045481464322558396,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 142
2014-03-26 05:43:05:0493, edge_create, Tuple[1,5,0.31306281277999415,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 143
2014-03-26 05:43:05:0493, edge_create, Tuple[1,6,0.7246330837750193,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 169
2014-03-26 05:43:05:0493, edge_create, Tuple[1,7,0.9676903232190034,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 186
2014-03-26 05:43:05:0493, edge_create, Tuple[1,8,0.553006769277467,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 3485
2014-03-26 05:43:05:0493, edge_create, Tuple[1,9,0.0846195285938699,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 14968
2014-03-26 05:43:05:0493, edge_create, Tuple[1,10,0.7602923504201513,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 14980
2014-03-26 05:43:05:0493, edge_create, Tuple[1,11,0.2253434187977028,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 22083
2014-03-26 05:43:05:0493, edge_create, Tuple[1,12,0.43174440141639414,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0493, answer_create, 22111
2014-03-26 05:43:05:0508, edge_create, Tuple[1,13,0.18482938942079608,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, answer_create, 62045
2014-03-26 05:43:05:0508, edge_create, Tuple[1,14,0.13522691958200062,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, answer_create, 98244
2014-03-26 05:43:05:0508, edge_create, Tuple[1,15,0.2974438895030612,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, answer_create, 128396
2014-03-26 05:43:05:0508, edge_create, Tuple[1,16,0.6146458870447095,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, answer_create, 128488
2014-03-26 05:43:05:0508, edge_create, Tuple[1,17,0.8865102355218452,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, answer_create, 157081
2014-03-26 05:43:05:0508, edge_create, Tuple[1,18,0.23461480880408503,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, answer_create, 2099971
2014-03-26 05:43:05:0508, edge_create, Tuple[1,19,0.4674403772827561,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, answer_create, 6237699
2014-03-26 05:43:05:0508, edge_create, Tuple[1,20,0.16849737323361602,4,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[0,21,0.27039423501638926,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[21,22,0.0958868572129774,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[21,23,0.13012835877812146,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[21,24,0.9288046153676593,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[21,25,0.13110839080530412,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[21,26,0.28425295017357366,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[21,27,0.0062077804078519705,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[21,28,0.7331857882101848,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0508, edge_create, Tuple[21,29,0.9066583985026445,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0524, edge_create, Tuple[21,30,0.40453188754136404,1,0.0,1395826975848,1395826975848]
2014-03-26 05:43:05:0572, discussion_open, 126
2014-03-26 05:43:06:0913, list_mouseexited
2014-03-26 05:43:19:0908, diag_itementered, id=7779, type=1
2014-03-26 05:43:19:0940, diag_itemexited, id=7779, type=1
2014-03-26 05:43:19:0940, diag_itementered, id=6392, type=1
2014-03-26 05:43:20:0002, diag_itemexited, id=6392, type=1
2014-03-26 05:43:20:0018, diag_itementered, id=5222, type=1
2014-03-26 05:43:20:0033, diag_itemexited, id=5222, type=1
2014-03-26 05:43:20:0158, diag_itementered, id=1641682794, type=0
2014-03-26 05:43:20:0439, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0470, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0486, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0517, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0532, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0564, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0595, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0610, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0642, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0657, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0688, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0704, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0735, diag_itemdragged, id=1641682794, type=0
2014-03-26 05:43:20:0891, diag_itemexited, id=1641682794, type=0
2014-03-26 05:43:21:0110, diag_itementered, id=6658, type=1
2014-03-26 05:43:21:0156, diag_itemexited, id=6658, type=1
2014-03-26 05:43:21:0188, diag_itementered, id=-771804441, type=0
2014-03-26 05:43:21:0312, diag_itemexited, id=-771804441, type=0
2014-03-26 05:43:21:0624, diag_itementered, id=2109443059, type=0
2014-03-26 05:43:21:0890, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:21:0921, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:21:0936, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:21:0968, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:21:0983, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:22:0014, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:22:0030, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:22:0061, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:22:0077, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:22:0108, diag_itemdragged, id=2109443059, type=0
2014-03-26 05:43:22:0311, diag_itemexited, id=2109443059, type=0
2014-03-26 05:43:22:0716, diag_itementered, id=2968, type=1
2014-03-26 05:43:22:0732, diag_itemexited, id=2968, type=1
2014-03-26 05:43:22:0857, diag_itementered, id=-771804441, type=0
2014-03-26 05:43:23:0075, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0106, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0122, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0153, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0169, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0200, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0231, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0247, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0278, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0294, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0325, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0340, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0372, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0403, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0418, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0450, diag_itemdragged, id=-771804441, type=0
2014-03-26 05:43:23:0637, diag_itemexited, id=-771804441, type=0
