2014-03-26 06:35:04:0224, setup_loaddata
2014-03-26 06:35:07:0624, list_mouseentered, 123
2014-03-26 06:35:07:0640, list_mouseexited
2014-03-26 06:35:11:0181, list_mouseentered, 382
2014-03-26 06:35:11:0353, list_mouseexited
2014-03-26 06:35:14:0052, diag_itementered, id=7596, type=1
2014-03-26 06:35:14:0130, diag_itemexited, id=7596, type=1
2014-03-26 06:35:14:0223, diag_itementered, id=5222, type=1
2014-03-26 06:35:15:0332, edge_create, Tuple[0,1,0.042621055072292635,4,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, answer_create, 5224
2014-03-26 06:35:15:0347, edge_create, Tuple[1,2,0.019270817476119917,4,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, answer_create, 5227
2014-03-26 06:35:15:0347, edge_create, Tuple[1,3,0.06420901528170297,4,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, answer_create, 11042
2014-03-26 06:35:15:0347, edge_create, Tuple[1,4,0.1265169533462719,4,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[0,5,0.15430899710354973,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,6,0.6489836549610193,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,7,0.6262472423499987,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,8,0.6742150833023973,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,9,0.5488089927622122,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,10,0.11076787256395071,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,11,0.3231044838091697,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,12,0.5576497707468088,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,13,0.4928254436421261,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0347, edge_create, Tuple[5,14,0.0030987213196365104,1,0.0,1395830103379,1395830103379]
2014-03-26 06:35:15:0411, diag_itemclicked, id=5222, type=1
2014-03-26 06:35:16:0082, diag_itemexited, id=5222, type=1
