2014-03-28 06:15:14:0972, setup_loaddata
2014-03-28 06:15:16:0625, diag_itementered, id=7291, type=1
2014-03-28 06:15:16:0703, diag_itemexited, id=7291, type=1
2014-03-28 06:15:17:0214, diag_itementered, id=6816, type=1
2014-03-28 06:15:17:0598, diag_itemdragged, id=6816, type=1
2014-03-28 06:15:17:0630, diag_itemdragged, id=6816, type=1
2014-03-28 06:15:19:0043, edge_create, Tuple[0,1,0.30673139929540305,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0044, edge_create, Tuple[1,2,0.6214368894858594,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0045, edge_create, Tuple[1,3,0.6246909723614859,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0046, edge_create, Tuple[1,4,0.3393992840443302,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0047, edge_create, Tuple[1,5,0.2735178278786269,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0048, edge_create, Tuple[1,6,0.8479833313399826,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0049, edge_create, Tuple[1,7,0.05473957533943041,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0050, edge_create, Tuple[1,8,0.264609856501574,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0051, edge_create, Tuple[1,9,0.3324887336185477,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0052, edge_create, Tuple[1,10,0.24489857273010762,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0052, edge_create, Tuple[1,11,0.5560619113576081,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0053, edge_create, Tuple[1,12,0.5229187710979818,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0054, edge_create, Tuple[1,13,0.6194176783506288,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0055, edge_create, Tuple[1,14,0.11149177385690279,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0056, edge_create, Tuple[1,15,0.22836555598889474,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0057, edge_create, Tuple[1,16,0.7186613168951277,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0058, edge_create, Tuple[1,17,0.8229580334470782,1,0.0,1396001714135,1396001714135]
2014-03-28 06:15:19:0095, diag_itemclicked, id=6816, type=1
2014-03-28 06:15:19:0636, diag_itemexited, id=6816, type=1
2014-03-28 06:15:30:0590, pattern_change_cancel
2014-03-28 06:15:30:0592, pattern_change_open
2014-03-28 06:15:53:0740, pattern_change_cancel
2014-03-28 06:15:53:0742, pattern_change_open
2014-03-28 06:15:57:0813, edge_create, Tuple[28,500,0.9980501415962153,1,0.0,1394919271835,1394919271835]
2014-03-28 06:16:00:0043, pattern_change_cancel
2014-03-28 06:16:00:0044, pattern_change_open
