2014-03-28 10:26:20:0814, setup_loaddata
2014-03-28 10:26:22:0444, diag_itementered, id=7681, type=1
2014-03-28 10:26:22:0496, diag_itemexited, id=7681, type=1
2014-03-28 10:26:22:0941, diag_itementered, id=2968, type=1
2014-03-28 10:26:24:0563, edge_create, Tuple[0,1,0.28825875944743506,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0564, edge_create, Tuple[1,2,0.5090274864127124,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0565, edge_create, Tuple[1,3,0.23684335025188197,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0566, edge_create, Tuple[1,4,0.23449847256923884,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0567, edge_create, Tuple[1,5,0.9398991555942917,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0568, edge_create, Tuple[1,6,0.1830527340533895,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0569, edge_create, Tuple[1,7,0.5883171180055454,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0570, edge_create, Tuple[1,8,0.20151519829918563,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0571, edge_create, Tuple[1,9,0.08081635272676868,1,0.0,1396016779938,1396016779938]
2014-03-28 10:26:24:0607, diag_itemclicked, id=2968, type=1
2014-03-28 10:26:24:0609, diag_itemexited, id=2968, type=1
2014-03-28 10:26:39:0274, pattern_change_cancel
2014-03-28 10:26:39:0275, pattern_change_open
