2014-04-02 06:53:03:0745, setup_loaddata
2014-04-02 06:53:04:0927, list_mouseentered, 123
2014-04-02 06:53:05:0039, list_mouseexited
2014-04-02 06:53:06:0516, diag_itementered, id=5855, type=1
2014-04-02 06:53:06:0579, diag_itemexited, id=5855, type=1
2014-04-02 06:53:06:0780, diag_itementered, id=5855, type=1
2014-04-02 06:53:09:0118, diag_itemexited, id=5855, type=1
2014-04-02 06:53:09:0860, diag_itementered, id=5855, type=1
2014-04-02 06:53:12:0077, diag_itemexited, id=5855, type=1
2014-04-02 06:53:12:0300, diag_itementered, id=5328, type=1
2014-04-02 06:53:12:0777, diag_itemexited, id=5328, type=1
2014-04-02 06:53:12:0845, diag_itementered, id=6612, type=1
2014-04-02 06:53:12:0883, diag_itemexited, id=6612, type=1
2014-04-02 06:53:13:0926, diag_itementered, id=5855, type=1
2014-04-02 06:53:13:0978, diag_itemexited, id=5855, type=1
2014-04-02 06:53:14:0294, diag_itementered, id=5855, type=1
2014-04-02 06:53:14:0638, diag_itemexited, id=5855, type=1
2014-04-02 06:53:14:0885, diag_itementered, id=6612, type=1
2014-04-02 06:53:15:0320, diag_itemexited, id=6612, type=1
2014-04-02 06:53:15:0839, diag_itementered, id=6765, type=1
2014-04-02 06:53:16:0268, diag_itemexited, id=6765, type=1
2014-04-02 06:53:16:0340, diag_itementered, id=6658, type=1
2014-04-02 06:53:16:0371, diag_itemexited, id=6658, type=1
2014-04-02 06:53:17:0002, diag_itementered, id=2158, type=1
2014-04-02 06:53:17:0033, diag_itemexited, id=2158, type=1
2014-04-02 06:53:17:0337, diag_itementered, id=2158, type=1
2014-04-02 06:53:19:0028, edge_create, Tuple[0,1,0.7258825941243602,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0029, edge_create, Tuple[1,2,0.18450156991749855,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0030, edge_create, Tuple[1,3,0.7306523415745991,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0031, edge_create, Tuple[1,4,0.5839652767452297,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0032, edge_create, Tuple[1,5,0.18909979009515998,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0033, edge_create, Tuple[1,6,0.4341867133232832,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0034, edge_create, Tuple[1,7,0.958930936020404,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0035, edge_create, Tuple[1,8,0.2992307541278163,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0036, edge_create, Tuple[1,9,0.7684820643882595,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0036, edge_create, Tuple[1,10,0.39433083786438483,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0037, edge_create, Tuple[1,11,0.3805744345311546,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0038, edge_create, Tuple[1,12,0.15470348737252793,1,0.0,1396435982881,1396435982881]
2014-04-02 06:53:19:0039, edge_create, Tuple[1,13,0.6139818541149084,1,0.0,1396435982881,1396435982881]
