2014-04-03 06:15:12:0720, setup_loaddata
2014-04-03 06:15:14:0654, list_mouseentered, 123
2014-04-03 06:15:15:0212, list_mouseexited
2014-04-03 06:15:15:0893, list_mouseentered, 23950
2014-04-03 06:15:16:0055, list_mouseexited
2014-04-03 06:15:16:0296, list_mouseentered, 27065
2014-04-03 06:15:16:0679, list_mouseexited
2014-04-03 06:15:17:0157, list_mouseentered, 26732
2014-04-03 06:15:17:0216, list_mouseexited
2014-04-03 06:15:18:0080, list_mouseentered, -771804441
2014-04-03 06:15:19:0896, edge_create, Tuple[0,1,0.9101636035716605,1,0.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0898, edge_create, Tuple[1,2,0.7662063162483082,1,0.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0899, edge_create, Tuple[1,3,0.9308222815639641,1,0.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0900, edge_create, Tuple[1,4,0.6314617740761412,1,0.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0901, edge_create, Tuple[1,5,0.8192039610950642,1,0.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0902, edge_create, Tuple[1,6,0.796811392293137,1,0.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0903, edge_create, Tuple[1,7,0.0037720903477329593,1,0.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0904, edge_create, Tuple[0,8,0.3430527026334984,2,1.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0904, pattern_create, 80579009
2014-04-03 06:15:19:0904, edge_create, Tuple[8,9,0.7080525634102358,2,1.0,1396520112226,1396520112226]
2014-04-03 06:15:19:0937, list_mouseexited
