2014-04-09 10:54:36:0941, setup_loaddata
2014-04-09 10:54:46:0142, list_mouseentered, 2931
2014-04-09 10:54:47:0121, list_mouseexited
2014-04-09 10:54:50:0806, list_mouseentered, 6612
2014-04-09 10:54:51:0814, list_mouseexited
2014-04-09 10:54:52:0747, list_mouseentered, 12927
2014-04-09 10:54:55:0606, list_mouseexited
2014-04-09 10:54:59:0192, list_mouseentered, 123
2014-04-09 10:55:00:0985, edge_create, Tuple[0,1,0.9483245464983533,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0987, edge_create, Tuple[1,2,0.7392824745189598,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0989, edge_create, Tuple[1,3,0.7717776283159488,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0990, edge_create, Tuple[1,4,0.9875810314510881,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0992, edge_create, Tuple[1,5,0.8613791690998492,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0993, edge_create, Tuple[1,6,0.3917145789139894,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0994, edge_create, Tuple[1,7,0.05630725751708521,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0995, edge_create, Tuple[1,8,0.13583500457016806,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0996, edge_create, Tuple[1,9,0.6465294196403772,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0997, edge_create, Tuple[1,10,0.39713763057971296,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0998, edge_create, Tuple[1,11,0.41918792383545556,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:00:0999, edge_create, Tuple[1,12,0.5934368143318207,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0000, edge_create, Tuple[1,13,0.687780111997018,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0001, edge_create, Tuple[1,14,0.37320632103693097,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0002, edge_create, Tuple[1,15,0.33408682859723904,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0003, edge_create, Tuple[1,16,0.6734731308697631,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0005, edge_create, Tuple[1,17,0.5223840274357016,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0006, edge_create, Tuple[1,18,0.005520179906599365,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0007, edge_create, Tuple[1,19,0.8692548660285265,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0008, edge_create, Tuple[1,20,0.01034733220928763,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0009, edge_create, Tuple[1,21,0.3619069598083211,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0010, edge_create, Tuple[1,22,0.3734192842116859,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0011, edge_create, Tuple[1,23,0.1205145523924217,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0012, edge_create, Tuple[1,24,0.1601881248466831,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0012, edge_create, Tuple[1,25,0.3686037252045985,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0013, edge_create, Tuple[0,26,0.1796276594182986,2,1.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0014, pattern_create, -2129201303
2014-04-09 10:55:01:0014, edge_create, Tuple[26,27,0.3983535034386084,2,1.0,1397055276405,1397055276405]
2014-04-09 10:55:01:0170, discussion_open, 123
2014-04-09 10:55:01:0276, list_mouseexited
2014-04-09 10:55:01:0277, list_mouseentered, 7681
2014-04-09 10:55:17:0751, list_mouseexited
2014-04-09 10:55:17:0941, diag_itementered, id=66032, type=1
2014-04-09 10:55:17:0957, diag_itemexited, id=66032, type=1
2014-04-09 10:55:18:0069, diag_itementered, id=54295, type=1
2014-04-09 10:55:18:0097, diag_itemexited, id=54295, type=1
2014-04-09 10:55:19:0259, diag_itementered, id=22409, type=1
2014-04-09 10:55:19:0288, diag_itemexited, id=22409, type=1
2014-04-09 10:55:19:0311, diag_itementered, id=8219, type=1
2014-04-09 10:55:19:0337, diag_itemexited, id=8219, type=1
2014-04-09 10:55:19:0379, diag_itementered, id=6392, type=1
2014-04-09 10:55:19:0406, diag_itemexited, id=6392, type=1
2014-04-09 10:55:19:0542, list_mouseentered, 6612
2014-04-09 10:55:20:0254, list_mouseexited
2014-04-09 10:55:39:0065, list_mouseentered, 4242
2014-04-09 10:55:41:0088, list_mouseexited
2014-04-09 10:55:41:0373, diag_itementered, id=23950, type=1
2014-04-09 10:55:41:0392, diag_itemexited, id=23950, type=1
2014-04-09 10:55:41:0457, diag_itementered, id=24623, type=1
2014-04-09 10:55:41:0484, diag_itemexited, id=24623, type=1
2014-04-09 10:55:41:0504, diag_itementered, id=-771804441, type=0
2014-04-09 10:55:41:0523, diag_itemexited, id=-771804441, type=0
2014-04-09 10:55:41:0974, diag_itementered, id=19347, type=1
2014-04-09 10:55:42:0049, diag_itemexited, id=19347, type=1
2014-04-09 10:55:42:0181, diag_itementered, id=15496, type=1
2014-04-09 10:55:42:0610, diag_itemdragged, id=15496, type=1
2014-04-09 10:55:43:0870, discussion_open, 15496
2014-04-09 10:55:43:0871, diag_itemclicked, id=15496, type=1
2014-04-09 10:55:44:0771, diag_itemexited, id=15496, type=1
2014-04-09 10:55:46:0186, diag_itementered, id=4080, type=1
2014-04-09 10:55:46:0204, diag_itemexited, id=4080, type=1
2014-04-09 10:55:46:0477, diag_itementered, id=4080, type=1
2014-04-09 10:55:48:0063, edge_create, Tuple[0,1,0.8925966307208799,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:48:0063, edge_create, Tuple[1,2,0.34900097098911764,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:48:0064, edge_create, Tuple[1,3,0.8359232987492669,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:48:0065, edge_create, Tuple[1,4,0.7260389501316711,1,0.0,1397055276405,1397055276405]
2014-04-09 10:55:48:0070, discussion_open, 4080
2014-04-09 10:55:48:0071, diag_itemclicked, id=4080, type=1
2014-04-09 10:56:14:0589, diag_itemexited, id=4080, type=1
2014-04-09 10:56:16:0911, diag_itementered, id=0.34900097098911764, type=1
2014-04-09 10:56:16:0958, diag_itemexited, id=0.34900097098911764, type=1
2014-04-09 10:56:17:0097, diag_itementered, id=0.34900097098911764, type=1
2014-04-09 10:56:17:0141, diag_itemexited, id=0.34900097098911764, type=1
2014-04-09 10:56:17:0570, diag_itementered, id=4080, type=1
2014-04-09 10:56:19:0269, diag_itemexited, id=4080, type=1
2014-04-09 10:56:20:0506, diag_itementered, id=22409, type=1
2014-04-09 10:56:20:0536, diag_itemexited, id=22409, type=1
2014-04-09 10:56:20:0537, diag_itementered, id=8219, type=1
2014-04-09 10:56:20:0556, diag_itemexited, id=8219, type=1
2014-04-09 10:56:20:0556, diag_itementered, id=23445, type=1
2014-04-09 10:56:20:0578, diag_itemexited, id=23445, type=1
2014-04-09 10:56:20:0598, diag_itementered, id=6392, type=1
2014-04-09 10:56:20:0619, diag_itemexited, id=6392, type=1
2014-04-09 10:56:20:0648, diag_itementered, id=4080, type=1
2014-04-09 10:56:20:0666, diag_itemexited, id=4080, type=1
2014-04-09 10:56:21:0125, diag_itementered, id=20034, type=1
2014-04-09 10:56:22:0970, edge_create, Tuple[0,1,0.3529618197020252,1,0.0,1397055276405,1397055276405]
