2014-04-15 04:29:56:0002, setup_loaddata
2014-04-15 04:30:06:0509, list_mouseentered, 123
2014-04-15 04:30:07:0145, list_mouseexited
2014-04-15 04:30:09:0013, list_mouseentered, 564
2014-04-15 04:30:09:0178, list_mouseexited
2014-04-15 04:30:09:0741, diag_itementered, id=564, type=1
2014-04-15 04:30:09:0785, diag_itemexited, id=564, type=1
2014-04-15 04:30:09:0857, diag_itementered, id=9913, type=1
2014-04-15 04:30:09:0889, diag_itemexited, id=9913, type=1
2014-04-15 04:30:10:0027, diag_itementered, id=23763, type=1
2014-04-15 04:30:10:0060, diag_itemexited, id=23763, type=1
2014-04-15 04:30:10:0495, diag_itementered, id=32586, type=1
2014-04-15 04:30:12:0182, edge_create, Tuple[0,1,0.9498714654312915,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0184, edge_create, Tuple[1,2,0.4709235367103527,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0185, edge_create, Tuple[1,3,0.05776036952615937,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0187, edge_create, Tuple[1,4,0.8820143654444479,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0188, edge_create, Tuple[1,5,0.13639656096904262,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0190, edge_create, Tuple[1,6,0.2012902699283644,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0191, edge_create, Tuple[1,7,0.22957271266614343,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0192, edge_create, Tuple[1,8,0.2775905603165961,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0194, edge_create, Tuple[1,9,0.35388498323124584,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0195, edge_create, Tuple[1,10,0.8551356134951048,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0196, edge_create, Tuple[1,11,0.16366205263419376,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0198, edge_create, Tuple[1,12,0.8726256626969963,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0199, edge_create, Tuple[1,13,0.7346796563632972,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0200, edge_create, Tuple[1,14,0.0452823205536953,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0201, edge_create, Tuple[1,15,0.8593109982630972,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0203, edge_create, Tuple[1,16,0.6417873085661393,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0204, edge_create, Tuple[1,17,0.710961277373183,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:12:0242, discussion_open, 32586
2014-04-15 04:30:12:0243, diag_itemclicked, id=32586, type=1
2014-04-15 04:30:13:0201, diag_itemexited, id=32586, type=1
2014-04-15 04:30:15:0463, diag_itementered, id=13225, type=1
2014-04-15 04:30:15:0495, diag_itemexited, id=13225, type=1
2014-04-15 04:30:15:0547, diag_itementered, id=6658, type=1
2014-04-15 04:30:15:0574, diag_itemexited, id=6658, type=1
2014-04-15 04:30:15:0622, diag_itementered, id=4242, type=1
2014-04-15 04:30:15:0647, diag_itemexited, id=4242, type=1
2014-04-15 04:30:16:0527, list_mouseentered, 5328
2014-04-15 04:30:16:0799, list_mouseexited
2014-04-15 04:30:18:0287, diag_itementered, id=1641682794, type=0
2014-04-15 04:30:18:0316, diag_itemexited, id=1641682794, type=0
2014-04-15 04:30:18:0550, diag_itementered, id=40480, type=1
2014-04-15 04:30:18:0579, diag_itemexited, id=40480, type=1
2014-04-15 04:30:18:0747, diag_itementered, id=6658, type=1
2014-04-15 04:30:18:0772, diag_itemexited, id=6658, type=1
2014-04-15 04:30:19:0564, diag_itementered, id=29689, type=1
2014-04-15 04:30:21:0373, edge_create, Tuple[0,1,0.12211950729622578,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:21:0373, edge_create, Tuple[1,2,0.27193915814275726,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:21:0374, edge_create, Tuple[1,3,0.5537152353772966,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:21:0375, edge_create, Tuple[1,4,0.960898777696356,1,0.0,1397550595661,1397550595661]
2014-04-15 04:30:21:0380, discussion_open, 29689
2014-04-15 04:30:21:0381, diag_itemclicked, id=29689, type=1
2014-04-15 04:30:22:0175, diag_itemexited, id=29689, type=1
2014-04-15 04:30:23:0990, diag_itementered, id=32586, type=1
2014-04-15 04:30:24:0006, diag_itemexited, id=32586, type=1
2014-04-15 04:30:24:0211, diag_itementered, id=4242, type=1
2014-04-15 04:30:24:0247, diag_itemexited, id=4242, type=1
2014-04-15 04:30:25:0360, list_mouseentered, 4242
2014-04-15 04:30:25:0589, list_mouseexited
2014-04-15 04:30:25:0910, list_mouseentered, 4242
2014-04-15 04:30:26:0158, list_mouseexited
2014-04-15 04:30:26:0530, diag_itementered, id=29516, type=1
2014-04-15 04:30:26:0558, diag_itemexited, id=29516, type=1
2014-04-15 04:30:26:0572, diag_itementered, id=-771804441, type=0
2014-04-15 04:30:26:0591, diag_itemexited, id=-771804441, type=0
2014-04-15 04:30:26:0592, diag_itementered, id=2158, type=1
2014-04-15 04:30:26:0637, diag_itemexited, id=2158, type=1
2014-04-15 04:30:26:0686, diag_itementered, id=24623, type=1
2014-04-15 04:30:26:0711, diag_itemexited, id=24623, type=1
2014-04-15 04:30:26:0801, diag_itementered, id=25033, type=1
2014-04-15 04:30:26:0829, diag_itemexited, id=25033, type=1
2014-04-15 04:30:27:0588, diag_itementered, id=2968, type=1
2014-04-15 04:30:27:0623, diag_itemexited, id=2968, type=1
2014-04-15 04:30:27:0708, diag_itementered, id=37628, type=1
2014-04-15 04:30:27:0725, diag_itemexited, id=37628, type=1
2014-04-15 04:30:28:0851, diag_itementered, id=9913, type=1
2014-04-15 04:30:28:0892, diag_itemexited, id=9913, type=1
2014-04-15 04:30:28:0930, diag_itementered, id=32586, type=1
2014-04-15 04:30:28:0971, diag_itemexited, id=32586, type=1
2014-04-15 04:30:30:0761, diag_itementered, id=0.960898777696356, type=1
2014-04-15 04:30:30:0782, diag_itemexited, id=0.960898777696356, type=1
2014-04-15 04:30:30:0816, diag_itementered, id=44853, type=1
2014-04-15 04:30:30:0844, diag_itemexited, id=44853, type=1
2014-04-15 04:30:31:0066, diag_itementered, id=44853, type=1
2014-04-15 04:30:31:0090, diag_itemexited, id=44853, type=1
2014-04-15 04:30:31:0505, diag_itementered, id=44853, type=1
2014-04-15 04:30:31:0577, diag_itemexited, id=44853, type=1
2014-04-15 04:30:31:0688, diag_itementered, id=44853, type=1
2014-04-15 04:30:31:0713, diag_itemexited, id=44853, type=1
2014-04-15 04:30:32:0587, diag_itementered, id=19347, type=1
2014-04-15 04:30:32:0606, diag_itemexited, id=19347, type=1
2014-04-15 04:30:32:0622, diag_itementered, id=19766, type=1
2014-04-15 04:30:32:0641, diag_itemexited, id=19766, type=1
2014-04-15 04:30:33:0688, diag_itementered, id=19766, type=1
2014-04-15 04:30:33:0718, diag_itemexited, id=19766, type=1
