2014-09-22 11:55:33:0460, setup_loaddata
2014-09-22 11:55:39:0382, setup_loaddata
2014-09-22 11:55:40:0022, list_mouseentered, 2109443059
2014-09-22 11:55:40:0297, list_mouseexited
2014-09-22 11:55:42:0807, list_mouseentered, 5222
2014-09-22 11:55:46:0062, edge_create, Tuple[0,1,0.30378059315289985,4,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0062, answer_create, 8322
2014-09-22 11:55:46:0063, edge_create, Tuple[1,2,0.22952131956100064,4,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0063, answer_create, 2919307
2014-09-22 11:55:46:0064, edge_create, Tuple[1,3,0.7431873019613782,4,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0064, answer_create, 6096537
2014-09-22 11:55:46:0065, edge_create, Tuple[1,4,0.1485399436722653,4,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0065, answer_create, 16666753
2014-09-22 11:55:46:0065, edge_create, Tuple[1,5,0.10708251007749303,4,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0067, edge_create, Tuple[0,6,0.555378085905687,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0068, edge_create, Tuple[6,7,0.3033875046325408,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0069, edge_create, Tuple[6,8,0.6520629819637794,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0070, edge_create, Tuple[6,9,0.6903162367901713,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0071, edge_create, Tuple[6,10,0.9682076317811068,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0072, edge_create, Tuple[6,11,0.09138325878544906,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0075, edge_create, Tuple[6,12,0.9021726573697004,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0077, edge_create, Tuple[6,13,0.2081860769629046,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0078, edge_create, Tuple[6,14,0.54978912154708,1,0.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0079, edge_create, Tuple[0,15,0.35267609151724577,2,1.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0079, pattern_create, -652102093
2014-09-22 11:55:46:0079, edge_create, Tuple[15,16,0.6886326118760514,2,1.0,1411401332724,1411401332724]
2014-09-22 11:55:46:0095, discussion_open, 8318
2014-09-22 11:55:52:0256, list_mouseexited
2014-09-22 11:55:52:0258, list_mouseentered, type=detailAnswersList
2014-09-22 11:55:52:0831, list_mouseexited, type=detailAnswersList
2014-09-22 11:56:12:0247, pattern_change_cancel
2014-09-22 11:56:12:0248, pattern_change_open
2014-09-22 11:56:12:0723, edge_create, Tuple[0,1,0.1916775793108796,4,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0724, answer_create, 8322
2014-09-22 11:56:12:0725, edge_create, Tuple[1,2,0.6225881058077208,4,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0725, answer_create, 2919307
2014-09-22 11:56:12:0725, edge_create, Tuple[1,3,0.1352462314918489,4,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0726, answer_create, 6096537
2014-09-22 11:56:12:0726, edge_create, Tuple[1,4,0.5769381258561709,4,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0727, answer_create, 16666753
2014-09-22 11:56:12:0727, edge_create, Tuple[1,5,0.33852013438939876,4,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0730, edge_create, Tuple[0,6,0.27020002683219924,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0731, edge_create, Tuple[6,7,0.7085805665535098,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0732, edge_create, Tuple[6,8,0.5553145034233982,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0733, edge_create, Tuple[6,9,0.20119929455518393,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0734, edge_create, Tuple[6,10,0.8275552748740278,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0735, edge_create, Tuple[6,11,0.3980267857085409,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0736, edge_create, Tuple[6,12,0.5258210844614466,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0737, edge_create, Tuple[6,13,0.41671430595761616,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0738, edge_create, Tuple[6,14,0.12204479035630122,1,0.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0739, edge_create, Tuple[0,15,0.6217354716098464,2,1.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0739, pattern_create, -29507209
2014-09-22 11:56:12:0740, edge_create, Tuple[15,16,0.6926920785001457,2,1.0,1411401332724,1411401332724]
2014-09-22 11:56:12:0747, discussion_open, 8318
2014-09-22 11:56:12:0822, setup_loaddata
2014-09-22 11:56:13:0053, list_mouseentered, type=detailAnswersList
2014-09-22 11:56:13:0054, list_mouseexited, type=detailAnswersList
2014-09-22 11:56:14:0690, list_mouseentered, type=detailAnswersList
2014-09-22 11:56:14:0786, list_mouseexited, type=detailAnswersList
2014-09-22 11:57:18:0173, pattern_change_cancel
2014-09-22 11:57:18:0174, pattern_change_open
2014-09-22 11:57:18:0657, edge_create, Tuple[0,1,0.5302162174605857,4,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0658, answer_create, 8322
2014-09-22 11:57:18:0659, edge_create, Tuple[1,2,0.77592181604918,4,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0659, answer_create, 2919307
2014-09-22 11:57:18:0660, edge_create, Tuple[1,3,0.7256190855171194,4,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0661, answer_create, 6096537
2014-09-22 11:57:18:0661, edge_create, Tuple[1,4,0.7847712605624616,4,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0662, answer_create, 16666753
2014-09-22 11:57:18:0663, edge_create, Tuple[1,5,0.14442997984129968,4,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0665, edge_create, Tuple[0,6,0.19774294428010064,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0667, edge_create, Tuple[6,7,0.4237998086009567,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0668, edge_create, Tuple[6,8,0.14206515754016424,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0670, edge_create, Tuple[6,9,0.5563450746522577,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0672, edge_create, Tuple[6,10,0.5615530696434781,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0674, edge_create, Tuple[6,11,0.5160069313793549,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0676, edge_create, Tuple[6,12,0.9261348292255418,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0678, edge_create, Tuple[6,13,0.6119746586584549,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0682, edge_create, Tuple[6,14,0.4513645505797257,1,0.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0683, edge_create, Tuple[0,15,0.9259506113211284,2,1.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0683, pattern_create, -1708145879
2014-09-22 11:57:18:0683, edge_create, Tuple[15,16,0.14192588043982746,2,1.0,1411401332724,1411401332724]
2014-09-22 11:57:18:0689, discussion_open, 8318
2014-09-22 11:57:18:0769, setup_loaddata
2014-09-22 11:58:44:0579, diag_detail_itementered, id=29357, type=1
2014-09-22 11:58:44:0601, diag_detail_itemexited, id=29357, type=1
2014-09-22 11:58:46:0174, diag_itementered, id=36701, type=1
2014-09-22 11:58:46:0191, diag_itemexited, id=36701, type=1
2014-09-22 11:58:47:0251, setup_loaddata
2014-09-22 11:58:50:0556, diag_itementered, id=21934, type=1
2014-09-22 11:58:50:0580, diag_itemexited, id=21934, type=1
