2014-09-26 07:27:18:0635, setup_loaddata
2014-09-26 07:27:26:0794, list_mouseentered, 2109443059
2014-09-26 07:27:27:0308, list_mouseexited
2014-09-26 07:27:27:0433, diag_itementered, id=36701, type=1
2014-09-26 07:27:27:0464, diag_itemexited, id=36701, type=1
2014-09-26 07:27:28:0010, diag_itementered, id=36701, type=1
2014-09-26 07:27:28:0354, diag_itemexited, id=36701, type=1
2014-09-26 07:27:28:0416, list_mouseentered, 33262
2014-09-26 07:27:28:0510, list_mouseexited
2014-09-26 07:27:33:0580, diag_itementered, id=25552, type=1
2014-09-26 07:27:33:0626, diag_itemexited, id=25552, type=1
2014-09-26 07:27:34:0687, diag_itementered, id=123, type=1
2014-09-26 07:27:34:0812, diag_itemexited, id=123, type=1
2014-09-26 07:47:02:0840, diag_itementered, id=20227, type=1
2014-09-26 07:47:02:0893, diag_itemexited, id=20227, type=1
2014-09-26 07:47:02:0906, diag_itementered, id=2109443059, type=0
2014-09-26 07:47:07:0864, diag_itemexited, id=2109443059, type=0
2014-09-26 07:47:07:0903, diag_itementered, id=24596, type=1
2014-09-26 07:47:08:0087, diag_itemexited, id=24596, type=1
2014-09-26 07:47:08:0282, diag_itementered, id=27240, type=1
2014-09-26 07:47:08:0306, diag_itemexited, id=27240, type=1
2014-09-26 07:47:08:0584, diag_itementered, id=6612, type=1
2014-09-26 07:47:09:0368, diag_itemexited, id=6612, type=1
2014-09-26 07:47:09:0680, diag_itementered, id=12144, type=1
2014-09-26 07:47:12:0249, diag_itemexited, id=12144, type=1
2014-09-26 07:47:12:0468, diag_itementered, id=25765, type=1
2014-09-26 07:47:34:0141, edge_create, Tuple[0,1,0.6489614509031025,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0143, edge_create, Tuple[1,2,0.6061051889959627,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0145, edge_create, Tuple[1,3,0.38713535127632104,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0147, edge_create, Tuple[1,4,0.4777017290747151,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0150, edge_create, Tuple[1,5,0.9040164256222337,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0152, edge_create, Tuple[1,6,0.25855208922717376,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0154, edge_create, Tuple[1,7,0.23273639553413028,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0156, edge_create, Tuple[1,8,0.006911220036690313,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0157, edge_create, Tuple[1,9,0.8028928674440919,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0158, edge_create, Tuple[1,10,0.5044589744882527,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0159, edge_create, Tuple[1,11,0.31539529785313025,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0161, edge_create, Tuple[1,12,0.6488359409209193,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0161, edge_create, Tuple[1,13,0.26285659897092806,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0165, edge_create, Tuple[1,14,0.5683626465370396,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0166, edge_create, Tuple[1,15,0.16207552332190633,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0167, edge_create, Tuple[1,16,0.3032988687439411,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0168, edge_create, Tuple[1,17,0.2094166430965707,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0169, edge_create, Tuple[1,18,0.8519827486284813,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0170, edge_create, Tuple[1,19,0.4354062503602877,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0171, edge_create, Tuple[1,20,0.4719301227832322,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0172, edge_create, Tuple[1,21,0.921042872800886,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0173, edge_create, Tuple[1,22,0.793945639290981,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0174, edge_create, Tuple[1,23,0.785205728744004,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0175, edge_create, Tuple[1,24,0.7556055750691573,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0176, edge_create, Tuple[1,25,0.3907986331287039,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0177, edge_create, Tuple[1,26,0.808839536407623,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0178, edge_create, Tuple[1,27,0.11818052146205738,1,0.0,1411730838073,1411730838073]
2014-09-26 07:47:34:0192, discussion_open, 25765
2014-09-26 07:47:34:0192, diag_itemclicked, id=25765, type=1
2014-09-26 07:47:34:0193, diag_itemexited, id=25765, type=1
