2014-10-30 12:53:27:0362, setup_loaddata
2014-10-30 12:53:28:0849, list_mouseentered, 1796611198
2014-10-30 12:53:29:0217, list_mouseexited
2014-10-30 12:53:29:0659, diag_itementered, id=-771804441, type=0
2014-10-30 12:53:29:0705, diag_itemexited, id=-771804441, type=0
2014-10-30 12:53:30:0169, diag_itementered, id=27240, type=1
2014-10-30 12:53:30:0230, diag_itemexited, id=27240, type=1
2014-10-30 12:53:30:0248, diag_itementered, id=2109443059, type=0
2014-10-30 12:53:30:0485, diag_itemexited, id=2109443059, type=0
2014-10-30 12:53:30:0818, diag_itementered, id=7539, type=1
2014-10-30 12:53:31:0707, diag_itemexited, id=7539, type=1
2014-10-30 12:53:31:0794, diag_itementered, id=1796611198, type=0
2014-10-30 12:53:34:0137, edge_create, Tuple[0,1,0.992459370746812,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:34:0138, edge_create, Tuple[1,2,0.1635534095450274,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:34:0140, edge_create, Tuple[1,3,0.0033551680769646763,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:34:0142, edge_create, Tuple[1,4,0.06983838998552672,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:34:0144, edge_create, Tuple[1,5,0.8878896492681575,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:34:0146, edge_create, Tuple[0,6,0.05091167848832956,2,1.0,1414644806870,1414644806870]
2014-10-30 12:53:34:0147, pattern_create, -771804441
2014-10-30 12:53:34:0147, edge_create, Tuple[6,7,0.9168061286584177,2,1.0,1414644806870,1414644806870]
2014-10-30 12:53:34:0185, pattern_open, 1796611198
2014-10-30 12:53:34:0185, diag_itemclicked, id=1796611198, type=0
2014-10-30 12:53:35:0011, diag_itemexited, id=1796611198, type=0
2014-10-30 12:53:35:0178, diag_detail_itementered, id=845793500, type=3
2014-10-30 12:53:35:0199, diag_detail_itemexited, id=845793500, type=3
2014-10-30 12:53:35:0211, diag_detail_itementered, id=0.9168061286584177, type=2
2014-10-30 12:53:35:0229, diag_detail_itemexited, id=0.9168061286584177, type=2
2014-10-30 12:53:35:0455, diag_detail_itementered, id=0.9168061286584177, type=2
2014-10-30 12:53:35:0556, diag_detail_itemexited, id=0.9168061286584177, type=2
2014-10-30 12:53:35:0557, diag_detail_itementered, id=-771804441, type=0
2014-10-30 12:53:36:0351, diag_detail_itemclicked, id=-771804441, type=0
2014-10-30 12:53:36:0583, edge_create, Tuple[0,1,0.28929888799897474,2,1.0,1414644806870,1414644806870]
2014-10-30 12:53:36:0584, pattern_create, 1796611198
2014-10-30 12:53:36:0585, edge_create, Tuple[1,2,0.044779243437902516,2,1.0,1414644806870,1414644806870]
2014-10-30 12:53:36:0587, edge_create, Tuple[0,3,0.0722082488642215,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:36:0588, edge_create, Tuple[3,4,0.7923325966762014,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:36:0590, edge_create, Tuple[3,5,0.4747842205506322,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:36:0592, edge_create, Tuple[3,6,0.28687817789632586,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:36:0594, edge_create, Tuple[3,7,0.5724137244318208,1,0.0,1414644806870,1414644806870]
2014-10-30 12:53:36:0615, pattern_open, -771804441
2014-10-30 12:53:36:0616, diag_detail_itemclicked, id=-771804441, type=0
2014-10-30 12:53:38:0264, diag_detail_itementered, id=7539, type=1
2014-10-30 12:53:38:0618, diag_detail_itemclicked, id=7539, type=1
2014-10-30 12:53:38:0859, edge_create, Tuple[0,1,0.4472886790757611,2,1.0,1414644806870,1414644806870]
2014-10-30 12:53:38:0860, pattern_create, -771804441
2014-10-30 12:53:38:0861, edge_create, Tuple[1,2,0.1361321596113132,2,1.0,1414644806870,1414644806870]
2014-10-30 12:53:38:0879, discussion_open, 7539
2014-10-30 12:53:38:0880, diag_detail_itemclicked, id=7539, type=1
2014-10-30 12:53:41:0139, diag_itementered, id=64392, type=1
2014-10-30 12:53:41:0178, diag_itemexited, id=64392, type=1
2014-10-30 12:53:41:0201, diag_itementered, id=1796611198, type=0
2014-10-30 12:53:41:0330, diag_itemexited, id=1796611198, type=0
2014-10-30 12:53:41:0343, diag_itementered, id=2109443059, type=0
