2014-11-04 07:04:22:0413, setup_loaddata
2014-11-04 07:04:23:0521, list_mouseentered, 1641682794
2014-11-04 07:04:23:0615, list_mouseexited
2014-11-04 07:04:51:0111, diag_itementered, id=54909, type=1
2014-11-04 07:04:51:0158, diag_itemexited, id=54909, type=1
2014-11-04 07:04:51:0251, diag_itementered, id=564, type=1
2014-11-04 07:04:51:0298, diag_itemexited, id=564, type=1
2014-11-04 07:04:51:0953, diag_itementered, id=27065, type=1
2014-11-04 07:04:55:0198, diag_itemexited, id=27065, type=1
2014-11-04 07:04:55:0697, diag_itementered, id=55709, type=1
2014-11-04 07:04:56:0962, diag_itemexited, id=55709, type=1
2014-11-04 07:04:57:0399, diag_itementered, id=36701, type=1
2014-11-04 07:04:58:0553, diag_itemexited, id=36701, type=1
2014-11-04 07:04:58:0772, diag_itementered, id=31693, type=1
2014-11-04 07:04:58:0818, diag_itemexited, id=31693, type=1
2014-11-04 07:04:59:0052, diag_itementered, id=47676, type=1
2014-11-04 07:04:59:0115, diag_itemexited, id=47676, type=1
2014-11-04 07:04:59:0490, diag_itementered, id=47676, type=1
2014-11-04 07:05:00:0991, diag_itemexited, id=47676, type=1
2014-11-04 07:05:01:0240, diag_itementered, id=31693, type=1
2014-11-04 07:05:01:0272, diag_itemexited, id=31693, type=1
2014-11-04 07:05:01:0350, list_mouseentered, 47676
2014-11-04 07:05:01:0569, list_mouseexited
2014-11-04 07:05:45:0646, diag_itementered, id=123, type=1
2014-11-04 07:05:47:0299, edge_create, Tuple[0,1,0.39194500502638974,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0299, edge_create, Tuple[1,2,0.9079167572617995,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0299, edge_create, Tuple[1,3,0.5473394545424008,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0299, edge_create, Tuple[1,4,0.8100109105296346,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0299, edge_create, Tuple[1,5,0.950211621287095,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,6,0.5472085751366308,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,7,0.04027127973240008,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,8,0.052904068665033166,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,9,0.027162474286180016,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,10,0.05757897459688088,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,11,0.13080534589086412,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,12,0.26180421393405773,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,13,0.1535231443857651,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,14,0.8105952691818554,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,15,0.001962255754057285,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,16,0.5601695625087839,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,17,0.30452727083090037,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,18,0.9853671844364481,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0315, edge_create, Tuple[1,19,0.2402099649371907,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0330, edge_create, Tuple[1,20,0.04606198258869276,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0330, edge_create, Tuple[1,21,0.4207695624824188,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0330, edge_create, Tuple[1,22,0.32884955353481204,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0330, edge_create, Tuple[1,23,0.2293221692738675,1,0.0,1415102661320,1415102661320]
2014-11-04 07:05:47:0346, discussion_open, 123
2014-11-04 07:05:47:0346, diag_itemclicked, id=123, type=1
2014-11-04 07:05:48:0766, diag_itemexited, id=123, type=1
2014-11-04 07:05:49:0000, list_mouseentered, type=detailAnswersList
2014-11-04 07:05:49:0202, list_mouseexited, type=detailAnswersList
2014-11-04 07:05:49:0906, list_mouseentered, type=detailRelatedList, item=31446
2014-11-04 07:05:54:0228, list_mouseexited, type=detailRelatedList
2014-11-04 07:05:58:0299, list_mouseentered, type=detailRelatedList, item=61692
2014-11-04 07:05:58:0564, list_mouseexited, type=detailRelatedList
