2014-11-05 01:00:38:0847, setup_loaddata
2014-11-05 01:00:46:0181, list_mouseentered, 1641682794
2014-11-05 01:00:46:0790, list_mouseexited
2014-11-05 01:01:15:0832, list_mouseentered, 40663
2014-11-05 01:01:15:0879, list_mouseexited
2014-11-05 01:01:16:0612, diag_itementered, id=19893, type=1
2014-11-05 01:01:16:0659, diag_itemexited, id=19893, type=1
2014-11-05 01:01:16:0909, diag_itementered, id=19893, type=1
2014-11-05 01:01:21:0433, diag_itemexited, id=19893, type=1
2014-11-05 01:01:21:0901, diag_itementered, id=33262, type=1
2014-11-05 01:01:22:0915, diag_itemexited, id=33262, type=1
2014-11-05 01:01:23:0710, diag_itementered, id=19893, type=1
2014-11-05 01:01:25:0816, diag_itemexited, id=19893, type=1
2014-11-05 01:01:26:0362, diag_itementered, id=33262, type=1
2014-11-05 01:01:26:0425, diag_itemexited, id=33262, type=1
2014-11-05 01:01:26:0830, diag_itementered, id=25192, type=1
2014-11-05 01:01:27:0735, diag_itemexited, id=25192, type=1
2014-11-05 01:01:28:0375, diag_itementered, id=35785, type=1
2014-11-05 01:01:28:0921, diag_itemexited, id=35785, type=1
2014-11-05 01:01:29:0779, diag_itementered, id=123, type=1
2014-11-05 01:01:31:0089, diag_itemexited, id=123, type=1
2014-11-05 01:01:31:0666, diag_itementered, id=25192, type=1
2014-11-05 01:01:32:0290, diag_itemexited, id=25192, type=1
2014-11-05 01:01:32:0618, diag_itementered, id=33262, type=1
2014-11-05 01:01:32:0680, diag_itemexited, id=33262, type=1
2014-11-05 01:01:33:0226, diag_itementered, id=33262, type=1
2014-11-05 01:01:33:0762, diag_itemexited, id=33262, type=1
2014-11-05 01:01:34:0432, diag_itementered, id=19893, type=1
2014-11-05 01:01:36:0227, diag_itemexited, id=19893, type=1
2014-11-05 01:01:36:0851, diag_itementered, id=33262, type=1
2014-11-05 01:01:41:0440, diag_itemexited, id=33262, type=1
2014-11-05 01:01:41:0878, diag_itementered, id=33262, type=1
2014-11-05 01:01:41:0924, diag_itemexited, id=33262, type=1
2014-11-05 01:01:46:0599, diag_itementered, id=19893, type=1
2014-11-05 01:01:46:0849, diag_itemexited, id=19893, type=1
2014-11-05 01:01:47:0317, diag_itementered, id=33262, type=1
2014-11-05 01:01:47:0426, diag_itemexited, id=33262, type=1
2014-11-05 01:01:48:0471, diag_itementered, id=33262, type=1
2014-11-05 01:01:50:0156, diag_itemexited, id=33262, type=1
2014-11-05 01:01:50:0374, diag_itementered, id=25192, type=1
2014-11-05 01:01:53:0728, edge_create, Tuple[0,1,0.9782574911212323,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,2,0.24990385416414063,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,3,0.9029249218714293,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,4,0.13756604955501273,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,5,0.7909322820522868,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,6,0.8739145933018644,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,7,0.2682243467231067,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,8,0.05981732672687834,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,9,0.21801442945784966,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,10,0.809125421885636,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,11,0.019660565655089224,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,12,0.1645671461129795,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,13,0.012641595540737849,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0728, edge_create, Tuple[1,14,0.8729270242669211,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,15,0.675269294100585,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,16,0.9012083352430108,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,17,0.2430221858824423,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,18,0.012904816005060993,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,19,0.7357287942199888,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,20,0.8970788075410685,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,21,0.9336485265902191,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,22,0.5778571903681591,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,23,0.8853022963820301,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,24,0.9065293931668733,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,25,0.2683284748369673,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,26,0.8341109971073847,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,27,0.9104365944669147,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,28,0.3135928623167318,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,29,0.14058796424362263,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0744, edge_create, Tuple[1,30,0.2258224162388882,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,31,0.3388548218862226,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,32,0.7518833050832179,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,33,0.12313027124889386,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,34,0.4218959538808058,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,35,0.4162395921088329,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,36,0.4024254663739546,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,37,0.12042118925592504,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,38,0.8923500887681464,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,39,0.058109914893292314,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,40,0.18343362967267196,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,41,0.06710072777731857,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,42,0.6134030805454715,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,43,0.8412538572324878,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,44,0.3556304065839826,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,45,0.03980615258815923,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,46,0.5132482832462412,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0759, edge_create, Tuple[1,47,0.9320860196990749,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0775, edge_create, Tuple[1,48,0.03251550219537391,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0775, edge_create, Tuple[1,49,0.061123128349912625,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0775, edge_create, Tuple[1,50,0.43943281393897626,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0775, edge_create, Tuple[1,51,0.08855716704424277,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0775, edge_create, Tuple[1,52,0.7070654691934392,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0775, edge_create, Tuple[1,53,0.6917650233673472,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0775, edge_create, Tuple[1,54,0.7539495577839017,1,0.0,1415167223791,1415167223791]
2014-11-05 01:01:53:0775, edge_create, Tuple[1,55,0.5177510729144984,1,0.0,1415167223791,1415167223791]
