2014-11-07 04:42:13:0161, setup_loaddata
2014-11-07 04:42:21:0591, diag_itementered, id=35186, type=1
2014-11-07 04:42:21:0691, diag_itemexited, id=35186, type=1
2014-11-07 04:42:22:0721, diag_itementered, id=35186, type=1
2014-11-07 04:42:24:0011, diag_itemexited, id=35186, type=1
2014-11-07 04:42:24:0551, diag_itementered, id=34571, type=1
2014-11-07 04:42:26:0869, diag_itemexited, id=34571, type=1
2014-11-07 04:42:27:0789, list_mouseentered, 8968
2014-11-07 04:42:27:0939, list_mouseexited
2014-11-07 04:42:31:0931, list_mouseentered, 34571
2014-11-07 04:42:32:0011, list_mouseexited
2014-11-07 04:42:32:0841, diag_itementered, id=34571, type=1
2014-11-07 04:42:34:0909, diag_itemexited, id=34571, type=1
2014-11-07 04:42:35:0761, list_mouseentered, 34571
2014-11-07 04:42:41:0924, list_mouseexited
2014-11-07 04:42:58:0534, list_mouseentered, 56843
2014-11-07 04:43:00:0624, list_mouseexited
2014-11-07 04:43:08:0466, diag_itementered, id=2158, type=1
2014-11-07 04:43:08:0526, diag_itemexited, id=2158, type=1
2014-11-07 04:43:09:0996, diag_itementered, id=2158, type=1
2014-11-07 04:43:12:0586, diag_itemexited, id=2158, type=1
2014-11-07 04:43:13:0166, diag_itementered, id=19766, type=1
2014-11-07 04:43:20:0024, diag_itemexited, id=19766, type=1
2014-11-07 04:43:20:0654, list_mouseentered, 2158
2014-11-07 04:43:20:0784, list_mouseexited
2014-11-07 04:43:45:0899, list_mouseentered, 40663
2014-11-07 04:43:46:0859, list_mouseexited
2014-11-07 04:43:47:0559, diag_itementered, id=25192, type=1
2014-11-07 04:43:48:0099, diag_itemexited, id=25192, type=1
2014-11-07 04:43:48:0429, diag_itementered, id=40663, type=1
2014-11-07 04:43:49:0059, diag_itemexited, id=40663, type=1
2014-11-07 04:43:49:0439, diag_itementered, id=35785, type=1
2014-11-07 04:43:49:0549, diag_itemexited, id=35785, type=1
2014-11-07 04:43:49:0829, diag_itementered, id=35785, type=1
2014-11-07 04:43:49:0929, diag_itemexited, id=35785, type=1
2014-11-07 04:43:50:0099, diag_itementered, id=19893, type=1
2014-11-07 04:43:50:0149, diag_itemexited, id=19893, type=1
2014-11-07 04:43:50:0409, diag_itementered, id=19893, type=1
2014-11-07 04:43:50:0789, diag_itemexited, id=19893, type=1
2014-11-07 04:43:51:0359, diag_itementered, id=123, type=1
2014-11-07 04:43:52:0099, diag_itemexited, id=123, type=1
2014-11-07 04:43:52:0739, diag_itementered, id=33262, type=1
2014-11-07 05:01:41:0581, diag_itemexited, id=33262, type=1
2014-11-07 05:01:41:0821, diag_itementered, id=33262, type=1
2014-11-07 05:01:41:0871, diag_itemexited, id=33262, type=1
2014-11-07 05:01:42:0791, diag_itementered, id=19893, type=1
2014-11-07 05:01:43:0801, diag_itemexited, id=19893, type=1
2014-11-07 05:01:44:0381, diag_itementered, id=35785, type=1
2014-11-07 05:01:44:0411, diag_itemexited, id=35785, type=1
2014-11-07 05:01:54:0594, list_mouseentered, 24723
2014-11-07 05:01:54:0934, list_mouseexited
2014-11-07 05:01:55:0614, diag_itementered, id=45546, type=1
2014-11-07 05:01:55:0654, diag_itemexited, id=45546, type=1
2014-11-07 05:02:03:0699, diag_itementered, id=7720, type=1
2014-11-07 05:02:03:0749, diag_itemexited, id=7720, type=1
2014-11-07 05:02:04:0009, diag_itementered, id=25192, type=1
2014-11-07 05:02:04:0659, edge_create, Tuple[0,1,0.15029467069341595,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0669, edge_create, Tuple[1,2,0.8549156119291961,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0689, edge_create, Tuple[1,3,0.7396202473796981,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0709, edge_create, Tuple[1,4,0.658362525190678,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0719, edge_create, Tuple[1,5,0.38916953885960237,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0739, edge_create, Tuple[1,6,0.5458258963609282,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0759, edge_create, Tuple[1,7,0.3800619515355609,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0769, edge_create, Tuple[1,8,0.07433587953286724,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0789, edge_create, Tuple[1,9,0.5431749384108207,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0809, edge_create, Tuple[1,10,0.2415255017983431,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0819, edge_create, Tuple[1,11,0.5628696420718381,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0839, edge_create, Tuple[1,12,0.4358223196431886,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0849, edge_create, Tuple[1,13,0.9935915013115286,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0869, edge_create, Tuple[1,14,0.04232760527794066,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0889, edge_create, Tuple[1,15,0.27763608572832,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0899, edge_create, Tuple[1,16,0.4979320542712138,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0919, edge_create, Tuple[1,17,0.0716921437206991,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0939, edge_create, Tuple[1,18,0.08085859391234396,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0949, edge_create, Tuple[1,19,0.4156984472175319,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0969, edge_create, Tuple[1,20,0.8111357186835155,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0989, edge_create, Tuple[1,21,0.6251207759569328,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:04:0999, edge_create, Tuple[1,22,0.10858893692029192,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0019, edge_create, Tuple[1,23,0.5626297753719897,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0029, edge_create, Tuple[1,24,0.8985207084882857,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0049, edge_create, Tuple[1,25,0.09363315154017215,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0069, edge_create, Tuple[1,26,0.5326825964766437,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0079, edge_create, Tuple[1,27,0.8890972461102021,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0099, edge_create, Tuple[1,28,0.5804026985930756,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0119, edge_create, Tuple[1,29,0.2861248663891075,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0129, edge_create, Tuple[1,30,0.38341965386870924,1,0.0,1415396527476,1415396527476]
2014-11-07 05:02:05:0149, edge_create, Tuple[1,31,0.020000346378853617,1,0.0,1415396527476,1415396527476]
