2014-11-07 05:23:54:0204, setup_loaddata
2014-11-07 05:23:58:0697, diag_itementered, id=65035, type=1
2014-11-07 05:23:59:0674, diag_itemexited, id=65035, type=1
2014-11-07 05:23:59:0754, diag_itementered, id=40480, type=1
2014-11-07 05:24:00:0354, diag_itemexited, id=40480, type=1
2014-11-07 05:24:00:0657, diag_itementered, id=31446, type=1
2014-11-07 05:24:00:0944, diag_itemexited, id=31446, type=1
2014-11-07 05:24:01:0159, diag_itementered, id=51438, type=1
2014-11-07 05:24:01:0314, diag_itemexited, id=51438, type=1
2014-11-07 05:24:02:0302, diag_itementered, id=56843, type=1
2014-11-07 05:24:03:0944, diag_itemexited, id=56843, type=1
2014-11-07 05:24:04:0639, diag_itementered, id=57484, type=1
2014-11-07 05:24:04:0959, diag_itemexited, id=57484, type=1
2014-11-07 05:24:05:0359, diag_itementered, id=31693, type=1
2014-11-07 05:24:06:0902, diag_itemexited, id=31693, type=1
2014-11-07 05:24:07:0074, diag_itementered, id=46898, type=1
2014-11-07 05:24:07:0714, diag_itemexited, id=46898, type=1
2014-11-07 05:24:07:0914, diag_itementered, id=24991, type=1
2014-11-07 05:24:08:0584, diag_itemexited, id=24991, type=1
2014-11-07 05:24:08:0654, diag_itementered, id=46898, type=1
2014-11-07 05:24:08:0734, diag_itemexited, id=46898, type=1
2014-11-07 05:24:08:0984, diag_itementered, id=57484, type=1
2014-11-07 05:24:09:0074, diag_itemexited, id=57484, type=1
2014-11-07 05:24:09:0414, diag_itementered, id=57484, type=1
2014-11-07 05:24:10:0022, diag_itemexited, id=57484, type=1
2014-11-07 05:24:10:0604, diag_itementered, id=56843, type=1
2014-11-07 05:24:11:0124, diag_itemexited, id=56843, type=1
2014-11-07 05:24:12:0024, diag_itementered, id=24723, type=1
2014-11-07 05:24:12:0467, diag_itemexited, id=24723, type=1
2014-11-07 05:24:12:0564, diag_itementered, id=55709, type=1
2014-11-07 05:24:12:0984, diag_itemexited, id=55709, type=1
2014-11-07 05:24:13:0052, diag_itementered, id=37628, type=1
2014-11-07 05:24:13:0142, diag_itemexited, id=37628, type=1
2014-11-07 05:24:13:0444, diag_itementered, id=47676, type=1
2014-11-07 05:24:13:0534, diag_itemexited, id=47676, type=1
2014-11-07 05:24:13:0672, diag_itementered, id=39399, type=1
2014-11-07 05:24:13:0834, diag_itemexited, id=39399, type=1
2014-11-07 05:24:13:0904, diag_itementered, id=20227, type=1
2014-11-07 05:24:13:0937, diag_itemexited, id=20227, type=1
2014-11-07 05:24:14:0277, list_mouseentered, 20227
2014-11-07 05:24:14:0484, list_mouseexited
2014-11-07 05:24:20:0134, list_mouseentered, 40663
2014-11-07 05:24:20:0234, list_mouseexited
2014-11-07 05:24:28:0454, diag_itementered, id=33262, type=1
2014-11-07 05:24:30:0809, diag_itemexited, id=33262, type=1
2014-11-07 05:24:31:0479, diag_itementered, id=123, type=1
2014-11-07 05:24:31:0804, diag_itemexited, id=123, type=1
2014-11-07 05:24:32:0114, diag_itementered, id=19893, type=1
2014-11-07 05:24:32:0264, diag_itemexited, id=19893, type=1
2014-11-07 05:24:33:0574, diag_itementered, id=123, type=1
2014-11-07 05:24:34:0104, edge_create, Tuple[0,1,0.2965019717017964,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0107, edge_create, Tuple[1,2,0.7687349131409688,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0154, edge_create, Tuple[1,3,0.6218033695429372,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0174, edge_create, Tuple[1,4,0.44496212777144317,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0184, edge_create, Tuple[1,5,0.6112932577446484,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0204, edge_create, Tuple[1,6,0.506342968747575,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0222, edge_create, Tuple[1,7,0.14265322920683143,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0237, edge_create, Tuple[1,8,0.8481424573490627,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0252, edge_create, Tuple[1,9,0.1865380425790385,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0269, edge_create, Tuple[1,10,0.7026559959038436,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0284, edge_create, Tuple[1,11,0.23943168017355876,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0299, edge_create, Tuple[1,12,0.9952671599568408,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0314, edge_create, Tuple[1,13,0.6842364162477935,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0324, edge_create, Tuple[1,14,0.32806865850386346,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0347, edge_create, Tuple[1,15,0.5758401019990058,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0364, edge_create, Tuple[1,16,0.24916712875593294,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0379, edge_create, Tuple[1,17,0.24251114953831954,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0394, edge_create, Tuple[1,18,0.9211942359092106,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0404, edge_create, Tuple[1,19,0.7412975867056552,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0424, edge_create, Tuple[1,20,0.4301298132092023,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0442, edge_create, Tuple[1,21,0.2131033611860772,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0459, edge_create, Tuple[1,22,0.9520623916094925,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0474, edge_create, Tuple[1,23,0.6103488599358141,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0484, edge_create, Tuple[1,24,0.5758546680569193,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0504, edge_create, Tuple[1,25,0.879791650797074,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0522, edge_create, Tuple[1,26,0.34685112457113676,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0534, edge_create, Tuple[1,27,0.19100695010203383,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0552, edge_create, Tuple[1,28,0.7118958517930323,1,0.0,1415399029864,1415399029864]
2014-11-07 05:24:34:0564, edge_create, Tuple[1,29,0.1261493288491644,1,0.0,1415399029864,1415399029864]
