2014-11-09 04:57:18:0192, setup_loaddata
2014-11-09 04:57:21:0656, list_mouseentered, 2109443059
2014-11-09 04:57:22:0676, list_mouseexited
2014-11-09 04:57:29:0536, diag_itementered, id=123, type=1
2014-11-09 04:57:30:0719, diag_itemexited, id=123, type=1
2014-11-09 04:57:30:0937, diag_itementered, id=35785, type=1
2014-11-09 04:57:31:0566, diag_itemexited, id=35785, type=1
2014-11-09 04:57:31:0926, diag_itementered, id=40663, type=1
2014-11-09 04:57:32:0509, diag_itemexited, id=40663, type=1
2014-11-09 04:57:32:0978, diag_itementered, id=33262, type=1
2014-11-09 04:57:33:0855, diag_itemexited, id=33262, type=1
2014-11-09 04:57:34:0121, diag_itementered, id=19893, type=1
2014-11-09 04:57:34:0199, diag_itemexited, id=19893, type=1
2014-11-09 04:57:34:0561, diag_itementered, id=19893, type=1
2014-11-09 04:57:35:0467, diag_itemexited, id=19893, type=1
2014-11-09 04:57:36:0386, diag_itementered, id=25192, type=1
2014-11-09 04:57:38:0872, diag_itemexited, id=25192, type=1
2014-11-09 04:57:39:0637, diag_itementered, id=123, type=1
2014-11-09 04:57:41:0146, diag_itemexited, id=123, type=1
2014-11-09 04:57:41:0816, list_mouseentered, 40663
2014-11-09 04:57:47:0533, list_mouseexited
2014-11-09 04:57:48:0113, diag_itementered, id=24723, type=1
2014-11-09 04:57:49:0784, diag_itemexited, id=24723, type=1
2014-11-09 04:57:50:0583, diag_itementered, id=564, type=1
2014-11-09 04:57:51:0997, diag_itemexited, id=564, type=1
2014-11-09 04:57:52:0733, diag_itementered, id=61615, type=1
2014-11-09 04:57:53:0362, diag_itemexited, id=61615, type=1
2014-11-09 04:57:53:0534, diag_itementered, id=31693, type=1
2014-11-09 04:57:53:0567, diag_itemexited, id=31693, type=1
2014-11-09 04:57:54:0477, diag_itementered, id=31693, type=1
2014-11-09 04:57:54:0509, diag_itemexited, id=31693, type=1
2014-11-09 04:57:54:0958, diag_itementered, id=31693, type=1
2014-11-09 04:57:55:0005, diag_itemexited, id=31693, type=1
2014-11-09 04:57:55:0669, diag_itementered, id=31693, type=1
2014-11-09 04:57:55:0971, diag_itemexited, id=31693, type=1
2014-11-09 04:57:56:0719, diag_itementered, id=24723, type=1
2014-11-09 04:57:56:0750, diag_itemexited, id=24723, type=1
2014-11-09 04:57:56:0781, diag_itementered, id=24723, type=1
2014-11-09 04:57:57:0000, diag_itemexited, id=24723, type=1
2014-11-09 04:57:57:0673, diag_itementered, id=61615, type=1
2014-11-09 04:57:58:0410, edge_create, Tuple[0,1,0.2123858153130188,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0410, edge_create, Tuple[1,2,0.8214306581840285,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0510, edge_create, Tuple[1,3,0.5253475157822511,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0572, edge_create, Tuple[1,4,0.7748682460648207,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0634, edge_create, Tuple[1,5,0.08798900046631153,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0688, edge_create, Tuple[1,6,0.9706277591234715,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0734, edge_create, Tuple[1,7,0.10905208045240677,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0797, edge_create, Tuple[1,8,0.6898408841317648,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0846, edge_create, Tuple[1,9,0.7368857026558502,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0908, edge_create, Tuple[1,10,0.11753077061419681,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:58:0955, edge_create, Tuple[1,11,0.7779810281676124,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0017, edge_create, Tuple[1,12,0.010346576594097101,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0064, edge_create, Tuple[1,13,0.21568303121272991,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0126, edge_create, Tuple[1,14,0.6778285228014883,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0173, edge_create, Tuple[1,15,0.8806923572521831,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0237, edge_create, Tuple[1,16,0.8291439582302624,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0283, edge_create, Tuple[1,17,0.6965395888198533,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0361, edge_create, Tuple[1,18,0.5647181294313351,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0408, edge_create, Tuple[1,19,0.6623227240794557,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0456, edge_create, Tuple[1,20,0.5177718436549446,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0518, edge_create, Tuple[1,21,0.4316878619117005,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0565, edge_create, Tuple[1,22,0.8285784197923423,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0628, edge_create, Tuple[1,23,0.6819684311374478,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0674, edge_create, Tuple[1,24,0.2339867731843972,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0738, edge_create, Tuple[1,25,0.7618647875862751,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0785, edge_create, Tuple[1,26,0.31178112811034686,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0848, edge_create, Tuple[1,27,0.5719631563770112,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0895, edge_create, Tuple[1,28,0.5847342082174799,1,0.0,1415526993072,1415526993072]
2014-11-09 04:57:59:0958, edge_create, Tuple[1,29,0.6222940722512574,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0005, edge_create, Tuple[1,30,0.27936368964429314,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0067, edge_create, Tuple[1,31,0.46818490881901087,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0130, edge_create, Tuple[1,32,0.5816471286142813,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0177, edge_create, Tuple[1,33,0.6336535640649814,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0256, edge_create, Tuple[1,34,0.03413882747989194,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0302, edge_create, Tuple[1,35,0.9649383058127003,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0380, edge_create, Tuple[1,36,0.5895416305906704,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0427, edge_create, Tuple[1,37,0.5304989855903378,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0475, edge_create, Tuple[1,38,0.853918337712965,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0537, edge_create, Tuple[1,39,0.5036219955654279,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0615, edge_create, Tuple[1,40,0.3131062684128998,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0709, edge_create, Tuple[1,41,0.3759056829730919,1,0.0,1415526993072,1415526993072]
2014-11-09 04:58:00:0803, discussion_open, 61615
2014-11-09 04:58:00:0803, diag_itemclicked, id=61615, type=1
2014-11-09 04:58:01:0936, diag_itemexited, id=61615, type=1
2014-11-09 04:58:03:0050, list_mouseentered, type=detailAnswersList
2014-11-09 04:58:03:0572, list_mouseexited, type=detailAnswersList
2014-11-09 04:58:08:0613, list_mouseentered, 24723
2014-11-09 04:58:08:0738, list_mouseexited
2014-11-09 04:58:08:0753, list_mouseentered, 24723
2014-11-09 04:58:08:0957, list_mouseexited
2014-11-09 04:58:11:0886, diag_itementered, id=123, type=1
2014-11-09 04:58:11:0996, diag_itemexited, id=123, type=1
2014-11-09 04:58:12:0216, diag_itementered, id=35785, type=1
2014-11-09 04:58:13:0192, edge_create, Tuple[0,1,0.19887935818296254,1,0.0,1415526993072,1415526993072]
