2014-11-17 05:40:39:0110, setup_loaddata
2014-11-17 05:40:58:0330, list_mouseentered, 1
2014-11-17 05:40:58:0361, list_mouseexited
2014-11-17 05:42:13:0803, list_mouseentered, 1
2014-11-17 05:42:13:0834, list_mouseexited
2014-11-17 05:42:14:0115, diag_itemexited, id=1, type=3
2014-11-17 05:42:14:0131, diag_itementered, id=1, type=0
2014-11-17 05:42:14:0193, diag_itemexited, id=1, type=0
2014-11-17 05:42:14:0224, diag_itemexited, id=4, type=3
2014-11-17 05:42:14:0224, diag_itementered, id=4, type=0
2014-11-17 05:42:14:0287, diag_itemexited, id=4, type=0
2014-11-17 05:42:15:0535, diag_itemexited, id=4, type=3
2014-11-17 05:42:15:0535, diag_itementered, id=4, type=0
2014-11-17 05:42:15:0597, diag_itemexited, id=4, type=0
2014-11-17 05:42:15:0644, diag_itemexited, id=4, type=3
2014-11-17 05:42:15:0691, diag_itementered, id=24723, type=1
2014-11-17 05:42:15:0738, diag_itemexited, id=24723, type=1
2014-11-17 05:42:17:0563, diag_itemexited, id=2, type=3
2014-11-17 05:42:17:0641, diag_itementered, id=23445, type=1
2014-11-17 05:42:18:0826, diag_itemexited, id=23445, type=1
2014-11-17 05:42:19:0014, diag_itemexited, id=2, type=3
2014-11-17 05:42:19:0014, diag_itementered, id=65035, type=1
2014-11-17 05:42:21:0698, diag_itemexited, id=65035, type=1
2014-11-17 05:42:21:0979, diag_itemexited, id=2, type=3
2014-11-17 05:42:22:0041, diag_itementered, id=2, type=0
2014-11-17 05:42:22:0588, diag_itemexited, id=2, type=0
2014-11-17 05:42:22:0760, diag_itemexited, id=2, type=3
2014-11-17 05:42:22:0760, diag_itementered, id=23445, type=1
2014-11-17 05:42:40:0892, diag_itemexited, id=23445, type=1
2014-11-17 05:42:40:0954, diag_itemexited, id=2, type=3
2014-11-17 05:42:41:0032, diag_itementered, id=64038, type=1
2014-11-17 05:42:41:0095, diag_itemexited, id=64038, type=1
2014-11-17 05:42:42:0093, diag_itementered, id=21817, type=1
2014-11-17 05:42:42:0124, diag_itemexited, id=21817, type=1
2014-11-17 05:42:42:0311, list_mouseentered, 21817
2014-11-17 05:42:42:0389, list_mouseexited
2014-11-17 05:42:42:0873, list_mouseentered, 15695
2014-11-17 05:42:42:0920, list_mouseexited
2014-11-17 05:47:33:0277, list_mouseentered, 21817
2014-11-17 05:47:33:0339, list_mouseexited
2014-11-17 05:47:33:0605, list_mouseentered, 21817
2014-11-17 05:47:33:0714, list_mouseexited
