2014-11-18 05:42:52:0555, setup_loaddata
2014-11-18 05:42:58:0756, list_mouseentered, 1
2014-11-18 05:42:59:0098, list_mouseexited
2014-11-18 05:43:05:0197, list_mouseentered, 34571
2014-11-18 05:43:25:0577, list_mouseexited
2014-11-18 05:45:34:0702, list_mouseentered, 34571
2014-11-18 05:45:35:0003, list_mouseexited
2014-11-18 05:45:50:0679, list_mouseentered, 3049
2014-11-18 05:45:51:0992, list_mouseexited
2014-11-18 05:45:52:0258, list_mouseentered, 3049
2014-11-18 05:45:52:0391, list_mouseexited
2014-11-18 05:46:10:0004, diag_itemexited, id=102, type=4
2014-11-18 05:46:10:0104, diag_itemexited, id=69, type=4
2014-11-18 05:46:10:0231, diag_itemexited, id=17, type=4
2014-11-18 05:46:10:0254, diag_itementered, id=48249, type=1
2014-11-18 05:46:10:0351, diag_itemexited, id=48249, type=1
2014-11-18 05:46:10:0376, diag_itementered, id=1, type=0
2014-11-18 05:46:13:0369, diag_itemexited, id=1, type=0
2014-11-18 05:46:13:0456, diag_itemexited, id=142, type=4
2014-11-18 05:46:13:0458, diag_itementered, id=57484, type=1
2014-11-18 05:46:13:0542, diag_itemexited, id=57484, type=1
2014-11-18 05:46:13:0543, diag_itementered, id=1, type=0
2014-11-18 05:46:14:0398, diag_itemexited, id=1, type=0
2014-11-18 05:46:14:0399, diag_itementered, id=46898, type=1
2014-11-18 05:46:14:0456, diag_itemexited, id=46898, type=1
2014-11-18 05:46:14:0504, diag_itemexited, id=142, type=4
2014-11-18 05:46:14:0648, diag_itemexited, id=143, type=4
2014-11-18 05:46:14:0649, diag_itementered, id=41107, type=1
2014-11-18 05:46:15:0069, diag_itemexited, id=41107, type=1
2014-11-18 05:46:15:0300, diag_itemexited, id=143, type=4
2014-11-18 05:46:15:0301, diag_itementered, id=27065, type=1
2014-11-18 05:46:16:0380, edge_create, Tuple[0,1,0.14008138106502843,2,1.0,1416307371352,1416307371352]
2014-11-18 05:46:16:0381, pattern_create, 1
2014-11-18 05:46:16:0381, edge_create, Tuple[1,2,0.7376503566742112,2,1.0,1416307371352,1416307371352]
2014-11-18 05:46:16:0382, edge_create, Tuple[0,3,0.7717075057879038,1,0.0,1416307371352,1416307371352]
2014-11-18 05:46:16:0382, edge_create, Tuple[3,4,0.013099823681277267,1,0.0,1416307371352,1416307371352]
2014-11-18 05:46:16:0391, edge_create, Tuple[3,5,0.31051512584812135,1,0.0,1416307371352,1416307371352]
2014-11-18 05:46:16:0397, edge_create, Tuple[3,6,0.5325610033329911,1,0.0,1416307371352,1416307371352]
2014-11-18 05:46:16:0402, edge_create, Tuple[3,7,0.41860061641557333,1,0.0,1416307371352,1416307371352]
