2014-12-05 02:30:31:0224, setup_loaddata_begin
2014-12-05 02:30:32:0857, setup_loaddata_end
2014-12-05 02:30:32:0888, setup_createactions_begin
2014-12-05 02:30:33:0037, setup_createactions_end
2014-12-05 02:30:37:0857, diag_itementered, id=62289, type=1
2014-12-05 02:31:00:0700, edge_create, Tuple[0,1,0.722941573435183,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0701, edge_create, Tuple[1,2,0.6633312961219956,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0714, edge_create, Tuple[1,3,0.42549269030309445,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0718, edge_create, Tuple[1,4,0.7848478409338436,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0722, edge_create, Tuple[1,5,0.9912718072496304,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0724, edge_create, Tuple[1,6,0.973540774637748,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0727, edge_create, Tuple[1,7,0.3109029020504248,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0730, edge_create, Tuple[1,8,0.6110631206087466,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0733, edge_create, Tuple[1,9,0.3466424913449324,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0736, edge_create, Tuple[1,10,0.5746053220111689,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0739, edge_create, Tuple[1,11,0.5901054097571151,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0742, edge_create, Tuple[1,12,0.254367137668873,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0745, edge_create, Tuple[1,13,0.2870554342438312,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0747, edge_create, Tuple[1,14,0.1415843112141495,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0750, edge_create, Tuple[1,15,0.2843495249195741,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0753, edge_create, Tuple[1,16,0.30043036929537714,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0756, edge_create, Tuple[1,17,0.9978976140920774,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0758, edge_create, Tuple[1,18,0.6898277686655367,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0761, edge_create, Tuple[1,19,0.4827114830511655,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0764, edge_create, Tuple[1,20,0.39636016452950007,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0767, edge_create, Tuple[1,21,0.18118234196158134,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0769, edge_create, Tuple[1,22,0.6905556542865486,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0772, edge_create, Tuple[1,23,0.04868604751192218,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0776, edge_create, Tuple[1,24,0.5049106833581486,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0779, edge_create, Tuple[1,25,0.21213083754222728,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0782, edge_create, Tuple[1,26,0.5478732774998255,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0785, edge_create, Tuple[1,27,0.5534255268918941,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0788, edge_create, Tuple[1,28,0.1739523536325328,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0790, edge_create, Tuple[1,29,0.9629679460217311,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0793, edge_create, Tuple[1,30,0.2021455134641581,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0796, edge_create, Tuple[1,31,0.955676228435928,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0799, edge_create, Tuple[1,32,0.7545812582838379,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0802, edge_create, Tuple[1,33,0.7519707169855997,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0804, edge_create, Tuple[1,34,0.5318796630616587,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0807, edge_create, Tuple[1,35,0.30725148030071103,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0810, edge_create, Tuple[1,36,0.6741001646576222,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0812, edge_create, Tuple[1,37,0.5252221262934923,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0815, edge_create, Tuple[1,38,0.914743311154908,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0818, edge_create, Tuple[1,39,0.5529191588671696,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0820, edge_create, Tuple[1,40,0.32420423182639924,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0823, edge_create, Tuple[1,41,0.5591862574526804,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0826, edge_create, Tuple[1,42,0.7780697827397914,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0828, edge_create, Tuple[1,43,0.3148715098984446,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0831, edge_create, Tuple[1,44,0.8600563914052844,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0834, edge_create, Tuple[1,45,0.6841356210022745,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0837, edge_create, Tuple[1,46,0.22018044638757195,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0840, edge_create, Tuple[1,47,0.4044829440011193,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0842, edge_create, Tuple[1,48,0.22253883039809164,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0845, edge_create, Tuple[1,49,0.2716251741807115,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0848, edge_create, Tuple[1,50,0.8160801240937582,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:00:0851, edge_create, Tuple[1,51,0.6878515154344731,1,0.0,1417764631801,1417764631801]
2014-12-05 02:31:01:0533, discussion_open, 62289
2014-12-05 02:31:01:0534, diag_itemclicked, id=62289, type=1
2014-12-05 02:31:01:0535, diag_itemexited, id=62289, type=1
2014-12-05 02:31:28:0706, diag_detail_itementered, id=65668, type=1
2014-12-05 02:31:28:0741, diag_detail_itemexited, id=65668, type=1
2014-12-05 02:31:28:0742, diag_detail_itementered, id=0.3466424913449324, type=1
2014-12-05 02:31:28:0766, diag_detail_itemexited, id=0.3466424913449324, type=1
2014-12-05 02:31:28:0795, diag_detail_itementered, id=0.6110631206087466, type=1
2014-12-05 02:31:28:0818, diag_detail_itemexited, id=0.6110631206087466, type=1
2014-12-05 02:31:29:0998, diag_detail_itementered, id=0.6633312961219956, type=1
2014-12-05 02:31:30:0041, diag_detail_itemexited, id=0.6633312961219956, type=1
2014-12-05 02:31:30:0042, diag_detail_itementered, id=0.2716251741807115, type=1
2014-12-05 02:31:30:0069, diag_detail_itemexited, id=0.2716251741807115, type=1
2014-12-05 02:31:30:0170, diag_detail_itementered, id=0.5318796630616587, type=1
2014-12-05 02:31:30:0211, diag_detail_itemexited, id=0.5318796630616587, type=1
