2015-01-15 06:47:16:0289, setup_loaddata_begin
2015-01-15 06:47:18:0928, setup_loaddata_end
2015-01-15 06:47:18:0953, setup_createactions_begin
2015-01-15 06:47:19:0145, setup_createactions_end
2015-01-15 06:47:22:0296, diag_itementered, id=35842, type=1
2015-01-15 06:47:22:0353, diag_itemexited, id=35842, type=1
2015-01-15 06:47:22:0355, diag_itementered, id=36701, type=1
2015-01-15 06:47:22:0358, diag_itemexited, id=36701, type=1
2015-01-15 06:47:22:0956, list_mouseentered, id=36701, type=1
2015-01-15 06:47:22:0956, list_mousemoved, id=36701, type=1
2015-01-15 06:47:22:0966, list_mousemoved, id=36701, type=1
2015-01-15 06:47:22:0986, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0016, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0030, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0043, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0063, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0073, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0104, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0130, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0153, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0173, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0183, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0193, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0223, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0250, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0266, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0296, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0306, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0316, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0338, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0369, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0399, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0419, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0492, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0536, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0556, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0576, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0586, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0639, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0656, list_mousemoved, id=36701, type=1
2015-01-15 06:47:23:0706, list_mouseexited
2015-01-15 06:47:26:0466, search_update, junit
2015-01-15 06:47:35:0267, search_update, 
2015-01-15 06:48:17:0951, search_update, junit
2015-01-15 06:48:20:0086, list_mouseentered, id=34571, type=1
2015-01-15 06:48:20:0086, list_mousemoved, id=34571, type=1
2015-01-15 06:48:20:0106, list_mousemoved, id=34571, type=1
2015-01-15 06:48:20:0126, list_mousemoved, id=34571, type=1
2015-01-15 06:48:20:0143, list_mousemoved, id=34571, type=1
2015-01-15 06:48:20:0157, list_mousemoved, id=34571, type=1
2015-01-15 06:48:20:0166, list_mousemoved, id=34571, type=1
2015-01-15 06:48:20:0186, list_mouseexited
2015-01-15 06:48:21:0846, list_mouseentered, id=6658, type=1
2015-01-15 06:48:21:0846, list_mousemoved, id=6658, type=1
2015-01-15 06:48:21:0856, list_mousemoved, id=6658, type=1
2015-01-15 06:48:21:0876, list_mousemoved, id=42102, type=1
2015-01-15 06:48:21:0896, list_mousemoved, id=42102, type=1
2015-01-15 06:48:21:0922, list_mousemoved, id=42102, type=1
2015-01-15 06:48:21:0944, list_mousemoved, id=42102, type=1
2015-01-15 06:48:21:0971, list_mousemoved, id=34571, type=1
2015-01-15 06:48:21:0979, list_mousemoved, id=34571, type=1
2015-01-15 06:48:21:0999, list_mousemoved, id=34571, type=1
2015-01-15 06:48:22:0020, list_mousemoved, id=34571, type=1
2015-01-15 06:48:22:0042, list_mousemoved, id=34571, type=1
2015-01-15 06:48:22:0055, list_mousemoved, id=34571, type=1
2015-01-15 06:48:22:0066, list_mousemoved, id=34571, type=1
2015-01-15 06:48:22:0086, list_mouseexited
2015-01-15 06:48:24:0229, list_mouseentered, id=34571, type=1
2015-01-15 06:48:24:0230, list_mousemoved, id=34571, type=1
2015-01-15 06:48:24:0242, list_mousemoved, id=34571, type=1
2015-01-15 06:48:24:0260, list_mousemoved, id=34571, type=1
2015-01-15 06:48:24:0270, list_mouseexited
2015-01-15 06:48:25:0186, diag_itementered, id=34571, type=1
2015-01-15 06:48:27:0959, edge_create, Tuple[0,1,0.5912171602667335,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0979, answer_create, 34586
2015-01-15 06:48:27:0979, edge_create, Tuple[1,2,0.383232507630466,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0979, answer_create, 34630
2015-01-15 06:48:27:0979, edge_create, Tuple[1,3,0.4661809985012091,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0979, answer_create, 57795
2015-01-15 06:48:27:0979, edge_create, Tuple[1,4,0.4837986540848124,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0979, answer_create, 5820700
2015-01-15 06:48:27:0979, edge_create, Tuple[1,5,0.8405732550488485,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0979, answer_create, 8704898
2015-01-15 06:48:27:0989, edge_create, Tuple[1,6,0.40257983827312205,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0989, answer_create, 12061743
2015-01-15 06:48:27:0989, edge_create, Tuple[1,7,0.15932786678478872,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0989, answer_create, 15192546
2015-01-15 06:48:27:0989, edge_create, Tuple[1,8,0.4656299939452566,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0989, answer_create, 15980437
2015-01-15 06:48:27:0989, edge_create, Tuple[1,9,0.5990521715608277,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0989, answer_create, 34598
2015-01-15 06:48:27:0989, edge_create, Tuple[1,10,0.692802481075456,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0989, answer_create, 34594
2015-01-15 06:48:27:0989, edge_create, Tuple[1,11,0.8255104976692031,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0989, answer_create, 34590
2015-01-15 06:48:27:0999, edge_create, Tuple[1,12,0.317514284089901,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 52054
2015-01-15 06:48:27:0999, edge_create, Tuple[1,13,0.9128789115548893,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 38425
2015-01-15 06:48:27:0999, edge_create, Tuple[1,14,0.1456484493167114,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 34658
2015-01-15 06:48:27:0999, edge_create, Tuple[1,15,0.03607197897934278,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 34644
2015-01-15 06:48:27:0999, edge_create, Tuple[1,16,0.36997928726956464,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 5083041
2015-01-15 06:48:27:0999, edge_create, Tuple[1,17,0.0989443926211373,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 4667692
2015-01-15 06:48:27:0999, edge_create, Tuple[1,18,0.2099404696158893,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 3177465
2015-01-15 06:48:27:0999, edge_create, Tuple[1,19,0.3708879583236935,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 1043013
2015-01-15 06:48:27:0999, edge_create, Tuple[1,20,0.1438542504839101,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:27:0999, answer_create, 1038507
2015-01-15 06:48:28:0009, edge_create, Tuple[1,21,5.97758441549745E-4,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 549592
2015-01-15 06:48:28:0009, edge_create, Tuple[1,22,0.5155288544986621,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 549558
2015-01-15 06:48:28:0009, edge_create, Tuple[1,23,0.690015148146621,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 549551
2015-01-15 06:48:28:0009, edge_create, Tuple[1,24,0.2311716067892775,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 311412
2015-01-15 06:48:28:0009, edge_create, Tuple[1,25,0.02824105823540546,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 190338
2015-01-15 06:48:28:0009, edge_create, Tuple[1,26,0.9957383655839381,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 91206
2015-01-15 06:48:28:0009, edge_create, Tuple[1,27,0.8922449107835534,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 53571
2015-01-15 06:48:28:0009, edge_create, Tuple[1,28,0.7781547473612308,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 51192
2015-01-15 06:48:28:0009, edge_create, Tuple[1,29,0.7592930934891698,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0009, answer_create, 46255
2015-01-15 06:48:28:0009, edge_create, Tuple[1,30,0.7284325797298727,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0019, answer_create, 8139572
2015-01-15 06:48:28:0019, edge_create, Tuple[1,31,0.7891326999304414,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0019, edge_create, Tuple[0,32,0.7108253845032261,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0019, edge_create, Tuple[32,33,0.6191592435074483,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0019, edge_create, Tuple[32,34,0.6582017733289184,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0030, edge_create, Tuple[32,35,0.1732688003006555,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0033, edge_create, Tuple[32,36,0.6142716076065267,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0035, edge_create, Tuple[32,37,0.5681647285302195,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0038, edge_create, Tuple[32,38,0.210813405775798,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0041, edge_create, Tuple[32,39,0.7660019035813876,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0044, edge_create, Tuple[32,40,0.35337575170484603,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0046, edge_create, Tuple[32,41,0.7789786196236991,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0046, edge_create, Tuple[32,42,0.5659465261430836,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0046, edge_create, Tuple[32,43,0.4925218145017004,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0046, edge_create, Tuple[32,44,0.10580913068952791,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0056, edge_create, Tuple[32,45,0.004876865616495474,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0056, edge_create, Tuple[32,46,0.015365082460544799,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0066, edge_create, Tuple[32,47,0.4511532310597598,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0066, edge_create, Tuple[32,48,0.4673581172248793,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0066, edge_create, Tuple[32,49,0.7112620862171511,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0066, edge_create, Tuple[32,50,0.40106737928829206,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0076, edge_create, Tuple[32,51,0.01890756780908387,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0076, edge_create, Tuple[32,52,0.6851541263179598,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0076, edge_create, Tuple[32,53,0.07117924477614601,1,0.0,1421322436863,1421322436863]
2015-01-15 06:48:28:0096, discussion_open, 34571
2015-01-15 06:48:28:0096, diag_itemclicked, id=34571, type=1
2015-01-15 06:48:29:0741, diag_itemexited, id=34571, type=1
2015-01-15 06:48:48:0923, pattern_change_cancel
2015-01-15 06:48:48:0924, pattern_change_open
2015-01-15 06:48:49:0990, edge_create, Tuple[0,1,0.10158160954048778,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:49:0990, answer_create, 34586
2015-01-15 06:48:49:0990, edge_create, Tuple[1,2,0.7667854720726834,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:49:0990, answer_create, 34630
2015-01-15 06:48:49:0990, edge_create, Tuple[1,3,0.8761379448876737,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 57795
2015-01-15 06:48:50:0000, edge_create, Tuple[1,4,0.6101353767186848,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 5820700
2015-01-15 06:48:50:0000, edge_create, Tuple[1,5,0.41446067447112334,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 8704898
2015-01-15 06:48:50:0000, edge_create, Tuple[1,6,0.2460173958132008,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 12061743
2015-01-15 06:48:50:0000, edge_create, Tuple[1,7,0.29609633692815207,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 15192546
2015-01-15 06:48:50:0000, edge_create, Tuple[1,8,0.6263531533514708,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 15980437
2015-01-15 06:48:50:0000, edge_create, Tuple[1,9,0.4691621049750424,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 34598
2015-01-15 06:48:50:0000, edge_create, Tuple[1,10,0.25037584893280684,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 34594
2015-01-15 06:48:50:0000, edge_create, Tuple[1,11,0.338867179767537,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 34590
2015-01-15 06:48:50:0000, edge_create, Tuple[1,12,0.5096571540435624,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0000, answer_create, 52054
2015-01-15 06:48:50:0010, edge_create, Tuple[1,13,0.9968814635371236,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 38425
2015-01-15 06:48:50:0010, edge_create, Tuple[1,14,0.8598870924218806,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 34658
2015-01-15 06:48:50:0010, edge_create, Tuple[1,15,0.9658164802239717,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 34644
2015-01-15 06:48:50:0010, edge_create, Tuple[1,16,0.7355132200814798,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 5083041
2015-01-15 06:48:50:0010, edge_create, Tuple[1,17,0.3825409439430165,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 4667692
2015-01-15 06:48:50:0010, edge_create, Tuple[1,18,0.42771642786292674,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 3177465
2015-01-15 06:48:50:0010, edge_create, Tuple[1,19,0.692449266673007,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 1043013
2015-01-15 06:48:50:0010, edge_create, Tuple[1,20,0.6203104620350778,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 1038507
2015-01-15 06:48:50:0010, edge_create, Tuple[1,21,0.4290170729962709,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0010, answer_create, 549592
2015-01-15 06:48:50:0010, edge_create, Tuple[1,22,0.684695760802963,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0020, answer_create, 549558
2015-01-15 06:48:50:0040, edge_create, Tuple[1,23,0.09202338021743273,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0040, answer_create, 549551
2015-01-15 06:48:50:0041, edge_create, Tuple[1,24,0.8897965913707396,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0042, answer_create, 311412
2015-01-15 06:48:50:0042, edge_create, Tuple[1,25,0.17482482425373014,4,0.0,1421322436863,1421322436863]
2015-01-15 06:48:50:0043, answer_create, 190338
