2015-01-21 12:09:22:0500, setup_loaddata_begin
2015-01-21 12:09:24:0155, setup_loaddata_end
2015-01-21 12:09:24:0202, setup_createactions_begin
2015-01-21 12:09:24:0343, setup_createactions_end
2015-01-21 12:09:38:0857, search_update, compare
2015-01-21 12:09:45:0815, search_update, 
2015-01-21 12:09:50:0231, search_update, difference
2015-01-21 12:09:56:0470, search_update, test
2015-01-21 12:10:01:0153, search_update, testing
2015-01-21 12:10:07:0870, search_update, 
2015-01-21 12:10:09:0107, diag_itementered, id=51438, type=1
2015-01-21 12:10:09:0123, diag_itemexited, id=51438, type=1
2015-01-21 12:10:09:0639, diag_itemexited, id=4, type=4
2015-01-21 12:10:09:0671, diag_itementered, id=35785, type=1
2015-01-21 12:10:09:0702, diag_itemexited, id=35785, type=1
2015-01-21 12:10:11:0250, diag_itemexited, id=4, type=4
2015-01-21 12:10:11:0250, diag_itementered, id=40471, type=1
2015-01-21 12:10:11:0297, diag_itemexited, id=40471, type=1
2015-01-21 12:10:11:0297, diag_itementered, id=564, type=1
2015-01-21 12:10:11:0344, diag_itemexited, id=564, type=1
2015-01-21 12:10:11:0391, diag_itemexited, id=4, type=4
2015-01-21 12:10:11:0689, diag_itementered, id=37628, type=1
2015-01-21 12:10:14:0236, diag_itemexited, id=37628, type=1
2015-01-21 12:10:14:0298, diag_itementered, id=22115, type=1
2015-01-21 12:10:15:0769, diag_itemexited, id=22115, type=1
2015-01-21 12:10:15:0878, diag_itementered, id=56843, type=1
2015-01-21 12:10:17:0051, diag_itemexited, id=56843, type=1
2015-01-21 12:10:17:0456, diag_itementered, id=42102, type=1
2015-01-21 12:10:18:0522, diag_itemexited, id=42102, type=1
2015-01-21 12:10:18:0616, diag_itemexited, id=4, type=4
2015-01-21 12:10:18:0616, diag_itementered, id=4, type=0
2015-01-21 12:10:18:0663, diag_itemexited, id=4, type=0
2015-01-21 12:10:19:0131, diag_itementered, id=51574, type=1
2015-01-21 12:10:19:0162, diag_itemexited, id=51574, type=1
2015-01-21 12:10:19:0396, diag_itementered, id=51574, type=1
2015-01-21 12:10:20:0256, diag_itemexited, id=51574, type=1
2015-01-21 12:10:20:0303, diag_itementered, id=55440, type=1
2015-01-21 12:10:20:0334, diag_itemexited, id=55440, type=1
2015-01-21 12:10:20:0365, diag_itemexited, id=4, type=4
2015-01-21 12:10:20:0381, diag_itementered, id=40471, type=1
2015-01-21 12:10:20:0412, diag_itemexited, id=40471, type=1
2015-01-21 12:11:30:0493, list_mouseentered, id=40471, type=1
2015-01-21 12:11:30:0503, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0523, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0543, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0543, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0563, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0613, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0633, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0643, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0663, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0673, list_mousemoved, id=40471, type=1
2015-01-21 12:11:30:0683, list_mousemoved, id=40471, type=1
