2014-12-05 12:20:26:0058, setup_loaddata_begin
2014-12-05 12:20:28:0353, setup_loaddata_end
2014-12-05 12:20:28:0384, setup_createactions_begin
2014-12-05 12:20:28:0571, setup_createactions_end
2014-12-05 12:20:33:0984, list_pattern_mouseentered, id=1, type=0
2014-12-05 12:20:33:0984, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:20:34:0031, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:20:34:0047, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:20:34:0078, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:20:34:0094, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:20:34:0125, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:20:34:0156, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:20:34:0172, list_pattern_mousemoved, id=4, type=0
2014-12-05 12:20:34:0203, list_pattern_mousemoved, id=4, type=0
2014-12-05 12:20:34:0218, list_pattern_mousemoved, id=4, type=0
2014-12-05 12:20:34:0250, list_pattern_mousemoved, id=4, type=0
2014-12-05 12:20:34:0281, list_pattern_mousemoved, id=4, type=0
2014-12-05 12:20:34:0296, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0328, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0328, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0374, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0390, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0421, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0437, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0468, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0484, list_pattern_mousemoved, id=-1404308192, type=0
2014-12-05 12:20:34:0515, list_pattern_mousemoved, id=-747161665, type=0
2014-12-05 12:20:34:0530, list_pattern_mousemoved, id=-747161665, type=0
2014-12-05 12:20:34:0562, list_pattern_mousemoved, id=-747161665, type=0
2014-12-05 12:20:34:0577, list_pattern_mousemoved, id=-747161665, type=0
2014-12-05 12:20:34:0608, list_pattern_mousemoved, id=-747161665, type=0
2014-12-05 12:20:35:0529, list_pattern_mousemoved, id=-747161665, type=0
2014-12-05 12:20:35:0560, list_pattern_mousemoved, id=-747161665, type=0
2014-12-05 12:20:35:0576, list_pattern_mousemoved, id=-747161665, type=0
2014-12-05 12:20:35:0607, list_pattern_mouseexited
2014-12-05 12:20:35:0685, diag_itemexited, id=4, type=4
2014-12-05 12:20:35:0685, diag_itementered, id=4, type=0
2014-12-05 12:20:35:0685, diag_itemexited, id=4, type=0
2014-12-05 12:20:35:0732, diag_itemexited, id=4, type=4
2014-12-05 12:20:35:0763, diag_itemexited, id=-747161665, type=4
2014-12-05 12:20:35:0763, diag_itementered, id=-747161665, type=0
2014-12-05 12:20:35:0825, diag_itemexited, id=-747161665, type=0
2014-12-05 12:20:35:0825, diag_itementered, id=-1404308192, type=0
2014-12-05 12:20:35:0888, diag_itemexited, id=-1404308192, type=0
2014-12-05 12:20:36:0012, diag_itemexited, id=-1404308192, type=4
2014-12-05 12:20:36:0012, diag_itementered, id=-1404308192, type=0
2014-12-05 12:20:36:0075, diag_itemexited, id=-1404308192, type=0
2014-12-05 12:20:36:0168, diag_itementered, id=-747161665, type=0
2014-12-05 12:20:37:0338, pattern_open, -747161665
2014-12-05 12:20:37:0338, diag_itemclicked, id=-747161665, type=0
2014-12-05 12:20:37:0838, diag_itemexited, id=-747161665, type=0
2014-12-05 12:20:38:0789, diag_detail_itementered, id=-747161665, type=0
2014-12-05 12:20:39:0850, diag_detail_itemexited, id=-747161665, type=0
2014-12-05 12:20:40:0973, diag_itemexited, id=2, type=4
2014-12-05 12:20:40:0973, diag_itementered, id=2, type=0
2014-12-05 12:20:41:0020, diag_itemexited, id=2, type=0
