2014-12-18 02:47:51:0339, setup_loaddata_begin
2014-12-18 02:47:53:0759, setup_loaddata_end
2014-12-18 02:47:54:0227, setup_createactions_begin
2014-12-18 02:47:54:0617, setup_createactions_end
2014-12-18 02:48:37:0783, search_update, unix
2014-12-18 02:48:43:0399, search_update, \
2014-12-18 02:48:45:0006, search_update, 
2014-12-18 02:48:46:0987, list_mouseentered, id=24723, type=1
2014-12-18 02:48:46:0987, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0034, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0143, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0268, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0299, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0315, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0315, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0362, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0377, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0440, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0502, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0533, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0627, list_mousemoved, id=24723, type=1
2014-12-18 02:48:47:0783, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0043, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0074, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0074, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0090, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0121, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0137, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0152, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0184, list_mousemoved, id=24723, type=1
2014-12-18 02:48:51:0199, list_mousemoved, id=3049, type=1
2014-12-18 02:48:51:0215, list_mouseexited
2014-12-18 02:48:51:0745, diag_itementered, id=50532, type=1
2014-12-18 02:48:51:0776, diag_itemexited, id=50532, type=1
2014-12-18 02:48:55:0957, setup_loaddata_begin
2014-12-18 02:48:56:0815, setup_loaddata_end
2014-12-18 02:48:56:0815, setup_createactions_begin
2014-12-18 02:48:56:0831, setup_createactions_end
2014-12-18 02:49:03:0867, diag_itementered, id=40471, type=1
2014-12-18 02:49:03:0882, diag_itemexited, id=40471, type=1
2014-12-18 02:49:03:0960, diag_itemexited, id=4, type=4
2014-12-18 02:49:03:0960, diag_itementered, id=41107, type=1
2014-12-18 02:49:03:0991, diag_itemexited, id=41107, type=1
2014-12-18 02:49:04:0085, diag_itemexited, id=3, type=4
