Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"1245374","1","","","2009-08-07 15:19:32","3","1943","<p>We are running portlets in WebSphere 6.01, using Java 1.4. We want to send JMS messages to a JBoss 5 queue, running Java 5 (or maybe 6, but it's certainly newer than 1.4). Trying to connect using JNDI is not working, since we have to include the JBoss client jars in the classpath of the portlet, and they are Java 1.5. So I get an unsupported major/minor error when I try to create the InitialContext.</p>

<p>Can we connect straight to JBoss without using JNDI? Or is there some way to get around this issue I can't think of? </p>
","","dbg","","","","2010-05-24 22:16:40","JMS without JNDI?","<jboss><jms><websphere><jndi><portlet>","6","","2","",""
"14796","2","","4046","2008-08-18 15:28:40","4","","<p>a good start point, could be this <a href=""http://jira.codehaus.org/browse/MOJO-392"" rel=""nofollow"">maven pluggin</a>, not for use it, or maybe yes, but this maven is build over ant task. If you see WAS5+Plugin+Mojo.zip\src\main\scripts\was5.build.xml</p>

<p>Or as said ""McDowell"", you can use ""WebSphere Application Server (WAS) Ant tasks"" but directly as ANT task.</p>

<pre><code>&lt;path id=""classpath""&gt;
    &lt;fileset file=""com.ibm.websphere.v61_6.1.100.ws_runtime.jar""/&gt;
&lt;/path&gt;

&lt;taskdef name=""wsStartApp"" classname=""com.ibm.websphere.ant.tasks.StartApplication"" classpathref=""classpath"" /&gt;
&lt;taskdef name=""wsStopApp"" classname=""com.ibm.websphere.ant.tasks.StopApplication"" classpathref=""classpath"" /&gt;
&lt;taskdef name=""wsInstallApp"" classname=""com.ibm.websphere.ant.tasks.InstallApplication"" classpathref=""classpath"" /&gt;
&lt;taskdef name=""wsUninstallApp"" classname=""com.ibm.websphere.ant.tasks.UninstallApplication"" classpathref=""classpath"" /&gt;

&lt;target name=""startWebApp1"" depends=""installEar""&gt;
	&lt;wsStartApp wasHome=""${wasHome.dir}"" 
				application=""${remoteAppName}"" 
				server=""${clusterServerName}"" 
				conntype=""${remoteProdConnType}"" 
				host=""${remoteProdHostName}"" 
				port=""${remoteProdPort}"" 
				user=""${remoteProdUserId}"" 
				password=""${remoteProdPassword}"" /&gt;
&lt;/target&gt;

&lt;target name=""stopWebApp1"" depends=""prepare""&gt;
	&lt;wsStopApp wasHome=""${wasHome.dir}""
				application=""${remoteAppName}""
				server=""${clusterServerName}""
				conntype=""${remoteConnType}""
				host=""${remoteHostName}""
				port=""${remotePort}""
				user=""${remoteUserId}""
				password=""${remotePassword}""/&gt;
&lt;/target&gt;

&lt;target name=""uninstallEar"" depends=""stopWebApp1""&gt;
	&lt;wsUninstallApp wasHome=""${wasHome.dir}""
					application=""${remoteAppName}""
					options=""-cell uatNetwork -cluster DOL""
					conntype=""${remoteConnType}""
					host=""${remoteHostName}""
					port=""${remoteDmgrPort}""
					user=""${remoteUserId}""
					password=""${remotePassword}""/&gt;
&lt;/target&gt;

&lt;target name=""installEar"" depends=""prepare""&gt;
	&lt;wsInstallApp ear=""${existingEar.dir}/${existingEar}"" 
				  wasHome=""${wasHome.dir}"" 
				  options=""${install_app_options}""
				  conntype=""${remoteConnType}"" 
				  host=""${remoteHostName}"" 
				  port=""${remoteDmgrPort}"" 
				  user=""${remoteUserId}"" 
				  password=""${remotePassword}"" /&gt;
&lt;/target&gt;
</code></pre>

<p>Another useful link could be <a href=""http://www.theserverside.com/news/thread.tss?thread_id=32285"" rel=""nofollow"">this</a>.</p>
","1713","accreativos","","","","2008-08-18 15:28:40","","","","","","",""
"27430","2","","24678","2008-08-26 05:00:42","0","","<p>Oracle Workshop for WebLogic (formally BEA Workshop) has excellent support for JavaScript and for visually editing HTMLs. It support many servers, not only WebLogic, including Tomcat, JBoss, Resin, Jetty, and WebSphere.  </p>

<p>It recently became free, check out <a href=""http://blog.zvikico.com/2008/08/the-best-jspstrutsjsf-development-tool-is-now-free.html"" rel=""nofollow"">my post</a> about it. Given that it was an expensive product not long ago, I guess it's worth checking out.</p>
","2823","zvikico","","","","2008-08-26 05:00:42","","","","1","","",""
"27598","1","170414","","2008-08-26 09:03:21","2","11320","<p>I've deployed some Managed Beans on WebSphere 6.1 and I've managed to invoke them through a standalone client, but when I try to use the application ""jconsole"" distributed with the standard JDK can can't make it works.</p>

<p>Has anyone achieved to connect the jconsole with WAS 6.1?</p>

<p>IBM WebSphere 6.1 it's supossed to support JSR 160 JavaTM Management Extensions (JMX) Remote API. Furthermore, it uses the MX4J implementation (<a href=""http://mx4j.sourceforge.net"" rel=""nofollow"">http://mx4j.sourceforge.net</a>). But I can't make it works with neither ""jconsole"" nor ""MC4J"".</p>

<p>I have the Classpath and the JAVA_HOME correctly setted, so the issue it's not there.</p>
","2937","Alotor","1820","Cheekysoft","2009-02-03 11:00:33","2012-06-06 00:44:35","How can I make ""jconsole"" work with Websphere 6.1?","<java><websphere><jmx><mbeans>","8","","2","",""
"12927","1","12961","","2008-08-16 00:45:38","8","2578","<p>I am calling a vendor's Java API, and on some servers it appears that the JVM goes into a low priority polling loop after logging into the API (CPU at 100% usage).  The same app on other servers does not exhibit this behavior. This happens on WebSphere and Tomcat.  The environment is tricky to set up so it is difficult to try to do something like profiling within Eclipse.</p>

<p>Is there a way to profile (or some other method of inspecting) an existing Java app running in Tomcat to find out what methods are being executed while it's in this spinwait kind of state?  The app is only executing one method when it gets in this state (vendor's method). Vendor can't replicate the behavior (of course).</p>

<hr>

<p>Update:  </p>

<p>Using JConsole I was able to determine who was running and what they were doing.  It took me a few hours to then figure out why it was doing it.  The problem ended up being that the vendor's API jar that was being used did not match exactly to the the database configuration that it was using.  It was defaulting to having tracing and performance monitoring enabled on the servers that had the slight mis-match in configuration.  I used a different jar and all is well.</p>

<p>So thanks, Joshua, for your answer. JConsole was extremely easy to setup and use to monitor an existing application. </p>

<p>@Cringe - I did some experimenting with some of the options you suggested.  I had some problems with getting JProfiler set up, it looks good (but pricey).  Going forward I went ahead and added the Eclipse Profiler plugin and I'll be looking over the different open source profilers to compare functionality.</p>
","791","bruceatk","496830","bruceatk","2011-10-17 11:59:28","2011-10-17 11:59:28","If you have a Java application that is consuming CPU when it isn't doing anything, how do you determine what it is doing?","<java><profiling>","8","","1","",""
"44674","2","","12008","2008-09-04 20:12:06","0","","<p>You mentioned WebSphere, BizTalk, Mule. Each of which has very different characteristics with its good and bad points.
If just integration you are after, I will recommend Mule. I had very good experience with it and more important the architect is non invasive, so you could always migrate to a different ESB or other Buzz word complaint solution.
One the the sweet spots of Mule is that it can be embedded within your application and your final artifact can be deployed on Webshpere, WLS, Glassfish etc... without even showing you embeded an ESB. Then this ESB can perform all the integration plumbing (managing connection types and protocols). Whereas some of the end points could be other integration solution you mentioned.</p>
","186252","","","","","2008-09-04 20:12:06","","","","","","",""
"48184","2","","37579","2008-09-07 05:51:05","2","","<p>If cost isn't an issue (<em>there is also an Express SKU</em>) then take a look at the 800,000 pound gorilla. WebSphere MQ (MQ Series). It runs on practically any platform and supports so many different queue managers and messaging patterns it really isn't appropriate to list them here.</p>

<ul>
<li>IBM's WebSphere MQ Site: <a href=""http://www.ibm.com/software/integration/wmq/"" rel=""nofollow"">http://www.ibm.com/software/integration/wmq/</a></li>
<li><strong>The</strong> MQ Support Forum: <a href=""http://www.mqseries.net/phpBB2/index.php"" rel=""nofollow"">http://www.mqseries.net/phpBB2/index.php</a></li>
</ul>
","2730","MotoWilliams","2730","","2009-06-10 04:50:25","2009-06-10 04:50:25","","","","2","","",""
"67047","2","","66840","2008-09-15 21:16:03","0","","<p>You'll find some references to the Dojo/Bayeux approach here<br />
<a href=""http://www.pathf.com/blogs/2006/08/bayeux_a_json_p/"" rel=""nofollow"">http://www.pathf.com/blogs/2006/08/bayeux_a_json_p/</a></p>

<p>If you're using WebSphere 6.0 or higher then the Web 2.0 Feature Pack includes an implementation.</p>
","","djna","","","","2008-09-15 21:16:03","","","","","","",""
"121827","1","","","2008-09-23 15:41:41","1","1362","<p>I'm looking to implement an ESB and wanted to get thoughts related to ""how"" my web services might change (WCF) or -- how my client apps that consume these services might ""need to be revised"" (-- other than a new service ref to the ESB path --)</p>

<p>The device I'm working with specifically is the ""WebSphere DataPower XML Security Gateway XS40""</p>
","2701","Toran Billups","","","","2008-11-25 02:08:27","Any issues using an IBM DataPower ESB w/ WCF development?","<wcf><soa><esb><ibm-datapower>","2","","","",""
"12008","1","12047","","2008-08-15 06:06:13","4","1448","<p>I curious to how different people solve integration of systems. I have a feeling that the last years more and more work has gone into integrating systems and that this kind of work need will increase as well.</p>

<p>I wondering if you solve it developing your own small services that are then connected or if you use some sort of product (WebSphere, BizTalk, <a href=""http://mule.mulesource.org/display/MULE/Home"" rel=""nofollow"" title=""Coding Guidelines for Cocoa"">Mule</a> etc). I'd also think it'd be interesting to know how these kind of solutions are managed and maintained (how do you solve security, instrumentation etc, etc), what kind of problems have you experienced with your solution and so on.</p>
","298","Richard Hallgren","","","","2008-12-25 21:44:35","How do you do system integration?","<architecture><system-integration>","5","","1","",""
