Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
123,1,183,,8/1/2008 16:08,41,37049,"<p>Is there an existing application or library in Java which will allow me to convert a CSV data file to XML file?  </p>

<p>The XML tags would be provided through possibly the first row containing column headings.</p>
",78,,759452,Jeff Atwood,11/29/2013 8:56,4/16/2014 0:12,Java lib or app to convert CSV to XML file?,<java><xml><csv><data-conversion>,17,3,13,,
126,1,127,,8/1/2008 16:10,31,5564,"<p>What is the ""purist"" or ""correct"" way to access an object's properties from within an object method that is not a getter/setter method?</p>

<p>I know that from outside of the object you should use a getter/setter, but from within would you just do:</p>

<p>Java:</p>

<pre><code>String property = this.property;
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this-&gt;property;
</code></pre>

<p>or would you do:</p>

<p>Java:</p>

<pre><code>String property = this.getProperty();
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this-&gt;getProperty();
</code></pre>

<p>Forgive me if my Java is a little off, it's been a year since I programmed in Java...</p>

<p><strong>EDIT:</strong></p>

<p>It seems people are assuming I am talking about private or protected variables/properties only. When I learned OO I was taught to use getters/setters for every single property even if it was public (and actually I was told never to make any variable/property public). So, I may be starting off from a false assumption from the get go. It appears that people answering this question are maybe saying that you should have public properties and that those don't need getters and setters, which goes against what I was taught, and what I was talking about, although maybe that needs to be discussed as well. That's probably a good topic for a different question though...</p>
",58,,202431,Gaius,1/20/2010 8:27,11/26/2013 0:04,How would you access Object properties from within an object method?,<java><php><oop><theory>,19,0,2,5/8/2012 18:11,
382,1,384,,8/2/2008 8:58,27,6298,"<p>What is the meaning of the Java warning?</p>

<blockquote>
  <p>Type safety: The cast from Object to List is actually checking against the erased type List</p>
</blockquote>

<p>I get this warning when I try to cast an Object to a type with generic information, such as in the following code:</p>

<pre><code>Object object = getMyList();
List&lt;Integer&gt; list = (List&lt;Integer&gt;) object;
</code></pre>
",122,Mike Stone,1563422,,4/21/2013 5:20,7/20/2013 18:38,What is the meaning of the type safety warning in certain Java generics casts?,<java><generics><warnings><casting><type-safety>,1,1,4,,
564,1,566,,8/2/2008 21:47,78,55538,"<p>I was just sitting at my local <a href=""http://en.wikipedia.org/wiki/Borders_%28UK%29"">Borders</a> sipping coffee and reading <em><a href=""http://rads.stackoverflow.com/amzn/click/1430209879"">More Joel on Software</a></em> (for free) when I came across <a href=""http://en.wikipedia.org/wiki/Joel_Spolsky"">Joel Spolsky</a> saying something about a particular type of programmer knowing the difference between an int and an Integer in Java/C# (Object Oriented Programming Languages).</p>

<p>After a quick 'brain check,' I realized, to my dismay, that I didn't know the answer.</p>
",25,,63550,Chris Reath,6/10/2013 19:10,11/26/2013 0:10,What is the difference between an int and an Integer in Java and C#?,<c#><java><integer><int>,11,2,26,,
2092,1,,,8/5/2008 11:15,5,1266,"<p>Looking for books or other references that discuss actually ""how"" to write a code coverage tool in Java; some of the various techniques or tricks - source vs. byte code instrumentation. This is for a scripting language that generates java byte code under the hood.</p>
",,bill,73488,Ned Batchelder,10/12/2010 2:23,1/28/2013 13:27,"How to get started ""writing"" a code coverage tool?",<java><testing><coldfusion><code-coverage>,5,0,,,
2158,1,2245,,8/5/2008 12:15,42,53133,"<p>Is there a way to create a JButton with your own button graphic and not just with an image inside the button? </p>

<p>If not, is there another way to create a custom button in java?</p>
",340,,714968,,6/26/2012 6:51,6/26/2012 6:51,Creating a custom button in Java,<java><swing><jbutton>,5,0,21,,
2931,1,,,8/5/2008 22:23,8,982,"<p>I have been working with JXTA 2.3 for the last year or so for a peer-to-peer computing platform I am developing. I am migrating to JXTA 2.5 and in the process I am trying to clean up a lot of my use of JXTA. For the most part, I approached JXTA with a ""just make it work"" attitude. I used it to jumpstart creating and managing my peer-to-peer overlay network and providing basic communication services. I would like to use it in a more ""JXTA"" way since I am making changes to move to 2.5 anyway.</p>

<p>My first step would be a basic creation of a custom PeerGroup. I see some new new mechanisms that are using the META-INF.services infrastructure of Java. Should I be listing a related PeerGroup implementing object here with a GUID in net.jxta.platform.Module? As I understand it, if I do this, when a group with a spec ID matching the GUID is encountered and joined or created it should automatically use the matching object. I should be able to just manually tie a PeerGroup object to the group but this new method using META-INF seems to be a lot easier to manage.</p>

<p>Does anyone have any pointers or examples of using this infrastructure for PeerGroup implementation? Also, some general information on the META-INF.services mechanism in Java would be helpful.</p>
",360,,866022,,5/21/2012 17:32,5/21/2012 17:32,Getting started with a custom JXTA PeerGroup,<java><p2p><jxta>,1,1,2,,
2968,1,,,8/5/2008 23:49,17,39348,"<p>I have some friends making a text-based Java video game, and they're looking for the best way to parse strings for commands. They've come across many methods, and are wondering which one would be the best to go about using.</p>
",362,,2067006,Lane,2/13/2013 13:03,2/13/2013 13:03,What is the best way to parse strings in Java,<java><string><parsing>,14,0,3,,
3049,1,3054,,8/6/2008 3:19,17,6629,"<p>I need to send and receive data over serial connections (RS-232 and RS-422).</p>

<p>How do I set up and communicate with such a connection?  How do I figure out what the configuration settings (e.g. baud rate) should be and how do I set them?</p>

<p>In particular I am looking to do this in Java, C/C++, or one of the major Unix shells but I also have some interest in serial programming using Windows/Hyperterminal.</p>",462,,,,,4/7/2014 8:29,How do I configure and communicate with a serial port?,<java><c++><windows><unix>,10,0,4,,
3881,1,3886,,8/6/2008 19:26,194,45950,"<p>I have a simple setter method for a property and <code>null</code> is not appropriate for this particular property. I have always been torn in this situation: should I throw an <a href=""http://docs.oracle.com/javase/7/docs/api/java/lang/IllegalArgumentException.html""><code>IllegalArgumentException</code></a>, or a <a href=""http://docs.oracle.com/javase/7/docs/api/java/lang/NullPointerException.html""><code>NullPointerException</code></a>? From the javadocs, both seem appropriate. Is there some kind of an understood standard?  Or is this just one of those things that you should do whatever you prefer and both are really correct?</p>
",122,,3156863,Chris Fournier,1/17/2014 12:18,1/21/2014 19:59,IllegalArgumentException or NullPointerException for a null parameter?,<java><exception><null><nullpointerexception><illegalargumentexception>,23,1,57,,
