123,Q,NULL,NULL,NULL,NULL,NULL,16,0,183,NULL,1,NULL,180558595,1,180558595,36,0,36,180558595,29006,27387200000,0,html,2008-08-01 16:08:00,2013-02-07 10:35:00,E,Converting CSV File to XML in Java,"<p>Is there an existing application or library in Java which will allow me to convert a CSV data file to XML file?  </p>

<p>The XML tags would be provided through possibly the first row containing column headings.</p>
","java,xml,csv,data-conversion",NULL,@
126,Q,NULL,NULL,NULL,NULL,NULL,19,0,127,NULL,1,NULL,180558595,1,180558595,25,0,25,180558595,4874,27387200000,0,html,2008-08-01 16:10:00,2010-01-20 08:27:00,E,How would you access Object properties from within an object method?,"<p>What is the ""purist"" or ""correct"" way to access an object's properties from within an object method that is not a getter/setter method?</p>

<p>I know that from outside of the object you should use a getter/setter, but from within would you just do:</p>

<p>Java:</p>

<pre><code>String property = this.property;
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this-&gt;property;
</code></pre>

<p>or would you do:</p>

<p>Java:</p>

<pre><code>String property = this.getProperty();
</code></pre>

<p>PHP:</p>

<pre><code>$property = $this-&gt;getProperty();
</code></pre>

<p>Forgive me if my Java is a little off, it's been a year since I programmed in Java...</p>

<p><strong>EDIT:</strong></p>

<p>It seems people are assuming I am talking about private or protected variables/properties only. When I learned OO I was taught to use getters/setters for every single property even if it was public (and actually I was told never to make any variable/property public). So, I may be starting off from a false assumption from the get go. It appears that people answering this question are maybe saying that you should have public properties and that those don't need getters and setters, which goes against what I was taught, and what I was talking about, although maybe that needs to be discussed as well. That's probably a good topic for a different question though...</p>
","java,php,oop,theory",NULL,@
382,Q,NULL,NULL,NULL,NULL,NULL,1,0,384,NULL,1,NULL,180558595,1,180558595,21,0,21,180558595,5165,27387200000,0,html,2008-08-02 08:58:00,2013-04-21 05:20:00,E,What is the meaning of the type safety warning in certain Java generics casts?,"<p>What is the meaning of the Java warning?</p>

<blockquote>
  <p>Type safety: The cast from Object to List is actually checking against the erased type List</p>
</blockquote>

<p>I get this warning when I try to cast an Object to a type with generic information, such as in the following code:</p>

<pre><code>Object object = getMyList();
List&lt;Integer&gt; list = (List&lt;Integer&gt;) object;
</code></pre>
","java,generics,warnings,casting,type-safety",NULL,@
564,Q,NULL,NULL,NULL,NULL,NULL,11,0,566,NULL,1,NULL,180558595,1,180558595,56,0,56,180558595,32624,27387200000,0,html,2008-08-02 21:47:00,2013-06-10 19:10:00,E,What is the difference between an int and an Integer in Java and C#?,"<p>I was just sitting at my local <a href=""http://en.wikipedia.org/wiki/Borders_%28UK%29"" rel=""nofollow"">Borders</a> sipping coffee and reading <em><a href=""http://rads.stackoverflow.com/amzn/click/1430209879"" rel=""nofollow"">More Joel on Software</a></em> (for free) when I came across <a href=""http://en.wikipedia.org/wiki/Joel_Spolsky"" rel=""nofollow"">Joel Spolsky</a> saying something about a particular type of programmer knowing the difference between an int and an Integer in Java/C# (Object Oriented Programming Languages).</p>

<p>After a quick 'brain check,' I realized, to my dismay, that I didn't know the answer.</p>
","c#,java,integer,int",NULL,@
2092,Q,NULL,NULL,NULL,NULL,NULL,5,0,NULL,NULL,1,NULL,180558595,1,180558595,5,0,5,180558595,1109,27387200000,0,html,2008-08-05 11:15:00,2010-10-12 02:23:00,E,"How to get started ""writing"" a code coverage tool?","<p>Looking for books or other references that discuss actually ""how"" to write a code coverage tool in Java; some of the various techniques or tricks - source vs. byte code instrumentation. This is for a scripting language that generates java byte code under the hood.</p>
","java,testing,coldfusion,code-coverage",NULL,@
2158,Q,NULL,NULL,NULL,NULL,NULL,5,0,2245,NULL,1,NULL,180558595,1,180558595,38,0,38,180558595,43069,27387200000,0,html,2008-08-05 12:15:00,2012-06-26 06:51:00,E,Creating a custom button in Java,"<p>Is there a way to create a JButton with your own button graphic and not just with an image inside the button? </p>

<p>If not, is there another way to create a custom button in java?</p>
","java,swing,jbutton",NULL,@
2931,Q,NULL,NULL,NULL,NULL,NULL,1,0,NULL,NULL,1,NULL,180558595,1,180558595,8,0,8,180558595,909,27387200000,0,html,2008-08-05 22:23:00,2012-05-21 17:32:00,E,Getting started with a custom JXTA PeerGroup,"<p>I have been working with JXTA 2.3 for the last year or so for a peer-to-peer computing platform I am developing. I am migrating to JXTA 2.5 and in the process I am trying to clean up a lot of my use of JXTA. For the most part, I approached JXTA with a ""just make it work"" attitude. I used it to jumpstart creating and managing my peer-to-peer overlay network and providing basic communication services. I would like to use it in a more ""JXTA"" way since I am making changes to move to 2.5 anyway.</p>

<p>My first step would be a basic creation of a custom PeerGroup. I see some new new mechanisms that are using the META-INF.services infrastructure of Java. Should I be listing a related PeerGroup implementing object here with a GUID in net.jxta.platform.Module? As I understand it, if I do this, when a group with a spec ID matching the GUID is encountered and joined or created it should automatically use the matching object. I should be able to just manually tie a PeerGroup object to the group but this new method using META-INF seems to be a lot easier to manage.</p>

<p>Does anyone have any pointers or examples of using this infrastructure for PeerGroup implementation? Also, some general information on the META-INF.services mechanism in Java would be helpful.</p>
","java,p2p,jxta",NULL,@
2968,Q,NULL,NULL,NULL,NULL,NULL,14,0,NULL,NULL,1,NULL,180558595,1,180558595,16,0,16,180558595,31070,27387200000,0,html,2008-08-05 23:49:00,2013-02-13 13:03:00,E,What is the best way to parse strings in Java,"<p>I have some friends making a text-based Java video game, and they're looking for the best way to parse strings for commands. They've come across many methods, and are wondering which one would be the best to go about using.</p>
","java,string,parsing",NULL,@
3049,Q,NULL,NULL,NULL,NULL,NULL,10,0,3054,NULL,1,NULL,180558595,1,180558595,16,0,16,180558595,5191,27387200000,0,html,2008-08-06 03:19:00,NULL,E,How do I configure and communicate with a serial port?,"<p>I need to send and receive data over serial connections (RS-232 and RS-422).</p>

<p>How do I set up and communicate with such a connection?  How do I figure out what the configuration settings (e.g. baud rate) should be and how do I set them?</p>

<p>In particular I am looking to do this in Java, C/C++, or one of the major Unix shells but I also have some interest in serial programming using Windows/Hyperterminal.</p>","java,c++,windows,unix",NULL,@
3881,Q,NULL,NULL,NULL,NULL,NULL,24,0,3886,NULL,1,NULL,180558595,1,180558595,149,0,149,180558595,31367,27387200000,0,html,2008-08-06 19:26:00,2012-12-26 02:53:00,E,IllegalArgumentException or NullPointerException for a null parameter?,"<p>I have a simple setter method for a property and <code>null</code> is not appropriate for this particular property. I have always been torn in this situation: should I throw an <a href=""http://docs.oracle.com/javase/7/docs/api/java/lang/IllegalArgumentException.html""><code>IllegalArgumentException</code></a>, or a <a href=""http://docs.oracle.com/javase/7/docs/api/java/lang/NullPointerException.html""><code>NullPointerException</code></a>? From the javadocs, both seem appropriate. Is there some kind of an understood standard?  Or is this just one of those things that you should do whatever you prefer and both are really correct?</p>
","java,exception,null,nullpointerexception",NULL,@
