id,displayname,reputation
"1","Jeff Atwood","32135"
"9","Kevin Dente","8212"
"13","Chris Jester-Young","107034"
"17","Nick Berardi","31995"
"22","maclema","6179"
"25","CodingWithoutComments","9771"
"26","Shawn","8230"
"27","denny","1091"
"35","Greg Hurlman","11106"
"39","huseyint","8397"
"40","Kevin","6750"
"42","Coincoin","13160"
"46","Sven","7452"
"55","Ryan Fox","5249"
"58","cmcculloh","11521"
"59","saint_groceon","2716"
"61","Bernard","10914"
"72","pix0r","18169"
"75","Ryan Ahearn","3924"
"78","A Salim","261"
"85","Paul Wicks","13697"
"86","svrist","3453"
"91","Michael Stum","74277"
"92","Justin Standard","15455"
"93","MojoFilter","3882"
"96","Chris Marasti-Georg","17506"
"100","Eric Haskins","4274"
"101","Peter Burns","18529"
"107","Wilson","411"
"111","saalon","1413"
"115","UnkwnTech","22784"
"116","Mark Harrison","80860"
"122","Mike Stone","21863"
"123","prakash","18499"
"124","Daniel Broekman","2026"
"142","Lehane","7321"
"145","akdom","6939"
"150","ESV","4726"
"151","Darren Greaves","1492"
"154","Matt","2384"
"157","nlucaroni","22376"
"172","Bruce the Hoon","578"
"175","engtech","1614"
"184","Niyaz","16822"
"188","Matthew Schinckel","16388"
"198","dlinsin","6086"
"200","John Downey","6913"
"212","Mike Polen","3173"
"224","vzczc","5059"
"227","Ishmaeel","7865"
"234","Orion Edwards","56392"
"235","Joshua McKinnon","13022"
"238","Pat","19361"
"242","David HAust","2801"
"244","Shadow_x99","10936"
"246","rjohnston","2550"
"255","Jim McKeeth","23047"
"257","Josh","4442"
"267","Lasse V. Karlsen","155181"
"268","Vincent Robert","17003"
"269","sparkes","10457"
"270","roryf","14960"
"271","Justin Bennett","2633"
"275","lubos hasko","13998"
"279","John with waffle","3490"
"287","basszero","14940"
"292","shsteimer","9105"
"302","Jake McGraw","17137"
"304","McDowell","64593"
"307","Brett Veenstra","10628"
"316","Daniel F. Hanson","3298"
"318","karlgrz","3713"
"324","adeel825","1551"
"327","Luke","6772"
"332","Wedge","12182"
"338","Frank Krueger","28416"
"340","Anton","3620"
"342","graham.reeds","9491"
"360","Stephen Pellicer","858"
"361","stimms","15396"
"362","agweber","445"
"369","Blorgbeard","41377"
"372","Jon Limjap","47889"
"373","urini","8685"
"375","Danny Whitt","855"
"377","ZombieSheep","19467"
"380","Vaibhav","7369"
"394","PabloG","9786"
"396","Bryan Denny","13248"
"404","Chris Farmer","10896"
"414","Stu","8243"
"419","Kev","62766"
"422","Chris Bunch","27256"
"428","Sam","2035"
"429","Patrick","21461"
"432","andrewrk","7084"
"437","Patrick McElhaney","22698"
"446","andnil","8808"
"459","dlamblin","15122"
"462","Greg Case","11415"
"463","Amr","753"
"475","Chris Roberts","7683"
"482","Thej","655"
"484","Tim Trueman","137"
"486","grom","8201"
"488","Anthony Cramp","1690"
"493","lomaxx","33441"
"506","Matthew Ruston","2334"
"512","Jason Sparks","988"
"518","Telcontar","2340"
"527","ggasp","618"
"528","Nick Brosnahan","1053"
"533","Curt Hagenlocher","12747"
"536","Judah Himango","28109"
"543","bpapa","10495"
"547","mauriciopastrana","1649"
"560","Jeremy Privett","2698"
"568","David McGraw","3537"
"571","Lance Fisher","13636"
"572","Thomas Owens","46050"
"573","abyx","16407"
"577","Sam McAfee","4660"
"578","axk","2204"
"588","Kieron","5412"
