Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"12008","1","12047","","2008-08-15 06:06:13","4","1448","<p>I curious to how different people solve integration of systems. I have a feeling that the last years more and more work has gone into integrating systems and that this kind of work need will increase as well.</p>

<p>I wondering if you solve it developing your own small services that are then connected or if you use some sort of product (WebSphere, BizTalk, <a href=""http://mule.mulesource.org/display/MULE/Home"" rel=""nofollow"" title=""Coding Guidelines for Cocoa"">Mule</a> etc). I'd also think it'd be interesting to know how these kind of solutions are managed and maintained (how do you solve security, instrumentation etc, etc), what kind of problems have you experienced with your solution and so on.</p>
","298","Richard Hallgren","","","","2008-12-25 21:44:35","How do you do system integration?","<architecture><system-integration>","5","","1","",""
"24678","1","25124","","2008-08-23 22:42:50","51","39409","<p>I'm looking for opinions on the best JavaScript editor available as an Eclipse plugin. I've been using Spket, which is good, but I'm convinced there must be something better out there. Is there? </p>
","2648","","313758","","2011-01-30 04:09:05","2012-01-22 16:17:24","Eclipse JavaScript editor","<javascript><eclipse><plugins><editor>","8","2","11","2011-10-06 02:20:23",""
"57291","1","881612","","2008-09-11 18:32:33","7","1380","<p>I have seen <a href=""http://stackoverflow.com/questions/4046/can-someone-give-me-a-working-example-of-a-buildxml-for-an-ear-that-deploys-in"" rel=""nofollow"">this question</a> about deploying to WebSphere using the WAS ant tasks.</p>

<p>Is there a simpler way to do this?  In the past I have deployed to Tomcat by dropping a war file into a directory.  I was hoping there would be a similar mechanism for WebSphere that doesn't involve calling the IBM libraries or rely on RAD to be installed on your workstation.</p>
","1958","Mike Sharek","23309","Chris R","2009-03-17 19:46:19","2011-09-27 12:16:08","Is there a simpler way to deploy to WebSphere?","<ant><java-ee><websphere><jacl>","4","","3","",""
"57902","1","58863","","2008-09-11 23:29:43","4","833","<p>My project has some money to spend before the end of the fiscal year and we are considering replacing a Sun-Fire-V490 server we've had for a few years.  One option we are looking at is the <a href=""http://www.sun.com/servers/coolthreads/overview/index.jsp"" rel=""nofollow"">CoolThreads</a> technology.  All I know is the Sun marketing, which may not be 100% unbiased.  Has anyone actually played with one of these?</p>

<p>I suspect it will be no value to us, since we don't use threads or virtual machines much and we can't spend a lot of time retrofitting code.  We do spawn a ton of processes, but I doubt CoolThreads will be of help there.</p>

<p>(And yes, the money would be better spent on bonuses or something, but that's not going to happen.)</p>
","1438","Jon Ericson","3043","Jon Ericson","2011-12-07 15:43:14","2011-12-07 15:43:14","What is your experience with Sun CoolThreads technology?","<solaris>","7","","","",""
"61437","1","","","2008-09-14 16:18:52","28","12381","<p>In evaluating different systems integration strategies, I've come across some words of encouragement, but also some words of frustration over BizTalk Server. </p>

<p>What are some pros and cons to using BizTalk Server (both from a developer standpoint and a business user), and should companies also consider open source alternatives? What viable alternatives are out there?</p>

<p>EDIT: <a href=""http://www.jitterbit.com/"" rel=""nofollow"">Jitterbit</a> seems like an interesting choice. Open Source and seems to be nicely engineered. Anyone on here have any experience working with it?</p>
","5469","Kilhoffer","5469","Kilhoffer","2008-09-14 16:27:29","2011-02-07 17:12:05","What are some viable alternatives to BizTalk Server?","<open-source><biztalk>","12","","16","",""
"62850","1","","","2008-09-15 13:26:22","0","308","<p>are there any performance limitations using IBM's asynchbeans? 
my apps jvm core dumps are showing numerous occurences of orphaned threads. Im currently using native jdk unmanaged threads. Is it worth changing over to managed threads?</p>
","","luckoftheirish","","","","2008-11-07 23:35:52","using asynchbeans instead of native jdk threads","<multithreading><websphere>","3","","","",""
"98044","1","120046","","2008-09-18 23:35:26","3","279","<p>Would it be using a Websphere Adaptor for SAP or webmethods or something else?? Does something else need to be considered while opting for one of these??? The final system needs to be synchronous between SAP and the WCS front end.No ques..no delays....</p>
","16488","sarego","","","","2008-09-23 09:29:50","What is the simplest way to interact between a SAP OMS and Websphere Commerce?","<sap><webmethods><wcs><websphere-commerce><adaptor>","1","","2","",""
"102417","1","","","2008-09-19 14:45:54","13","12736","<p>Our company is looking to implement an ESB into our SOA.  Our SOA is in initial development stages.  We currently have F5/BigIP in place with sufficient health checking, load balancing, redundancy, etc. and use WCF as our service technology with occasional Java clients, but majority .NET WCF clients.</p>

<p>From a financial and beginning implementation perspective, have been looking into a few open source options, Mule Galaxy and WSO2.  Also have been looking a bit at MS Biztalk 2006 and UDDI.  UDDI seems to be a bit of a legacy registry standard.</p>

<p>Have also been debating whether to roll our own ESB in the form of a routing service since are just starting, with option of migrating to larger scale ESB later.</p>

<p>Any opinions out there on good/bad ESB and SOA registry choices?  As well as if we are taking the right approach on implementing an ESB and SOA registry (governance) in intial phase of our SOA.  Thanks</p>
","","magellings","","","","2012-01-16 06:24:44","Best ESB and SOA registry out there","<soa><esb>","13","","11","",""
"116053","1","","","2008-09-22 16:51:28","2","10442","<p>I have a Jasper report template, and I need to show/hide a column at runtime based on a particular condition. I'm using ""Print when expression"" to conditionally show/hide this column (and it's header) in my report. When the column is hidden, the space it would have occupied is left blank, which is not particularly attractive.</p>

<p>I would prefer if the extra space was used in a more effective manner, possibilities include:</p>

<ul>
<li>the width of the report is reduced by the width of the hidden column</li>
<li>the extra space is distributed among the remaining columns</li>
</ul>

<p>In theory, I could achieve (1) by setting the width of the column (and header) to 0, but also indicate that the column should resize to fit it's contents. But AFAIK Jasper does not actually provide a ""resize width to fit contents"" option.</p>

<p>Another option is to generate my reports using the Jasper API instead of defining the report template in XML. But that seems like a lot of effort for such a simple requirement.</p>

<p>Thanks in advance,
Don</p>
","2648","Don","410","cynicalman","2008-09-24 19:19:04","2012-06-11 19:14:44","jasper reports, hiding columns at runtime","<java><templates><jasper-reports><report>","6","","1","",""
"141734","1","141755","","2008-09-26 20:23:48","10","21596","<p>If I do not specify the following in my web.xml file:</p>

<pre><code>&lt;session-config&gt;
    &lt;session-timeout&gt;10&lt;/session-timeout&gt;
&lt;/session-config&gt;
</code></pre>

<p>What will be my default session timeout? (I am running Tomcat 6.0)</p>
","318","KG","605744","John Meagher","2012-01-19 13:31:50","2012-01-19 13:31:50","What is the default session timeout for a Java EE website?","<java><jsp><tomcat><java-ee>","4","","1","",""
